seed,scene,problem,method,eligible,solved,seconds,samples,vertices,skipped
1,bookshelf_tall,1,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,2,qpAdaptive,1,1,0.00643522,2575,35,0
1,bookshelf_tall,8,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,9,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,10,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,11,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,15,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,17,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,19,qpAdaptive,1,1,0.00481488,1977,14,0
1,bookshelf_tall,22,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,23,qpAdaptive,1,1,0.00233671,999,11,0
1,bookshelf_tall,28,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,29,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,33,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,36,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,40,qpAdaptive,1,1,0.00933313,3812,33,0
1,bookshelf_tall,41,qpAdaptive,1,1,0.00368568,1529,15,0
1,bookshelf_tall,42,qpAdaptive,1,1,0.00222294,968,11,0
1,bookshelf_tall,46,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,47,qpAdaptive,1,1,0.00866409,3681,38,0
1,bookshelf_thin,2,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,3,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,8,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,9,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,12,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,13,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,14,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,16,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,17,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,18,qpAdaptive,1,1,0.00129697,550,11,0
1,bookshelf_thin,19,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,20,qpAdaptive,1,1,0.000648383,256,7,0
1,bookshelf_thin,21,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,22,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,23,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,25,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,27,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,28,qpAdaptive,1,1,0.00118289,482,8,0
1,bookshelf_thin,29,qpAdaptive,0,0,0,0,0,1
1,bookshelf_thin,30,qpAdaptive,0,0,0,0,0,1
1,table_under_pick,2,qpAdaptive,1,1,0.00218811,937,10,0
1,table_under_pick,3,qpAdaptive,1,1,0.00144407,621,12,0
1,table_under_pick,4,qpAdaptive,0,0,0,0,0,1
1,table_under_pick,7,qpAdaptive,1,1,0.00379806,1626,15,0
1,table_under_pick,8,qpAdaptive,0,0,0,0,0,1
1,table_under_pick,10,qpAdaptive,1,1,0.0288625,12034,68,0
1,table_under_pick,13,qpAdaptive,0,0,0,0,0,1
1,table_under_pick,14,qpAdaptive,1,1,0.0408848,16853,91,0
1,table_under_pick,15,qpAdaptive,0,0,0,0,0,1
1,table_under_pick,16,qpAdaptive,0,0,0,0,0,1
1,table_under_pick,18,qpAdaptive,0,0,0,0,0,1
1,table_under_pick,20,qpAdaptive,1,1,0.00346894,1446,15,0
1,table_under_pick,22,qpAdaptive,1,1,0.0123237,5139,34,0
1,table_under_pick,23,qpAdaptive,0,0,0,0,0,1
