scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,qp-adaptive,240,0.4417549,1.053735,3.87716,36.304325000000006,117.98229999999997,8.0,10.0,17.5,91.25,244.2,200.70000000000002,438.0,1736.0,15234.5,49826.299999999996
all scenes,qp-envelope,240,0.44235900000000006,1.0286425000000001,3.78883,35.99435,117.37779999999997,8.0,10.0,17.0,91.25,244.39999999999998,173.00000000000003,399.5,1673.5,14951.0,49058.799999999996
bookshelf_small,qp-adaptive,30,0.5664311000000001,1.428195,2.451435,7.919702500000001,11.77979,8.0,10.0,13.0,24.75,38.1,271.8,623.5,1154.0,3280.75,5150.200000000001
bookshelf_small,qp-envelope,30,0.4894792000000001,1.37466,2.30957,7.681150000000001,11.682220000000001,8.0,10.0,13.0,24.75,38.1,199.20000000000005,565.5,1028.5,3093.25,4980.700000000001
bookshelf_tall,qp-adaptive,21,2.22294,4.0764499999999995,6.946960000000001,8.78529,16.1088,11.0,15.0,24.0,36.0,48.0,968.0,1801.0,3243.0,3887.0,7059.0
bookshelf_tall,qp-envelope,21,2.0449,3.9826699999999997,6.6192,8.71766,15.8266,11.0,15.0,24.0,34.0,48.0,851.0,1745.0,3001.0,3791.0,6808.0
bookshelf_thin,qp-adaptive,9,0.7068878,1.1198899999999998,1.29697,2.00888,2.087888,7.8,8.0,11.0,11.0,13.2,313.6,482.0,550.0,865.0,901.2
bookshelf_thin,qp-envelope,9,0.7342523999999999,1.1254,1.23434,2.02377,2.059546,7.8,8.0,11.0,11.0,13.2,292.6,469.0,498.0,799.0,870.2
box,qp-adaptive,60,0.4317936,0.8072025,1.4779300000000002,3.7408525,7.3946510000000005,7.0,8.0,10.0,18.25,29.200000000000003,190.7,336.5,595.0,1700.75,3438.4
box,qp-envelope,60,0.4259679,0.789495,1.462355,3.66867,7.310866,7.0,8.0,10.0,18.25,29.200000000000003,163.7,307.75,566.0,1548.25,3296.7000000000003
cage,qp-adaptive,60,47.735170000000004,67.31877499999999,109.8405,147.60224999999997,193.70430000000002,118.5,157.0,223.0,291.5,351.1,20054.5,28851.25,46056.0,62189.25,80310.40000000001
cage,qp-envelope,60,47.10061,71.588275,110.465,158.33625,190.38860000000003,118.5,159.5,227.0,296.25,351.1,19757.0,29811.0,45385.5,63115.25,78881.4
table_pick,qp-adaptive,33,0.1458952,0.28762299999999996,0.539682,1.04217,1.546438,6.0,7.0,8.0,10.0,11.0,64.8,134.0,256.0,475.0,693.6
table_pick,qp-envelope,33,0.1627488,0.26108400000000004,0.504432,1.03386,1.477786,6.0,7.0,8.0,10.0,11.0,49.0,95.0,212.0,437.0,647.2
table_under_pick,qp-adaptive,27,2.722928,3.544305,9.67054,16.1199,41.68824,14.6,17.0,30.0,50.0,95.80000000000003,1240.2,1579.5,4394.0,7216.5,17790.200000000004
table_under_pick,qp-envelope,27,2.713068,3.48636,9.59892,14.999649999999999,41.41514,14.6,17.0,30.0,44.0,95.80000000000003,1126.6,1447.0,4263.0,6654.5,17408.000000000004
