seed,scene,problem,method,eligible,solved,seconds,samples,vertices,skipped
0,pillars,1,qpAdaptive,1,1,0.000568,734,5,0
0,pillars,2,qpAdaptive,1,1,0.000474,118,6,0
0,pillars,3,qpAdaptive,1,1,0.000355,47,4,0
0,pillars,4,qpAdaptive,1,1,0.000448,88,5,0
0,pillars,1,qpEnvelope,1,1,0.000518,613,5,0
0,pillars,2,qpEnvelope,1,1,0.000329,64,7,0
0,pillars,3,qpEnvelope,1,1,0.000234,26,4,0
0,pillars,4,qpEnvelope,1,1,0.000293,42,5,0
0,clutter,1,qpAdaptive,1,1,0.000849,1129,6,0
0,clutter,2,qpAdaptive,1,1,0.004645,2188,9,0
0,clutter,1,qpEnvelope,1,1,0.000766,971,6,0
0,clutter,2,qpEnvelope,1,1,0.004592,1849,9,0
0,corridor,1,qpAdaptive,1,1,0.001119,656,7,0
0,corridor,2,qpAdaptive,1,1,0.003762,12428,16,0
0,corridor,3,qpAdaptive,1,1,0.005168,7104,11,0
0,corridor,1,qpEnvelope,1,1,0.001063,532,7,0
0,corridor,2,qpEnvelope,1,1,0.003735,15863,16,0
0,corridor,3,qpEnvelope,1,1,0.003958,3889,11,0
0,shelf,1,qpAdaptive,1,1,0.010414,13131,14,0
0,shelf,2,qpAdaptive,1,1,0.003010,11878,13,0
0,shelf,3,qpAdaptive,1,1,0.001061,4290,9,0
0,shelf,4,qpAdaptive,1,1,0.000682,2074,7,0
0,shelf,1,qpEnvelope,1,1,0.009795,3832,14,0
0,shelf,2,qpEnvelope,1,1,0.002556,15446,12,0
0,shelf,3,qpEnvelope,1,1,0.001044,2546,9,0
0,shelf,4,qpEnvelope,1,1,0.000640,1597,7,0
100,pillars,1,qpAdaptive,1,1,0.000541,353,6,0
100,pillars,2,qpAdaptive,1,1,0.000294,73,5,0
100,pillars,3,qpAdaptive,1,1,0.000263,55,5,0
100,pillars,4,qpAdaptive,1,1,0.000431,95,5,0
100,pillars,1,qpEnvelope,1,1,0.000517,178,6,0
100,pillars,2,qpEnvelope,1,1,0.000236,38,5,0
100,pillars,3,qpEnvelope,1,1,0.000187,23,5,0
100,pillars,4,qpEnvelope,1,1,0.000283,45,5,0
100,clutter,1,qpAdaptive,1,1,0.000854,779,6,0
100,clutter,2,qpAdaptive,1,1,0.004912,2785,9,0
100,clutter,1,qpEnvelope,1,1,0.000718,494,6,0
100,clutter,2,qpEnvelope,1,1,0.005605,1759,9,0
100,corridor,1,qpAdaptive,1,1,0.000693,665,6,0
100,corridor,2,qpAdaptive,1,1,0.004428,3556,10,0
100,corridor,3,qpAdaptive,1,1,0.007616,7835,14,0
100,corridor,1,qpEnvelope,1,1,0.000590,468,6,0
100,corridor,2,qpEnvelope,1,1,0.003388,2946,10,0
100,corridor,3,qpEnvelope,1,1,0.007193,4522,13,0
100,shelf,1,qpAdaptive,1,1,0.004911,6297,17,0
100,shelf,2,qpAdaptive,1,1,0.005560,3459,10,0
100,shelf,3,qpAdaptive,1,1,0.001226,1408,6,0
100,shelf,4,qpAdaptive,1,1,0.001588,1774,9,0
100,shelf,1,qpEnvelope,1,1,0.004617,6772,17,0
100,shelf,2,qpEnvelope,1,1,0.003500,2879,10,0
100,shelf,3,qpEnvelope,1,1,0.001186,1266,6,0
100,shelf,4,qpEnvelope,1,1,0.001545,1500,9,0
200,pillars,1,qpAdaptive,1,1,0.000354,497,6,0
200,pillars,2,qpAdaptive,1,1,0.000201,63,5,0
200,pillars,3,qpAdaptive,1,1,0.000320,99,5,0
200,pillars,4,qpAdaptive,1,1,0.000339,160,5,0
200,pillars,1,qpEnvelope,1,1,0.000345,172,6,0
200,pillars,2,qpEnvelope,1,1,0.000168,31,5,0
200,pillars,3,qpEnvelope,1,1,0.000170,40,4,0
200,pillars,4,qpEnvelope,1,1,0.000305,116,5,0
200,clutter,1,qpAdaptive,1,1,0.000609,693,6,0
200,clutter,2,qpAdaptive,1,1,0.005486,28351,20,0
200,clutter,1,qpEnvelope,1,1,0.000746,696,6,0
200,clutter,2,qpEnvelope,1,1,0.006271,8388,20,0
200,corridor,1,qpAdaptive,1,1,0.000748,1093,5,0
200,corridor,2,qpAdaptive,1,1,0.005040,37664,13,0
200,corridor,3,qpAdaptive,1,1,0.006173,13732,15,0
200,corridor,1,qpEnvelope,1,1,0.000630,620,5,0
200,corridor,2,qpEnvelope,1,1,0.007444,7032,13,0
200,corridor,3,qpEnvelope,1,1,0.006042,8018,15,0
200,shelf,1,qpAdaptive,1,1,0.008090,21241,19,0
200,shelf,2,qpAdaptive,1,1,0.003952,23063,12,0
200,shelf,3,qpAdaptive,1,1,0.000793,2444,7,0
200,shelf,4,qpAdaptive,1,1,0.000877,1202,9,0
200,shelf,1,qpEnvelope,1,1,0.011890,20242,19,0
200,shelf,2,qpEnvelope,1,1,0.005842,16571,12,0
200,shelf,3,qpEnvelope,1,1,0.001128,2246,7,0
200,shelf,4,qpEnvelope,1,1,0.000854,1486,8,0
