scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,qp-adaptive,39,0.3352,0.5075000000000001,0.877,4.778,5.682600000000002,5.0,5.5,7.0,11.5,15.200000000000003,85.0,425.0,1408.0,6700.5,15233.800000000021
all scenes,qp-envelope,39,0.23559999999999998,0.431,1.044,4.2749999999999995,6.455400000000003,5.0,5.5,7.0,11.5,15.200000000000003,39.6,175.0,1486.0,3860.5,9799.60000000002
clutter,qp-adaptive,6,0.7290000000000001,0.8502500000000001,2.7495,4.84525,5.199,6.0,6.0,7.5,9.0,14.5,736.0,866.5,1658.5,2635.75,15568.0
clutter,qp-envelope,6,0.732,0.751,2.679,5.351749999999999,5.938,6.0,6.0,7.5,9.0,14.5,595.0,764.75,1365.0,1826.5,5118.5
corridor,qp-adaptive,9,0.737,1.119,4.428,5.168,6.461600000000001,5.8,7.0,11.0,14.0,15.2,663.2,1093.0,7104.0,12428.0,18518.400000000005
corridor,qp-envelope,9,0.622,1.063,3.735,6.042,7.2432,5.8,7.0,11.0,13.0,15.2,519.2,620.0,3889.0,7032.0,9587.000000000002
pillars,qp-adaptive,12,0.2661,0.3135,0.3545,0.4545,0.5343000000000001,5.0,5.0,5.0,5.25,6.0,55.8,70.5,97.0,208.25,482.6
pillars,qp-envelope,12,0.17170000000000002,0.22225,0.28800000000000003,0.33299999999999996,0.4998000000000001,4.1,5.0,5.0,5.25,6.0,26.5,36.25,43.5,130.0,177.4
shelf,qp-adaptive,12,0.8013999999999999,1.0150000000000001,2.2990000000000004,5.07325,7.837000000000001,7.0,8.5,9.5,13.25,16.700000000000003,1444.6000000000001,1999.0,3874.5,12191.25,20430.000000000004
shelf,qp-envelope,12,0.8730000000000001,1.1070000000000002,2.0505,4.9232499999999995,9.399700000000001,7.0,7.75,9.5,12.5,16.700000000000003,1487.4,1572.75,2712.5,8940.5,16458.5
