seed,scene,problem,method,eligible,solved,seconds,samples,vertices,skipped
1,bookshelf_tall,1,isSafe,0,0,0,0,0,1
1,bookshelf_tall,1,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,1,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,1,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,1,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,2,isSafe,1,1,0.00566147,6528,34,0
1,bookshelf_tall,2,qpFixed,1,1,0.046751,11080,119,0
1,bookshelf_tall,2,qpAdaptive,1,1,0.0197748,4143,47,0
1,bookshelf_tall,2,qpFreeGate,1,1,0.00494445,4418,78,0
1,bookshelf_tall,2,qpEnvelope,1,1,0.00639583,1293,26,0
1,bookshelf_tall,8,isSafe,0,0,0,0,0,1
1,bookshelf_tall,8,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,8,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,8,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,8,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,9,isSafe,0,0,0,0,0,1
1,bookshelf_tall,9,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,9,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,9,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,9,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,10,isSafe,0,0,0,0,0,1
1,bookshelf_tall,10,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,10,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,10,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,10,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,11,isSafe,0,0,0,0,0,1
1,bookshelf_tall,11,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,11,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,11,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,11,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,15,isSafe,0,0,0,0,0,1
1,bookshelf_tall,15,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,15,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,15,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,15,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,17,isSafe,0,0,0,0,0,1
1,bookshelf_tall,17,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,17,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,17,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,17,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,19,isSafe,1,1,0.00257428,2945,17,0
1,bookshelf_tall,19,qpFixed,1,1,0.0366864,8977,93,0
1,bookshelf_tall,19,qpAdaptive,1,1,0.0187748,4082,55,0
1,bookshelf_tall,19,qpFreeGate,1,1,0.00670552,5803,99,0
1,bookshelf_tall,19,qpEnvelope,1,1,0.0130239,2710,44,0
1,bookshelf_tall,22,isSafe,0,0,0,0,0,1
1,bookshelf_tall,22,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,22,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,22,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,22,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,23,isSafe,1,1,0.00339932,3906,22,0
1,bookshelf_tall,23,qpFixed,1,1,0.0272189,6757,70,0
1,bookshelf_tall,23,qpAdaptive,1,1,0.0436685,9446,99,0
1,bookshelf_tall,23,qpFreeGate,1,1,0.0103237,8852,142,0
1,bookshelf_tall,23,qpEnvelope,1,1,0.015691,3271,49,0
1,bookshelf_tall,28,isSafe,0,0,0,0,0,1
1,bookshelf_tall,28,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,28,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,28,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,28,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,29,isSafe,0,0,0,0,0,1
1,bookshelf_tall,29,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,29,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,29,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,29,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,33,isSafe,0,0,0,0,0,1
1,bookshelf_tall,33,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,33,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,33,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,33,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,36,isSafe,0,0,0,0,0,1
1,bookshelf_tall,36,qpFixed,0,0,0,0,0,1
1,bookshelf_tall,36,qpAdaptive,0,0,0,0,0,1
1,bookshelf_tall,36,qpFreeGate,0,0,0,0,0,1
1,bookshelf_tall,36,qpEnvelope,0,0,0,0,0,1
1,bookshelf_tall,40,isSafe,1,1,0.0147364,16924,84,0
1,bookshelf_tall,40,qpFixed,1,1,0.149383,34495,282,0
1,bookshelf_tall,40,qpAdaptive,1,1,0.0955231,19756,166,0
1,bookshelf_tall,40,qpFreeGate,1,1,0.0598794,50377,631,0
1,bookshelf_tall,40,qpEnvelope,1,1,0.0847596,16870,167,0
1,bookshelf_tall,41,isSafe,1,1,0.00497568,5671,30,0
1,bookshelf_tall,41,qpFixed,1,1,0.0444187,10875,112,0
1,bookshelf_tall,41,qpAdaptive,1,1,0.031442,6752,80,0
1,bookshelf_tall,41,qpFreeGate,1,1,0.00629825,5365,70,0
1,bookshelf_tall,41,qpEnvelope,1,1,0.0110352,2218,32,0
1,bookshelf_tall,42,isSafe,1,1,0.00320582,3659,20,0
1,bookshelf_tall,42,qpFixed,1,1,0.0885893,20164,159,0
1,bookshelf_tall,42,qpAdaptive,1,1,0.0092961,2056,35,0
1,bookshelf_tall,42,qpFreeGate,1,1,0.0155162,13130,204,0
