scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,240,1.567761,2.5812125,5.55502,34.546324999999996,151.80149999999995,11.0,17.0,33.5,191.75,839.6999999999999,1777.4,2953.25,6378.5,39054.25,173201.0
all scenes,qp-fixed,240,6.077077,11.17895,32.66589999999999,149.81275,602.9236999999999,28.900000000000002,44.0,89.0,316.0,947.9999999999999,1558.7,3037.75,8042.0,34810.75,138664.69999999998
all scenes,qp-lipsch,240,1.541267,6.1086675,17.49405,81.291675,259.0533,13.0,27.0,50.0,169.0,453.29999999999995,340.6,1309.75,3787.0,16646.5,53750.9
all scenes,qp-free,240,3.618644,5.6671275,11.0724,73.45205,219.74699999999999,56.0,91.75,161.0,817.0,2133.4999999999995,3208.0,5193.5,9964.5,61901.25,173311.4
all scenes,qp-envelope,240,1.419257,5.52898,12.894449999999999,77.1144,222.86549999999997,12.0,23.0,42.0,167.25,408.1,278.9,1135.25,2616.0,15505.5,44631.0
bookshelf_small,rrtconnect,30,1.162718,2.4084775,5.350384999999999,9.20985,57.26319000000003,9.0,15.75,32.5,52.75,308.10000000000014,1309.1000000000001,2731.5,6136.5,10576.25,64781.50000000003
bookshelf_small,qp-fixed,30,2.569752,5.628385,15.115000000000002,52.329425,86.96716000000002,21.0,28.75,52.5,123.5,196.1,747.6,1561.25,3708.5,12251.25,20648.300000000003
bookshelf_small,qp-lipsch,30,0.7414894000000001,2.34645,9.605155,27.662150000000004,46.28958000000001,10.9,15.0,32.0,79.5,113.10000000000002,191.50000000000003,535.0,2075.5,6008.5,9798.200000000003
bookshelf_small,qp-free,30,1.23809,1.7482025,9.926495,17.073950000000004,28.548370000000016,26.8,36.25,135.5,212.25,384.5000000000001,1155.7,1618.0,8669.0,14880.0,25064.300000000014
bookshelf_small,qp-envelope,30,0.5590001000000001,1.9877075,7.982384999999999,22.687775000000002,42.99417,9.0,16.5,33.5,63.0,92.70000000000002,106.00000000000001,405.75,1597.0,4595.5,8551.2
bookshelf_tall,rrtconnect,21,2.58175,3.39932,4.97568,7.1237699999999995,14.7364,17.0,22.0,30.0,42.0,84.0,2973.0,3906.0,5671.0,8160.0,16924.0
bookshelf_tall,qp-fixed,21,36.6864,40.7421,50.415,88.5893,149.38299999999998,89.0,100.0,119.0,175.0,282.0,8977.0,9916.0,11766.0,20512.0,34495.0
bookshelf_tall,qp-lipsch,21,17.5533,31.1739,40.7596,50.316199999999995,89.973,49.0,79.0,92.0,116.0,159.0,3815.0,6618.0,8648.0,10717.0,18019.0
bookshelf_tall,qp-free,21,5.65455,6.9713199999999995,10.3237,13.2266,37.3286,78.0,99.0,135.0,162.0,481.0,5230.0,6006.0,8835.0,11274.0,32736.0
bookshelf_tall,qp-envelope,21,11.0352,15.691,25.279200000000003,36.911,84.7596,38.0,49.0,59.0,83.0,167.0,2218.0,3271.0,5174.0,7612.0,16870.0
bookshelf_thin,rrtconnect,9,2.1778180000000003,2.9053899999999997,5.236,18.3053,102.20972000000005,14.8,19.0,31.0,104.0,524.6000000000003,2485.2,3305.0,5983.0,21125.0,113942.40000000005
bookshelf_thin,qp-fixed,9,7.254428,13.4329,17.131899999999998,25.02,27.788180000000004,26.4,41.0,57.0,75.0,75.2,1793.8,3319.0,4235.0,5964.0,6553.0
bookshelf_thin,qp-lipsch,9,7.266576000000001,7.846280000000001,12.4223,16.304699999999997,23.960640000000005,26.2,31.0,41.0,45.0,61.2,1506.2,1597.0,2620.0,3355.0,4902.200000000001
bookshelf_thin,qp-free,9,9.575272000000002,10.973,14.3545,21.789800000000003,138.97968000000003,139.4,171.0,211.0,329.0,1790.4000000000003,8530.4,9970.0,12626.0,19723.0,116345.80000000003
bookshelf_thin,qp-envelope,9,6.937327999999999,7.6408,10.3,13.5535,19.740080000000003,22.2,29.0,34.0,40.0,53.400000000000006,1333.0,1512.0,2068.0,2669.0,3884.600000000001
box,rrtconnect,60,1.59095,1.9001350000000001,3.398745,7.163097499999999,10.82907,11.8,13.0,21.5,42.5,62.300000000000004,1819.5,2139.75,3910.0,8184.0,12299.0
box,qp-fixed,60,6.64388,8.748727500000001,17.55585,32.141574999999996,60.23454,32.0,37.0,60.5,97.75,163.0,1786.8,2345.75,4521.0,7843.0,14611.600000000002
box,qp-lipsch,60,2.7951200000000003,5.381075000000001,8.136109999999999,17.023975,30.594810000000003,17.8,24.75,32.5,51.0,86.30000000000001,628.9000000000001,1193.75,1788.5,3625.0,6686.0
box,qp-free,60,3.3729180000000003,4.1208975,7.891705,11.5792,19.16392,50.5,62.0,110.5,160.5,252.70000000000002,2920.8,3631.75,6833.0,9965.75,16843.2
box,qp-envelope,60,2.4917050000000005,4.1751875,7.344205,11.10515,19.315040000000007,14.0,19.0,30.0,43.25,64.70000000000002,501.40000000000003,861.25,1495.5,2243.75,3883.200000000001
