seed,scene,problem,method,eligible,solved,seconds,samples,vertices,skipped
0,pillars,between_posts_right,isSafe,1,1,0.000269,245,5,0
0,pillars,between_posts_right,qpFixed,1,1,0.000690,1953,6,0
0,pillars,between_posts_left,isSafe,1,1,0.000211,237,5,0
0,pillars,between_posts_left,qpFixed,1,1,0.000568,1216,5,0
0,pillars,far_side_low,isSafe,1,1,0.000162,176,4,0
0,pillars,far_side_low,qpFixed,1,1,0.000439,900,5,0
0,pillars,behind_the_field,isSafe,1,1,0.000220,239,5,0
0,pillars,behind_the_field,qpFixed,1,1,0.000542,1673,5,0
0,pillars,between_posts_right,qpAdaptive,1,1,0.000552,734,5,0
0,pillars,between_posts_left,qpAdaptive,1,1,0.000465,118,6,0
0,pillars,far_side_low,qpAdaptive,1,1,0.000345,47,4,0
0,pillars,behind_the_field,qpAdaptive,1,1,0.000408,88,5,0
0,pillars,between_posts_right,qpEnvelope,1,1,0.000514,613,5,0
0,pillars,between_posts_left,qpEnvelope,1,1,0.000319,64,7,0
0,pillars,far_side_low,qpEnvelope,1,1,0.000220,26,4,0
0,pillars,behind_the_field,qpEnvelope,1,1,0.000284,42,5,0
0,clutter,high_forward,isSafe,1,1,0.000336,261,5,0
0,clutter,high_forward,qpFixed,1,1,0.000986,3029,7,0
0,clutter,behind,isSafe,1,1,0.000331,302,6,0
0,clutter,behind,qpFixed,1,1,0.004108,8036,9,0
0,clutter,high_forward,qpAdaptive,1,1,0.000558,1129,6,0
0,clutter,behind,qpAdaptive,1,1,0.003082,2188,9,0
0,clutter,high_forward,qpEnvelope,1,1,0.000717,971,6,0
0,clutter,behind,qpEnvelope,1,1,0.004577,1849,9,0
0,corridor,corridor_entrance_from_above,isSafe,1,1,0.000374,469,7,0
0,corridor,corridor_entrance_from_above,qpFixed,1,1,0.000720,1627,7,0
0,corridor,under_the_ceiling,isSafe,1,1,0.006680,9605,11,0
0,corridor,under_the_ceiling,qpFixed,1,1,0.002755,28428,16,0
0,corridor,far_end_under_the_ceiling,isSafe,1,1,0.017393,17957,12,0
0,corridor,far_end_under_the_ceiling,qpFixed,1,1,0.003715,21102,10,0
0,corridor,corridor_entrance_from_above,qpAdaptive,1,1,0.000736,656,7,0
0,corridor,under_the_ceiling,qpAdaptive,1,1,0.002505,12428,16,0
0,corridor,far_end_under_the_ceiling,qpAdaptive,1,1,0.003493,7104,11,0
0,corridor,corridor_entrance_from_above,qpEnvelope,1,1,0.000651,532,7,0
0,corridor,under_the_ceiling,qpEnvelope,1,1,0.002416,15863,16,0
0,corridor,far_end_under_the_ceiling,qpEnvelope,1,1,0.003511,3889,11,0
0,shelf,lower_bay_left,isSafe,1,1,0.002383,1102,8,0
0,shelf,lower_bay_left,qpFixed,1,1,0.010141,12327,9,0
0,shelf,lower_bay_right,isSafe,1,1,0.003233,8242,9,0
0,shelf,lower_bay_right,qpFixed,1,1,0.002565,21196,12,0
0,shelf,upper_bay_left,isSafe,1,1,0.001520,2787,6,0
0,shelf,upper_bay_left,qpFixed,1,1,0.001101,4951,9,0
0,shelf,upper_bay_right,isSafe,1,1,0.000473,494,6,0
0,shelf,upper_bay_right,qpFixed,1,1,0.000779,4725,8,0
0,shelf,lower_bay_left,qpAdaptive,1,1,0.007117,13131,14,0
0,shelf,lower_bay_right,qpAdaptive,1,1,0.002663,11878,13,0
0,shelf,upper_bay_left,qpAdaptive,1,1,0.001061,4290,9,0
0,shelf,upper_bay_right,qpAdaptive,1,1,0.000684,2074,7,0
0,shelf,lower_bay_left,qpEnvelope,1,1,0.007046,3832,14,0
0,shelf,lower_bay_right,qpEnvelope,1,1,0.002543,15446,12,0
0,shelf,upper_bay_left,qpEnvelope,1,1,0.001042,2546,9,0
0,shelf,upper_bay_right,qpEnvelope,1,1,0.000636,1597,7,0
100,pillars,between_posts_right,isSafe,1,1,0.000252,279,6,0
100,pillars,between_posts_right,qpFixed,1,1,0.000667,1913,6,0
100,pillars,between_posts_left,isSafe,1,1,0.000221,232,5,0
100,pillars,between_posts_left,qpFixed,1,1,0.000530,2344,5,0
100,pillars,far_side_low,isSafe,1,1,0.000161,187,5,0
