scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,39,0.20959999999999998,0.2515,0.47100000000000003,2.338,4.515200000000008,5.0,5.0,6.0,7.5,11.200000000000003,228.6,255.5,469.0,2802.5,9709.400000000001
all scenes,qp-fixed,39,0.5268,0.6465,0.9859999999999999,3.8175,5.188600000000002,5.0,5.5,7.0,11.0,15.200000000000003,1166.0,1836.5,3158.0,19837.0,31743.600000000013
all scenes,qp-lipsch,39,0.29140000000000005,0.48650000000000004,0.784,3.7395,5.616800000000001,5.0,5.5,7.0,11.5,15.200000000000003,85.0,425.0,1408.0,6700.5,15233.800000000021
all scenes,qp-envelope,39,0.1832,0.33299999999999996,0.768,3.7249999999999996,5.639400000000002,5.0,5.5,7.0,11.5,15.200000000000003,39.6,175.0,1486.0,3860.5,9799.60000000002
clutter,rrtconnect,6,0.28250000000000003,0.29725,0.3315,0.33499999999999996,0.365,5.0,5.0,5.5,6.0,6.5,276.5,293.5,300.0,371.0,446.0
clutter,qp-fixed,6,0.8624999999999999,1.0014999999999998,2.409,4.023499999999999,4.6,5.5,6.25,8.0,9.75,15.0,2244.0,2532.5,5532.5,15938.0,58851.5
clutter,qp-lipsch,6,0.5565,0.5707500000000001,1.8455000000000001,3.57025,4.6034999999999995,6.0,6.0,7.5,9.0,14.5,736.0,866.5,1658.5,2635.75,15568.0
clutter,qp-envelope,6,0.6,0.7012499999999999,2.4510000000000005,4.479,5.052,6.0,6.0,7.5,9.0,14.5,595.0,764.75,1365.0,1826.5,5118.5
corridor,rrtconnect,9,0.4516,0.528,3.974,10.426,17.4044,6.0,7.0,10.0,12.0,13.0,349.8,469.0,9605.0,17067.0,18063.2
corridor,qp-fixed,9,0.7114,0.957,3.715,5.09,5.937,6.6,7.0,12.0,15.0,18.6,1622.4,2397.0,21102.0,29097.0,119671.40000000005
corridor,qp-lipsch,9,0.7272,0.741,3.493,5.039,6.4718,5.8,7.0,11.0,14.0,15.2,663.2,1093.0,7104.0,12428.0,18518.400000000005
corridor,qp-envelope,9,0.6208,0.651,3.245,4.981,6.304,5.8,7.0,11.0,13.0,15.2,519.2,620.0,3889.0,7032.0,9587.000000000002
pillars,rrtconnect,12,0.164,0.19849999999999998,0.21800000000000003,0.2285,0.2519,4.1,5.0,5.0,5.0,5.9,182.5,208.0,238.0,246.25,276.1
pillars,qp-fixed,12,0.4372,0.49525,0.536,0.5825,0.6628999999999999,5.0,5.0,5.0,6.0,6.0,902.6,956.0,1447.5,1954.75,2305.6000000000004
pillars,qp-lipsch,12,0.1967,0.26449999999999996,0.32899999999999996,0.42225,0.5037,5.0,5.0,5.0,5.25,6.0,55.8,70.5,97.0,208.25,482.6
pillars,qp-envelope,12,0.16040000000000001,0.16699999999999998,0.2435,0.3205,0.3394,4.1,5.0,5.0,5.25,6.0,26.5,36.25,43.5,130.0,177.4
shelf,rrtconnect,12,0.6688,0.865,1.798,2.38675,2.8129,6.0,6.0,7.0,8.0,8.9,745.0,812.5,1106.5,3280.25,7884.500000000001
shelf,qp-fixed,12,0.894,1.0185,2.234,4.05325,7.694800000000002,7.1,8.0,9.0,12.0,12.0,2382.2000000000003,4333.25,11325.0,22596.5,30460.100000000002
shelf,qp-lipsch,12,0.7934,1.0152500000000002,2.1225,4.133,6.872000000000001,7.0,8.5,9.5,13.25,16.700000000000003,1444.6000000000001,1999.0,3874.5,12191.25,20430.000000000004
shelf,qp-envelope,12,0.7759,0.99325,2.0495,4.11275,6.804800000000001,7.0,7.75,9.5,12.5,16.700000000000003,1487.4,1572.75,2712.5,8940.5,16458.5
