scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,240,1.553002,2.5918025,5.598145,34.666574999999995,151.69699999999997,11.0,17.0,33.5,191.75,839.6999999999999,1777.4,2953.25,6378.5,39054.25,173201.0
all scenes,qp-fixed,240,2.248943,4.198545,13.023900000000001,60.719449999999995,241.63979999999998,28.900000000000002,44.0,89.0,316.0,947.9999999999999,1558.7,3037.75,8042.0,34810.75,138664.69999999998
all scenes,qp-lipsch,240,0.7070877000000001,2.8179025,7.87429,37.130725,119.3244,13.0,27.0,50.0,169.0,453.29999999999995,340.6,1309.75,3787.0,16646.5,53750.9
all scenes,qp-free,240,3.627955,5.656805,11.052,73.57535,221.60499999999996,56.0,91.75,161.0,817.0,2133.4999999999995,3208.0,5193.5,9964.5,61901.25,173311.4
all scenes,qp-envelope,240,0.6872837,2.5791199999999996,6.035975,35.501,104.50789999999999,12.0,23.0,42.0,167.25,408.1,278.9,1135.25,2616.0,15505.5,44631.0
bookshelf_small,rrtconnect,30,1.1418340000000002,2.4372024999999997,5.386105,9.280327499999999,57.009770000000024,9.0,15.75,32.5,52.75,308.10000000000014,1309.1000000000001,2731.5,6136.5,10576.25,64781.50000000003
bookshelf_small,qp-fixed,30,0.8458749,2.0304275,5.766875000000001,20.8176,34.841460000000005,21.0,28.75,52.5,123.5,196.1,747.6,1561.25,3708.5,12251.25,20648.300000000003
bookshelf_small,qp-lipsch,30,0.321074,1.049676,4.380375000000001,12.682375,21.171020000000002,10.9,15.0,32.0,79.5,113.10000000000002,191.50000000000003,535.0,2075.5,6008.5,9798.200000000003
bookshelf_small,qp-free,30,1.247211,1.7592949999999998,9.981785,16.8965,28.676770000000015,26.8,36.25,135.5,212.25,384.5000000000001,1155.7,1618.0,8669.0,14880.0,25064.300000000014
bookshelf_small,qp-envelope,30,0.2881442,0.93924125,3.71199,10.6146,19.54895,9.0,16.5,33.5,63.0,92.70000000000002,106.00000000000001,405.75,1597.0,4595.5,8551.2
bookshelf_tall,rrtconnect,21,2.5772299999999997,3.37947,4.89994,7.06638,14.6897,17.0,22.0,30.0,42.0,84.0,2973.0,3906.0,5671.0,8160.0,16924.0
bookshelf_tall,qp-fixed,21,14.581,16.7427,20.950799999999997,36.8718,60.5509,89.0,100.0,119.0,175.0,282.0,8977.0,9916.0,11766.0,20512.0,34495.0
bookshelf_tall,qp-lipsch,21,7.90464,14.0381,18.2264,22.7309,40.6693,49.0,79.0,92.0,116.0,159.0,3815.0,6618.0,8648.0,10717.0,18019.0
bookshelf_tall,qp-free,21,5.6195,6.94591,10.1945,13.1728,37.035,78.0,99.0,135.0,162.0,481.0,5230.0,6006.0,8835.0,11274.0,32736.0
bookshelf_tall,qp-envelope,21,5.137499999999999,7.14853,11.6081,16.9945,38.482,38.0,49.0,59.0,83.0,167.0,2218.0,3271.0,5166.0,7612.0,16870.0
bookshelf_thin,rrtconnect,9,2.1798840000000004,2.90733,5.2176,18.3205,101.93340000000005,14.8,19.0,31.0,104.0,524.6000000000003,2485.2,3305.0,5983.0,21125.0,113942.40000000005
bookshelf_thin,qp-fixed,9,2.691732,5.09503,6.44062,9.7556,10.830940000000002,26.4,41.0,57.0,75.0,75.2,1793.8,3319.0,4235.0,5964.0,6553.0
bookshelf_thin,qp-lipsch,9,3.2276180000000005,3.57844,5.5731399999999995,7.36001,10.728408000000002,26.2,31.0,41.0,45.0,61.2,1506.2,1597.0,2620.0,3355.0,4902.200000000001
bookshelf_thin,qp-free,9,9.555604,10.9001,14.248999999999999,21.774,139.38356000000005,139.4,171.0,211.0,329.0,1790.4000000000003,8530.4,9970.0,12626.0,19723.0,116345.80000000003
bookshelf_thin,qp-envelope,9,3.2472980000000002,3.47247,4.859579999999999,6.11633,9.202524000000002,22.2,29.0,34.0,40.0,53.400000000000006,1333.0,1512.0,2068.0,2669.0,3884.600000000001
box,rrtconnect,60,1.6140030000000003,1.8808825,3.4311749999999996,7.226252499999999,10.737060000000001,11.8,13.0,21.5,42.5,62.300000000000004,1819.5,2139.75,3910.0,8184.0,12299.0
