seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
2,bookshelf_tall,1,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,1,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,1,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,1,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,1,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,2,isSafe,1,1,0.131143,152641,79,12.1262,14,608,2,-0.000549665,0.00249477,0,0,0,0,278,74,0.284173,0,0,0,0,0,0
2,bookshelf_tall,2,qpFixed,1,1,0.0558882,32014,258,15.6672,2084,2084,6,-0.000805501,0.00249477,0,0,0.00580941,0,549,220,0.469945,0,0,0,1,0,0
2,bookshelf_tall,2,qpAdaptive,1,1,0.0205736,9175,96,13.3302,1027,1027,0,0.00125634,0.00249477,0,0,0.00992993,0.0874114,163,74,0.588957,0,0,0,0.911826,0.0840327,0.00414169
2,bookshelf_tall,2,qpFreeGate,1,1,0.00565444,5230,95,13.5524,1754,1754,0,0.00531366,0.00249477,0,0,0.00716271,0,216,73,0.439815,0,0,0,1,0,0
2,bookshelf_tall,2,qpEnvelope,1,1,0.0209498,8878,102,14.2093,1178,1178,0,0.0011844,0.00249477,0,0,0.010844,0.0283848,163,74,0.625767,0,0,0,0.971615,0.023654,0.0047308
2,bookshelf_tall,8,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,8,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,8,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,8,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,8,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,9,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,9,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,9,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,9,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,9,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,10,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,10,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,10,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,10,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,10,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,11,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,11,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,11,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,11,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,11,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,15,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,15,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,15,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,15,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,15,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,17,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,17,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,17,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,17,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,17,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,19,isSafe,1,1,0.0607601,70721,38,13.2253,15,663,0,0.0031204,0.00249477,0,0,0,0,135,31,0.281481,0,0,0,0,0,0
2,bookshelf_tall,19,qpFixed,1,1,0.0197786,11507,111,8.225,1100,1100,0,0.000781074,0.00249477,0,0,0.00591152,0,181,91,0.61326,0,0,0,1,0,0
2,bookshelf_tall,19,qpAdaptive,1,1,0.018332,8648,102,13.9891,1183,1183,0,0.000657251,0.00249477,0,0,0.00892157,0.077012,134,68,0.761194,0,0,0,0.922525,0.074815,0.00265957
2,bookshelf_tall,19,qpFreeGate,1,1,0.0070252,6164,111,12.0403,1602,1602,0,0.00338547,0.00249477,0,0,0.00704833,0,342,96,0.324561,0,0,0,1,0,0
2,bookshelf_tall,19,qpEnvelope,1,1,0.0127098,5508,59,8.4807,848,848,0,0.000657251,0.00249477,0,0,0.00803594,0.0279593,90,42,0.655556,0,0,0,0.971859,0.0266885,0.00145243
2,bookshelf_tall,22,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,22,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,22,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,22,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,22,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall,23,isSafe,1,1,0.0352679,41038,23,9.46162,11,475,0,0.000323274,0.00249477,0,0,0,0,51,17,0.45098,0,0,0,0,0,0
2,bookshelf_tall,23,qpFixed,1,1,0.0162313,9471,89,9.11246,1189,1189,35,-0.000477322,0.00249477,0,0,0.00593811,0,154,70,0.577922,0,0,0,1,0,0
2,bookshelf_tall,23,qpAdaptive,1,1,0.00713464,3446,49,12.4734,1203,1203,0,0.000309456,0.00249477,0,0,0.0105573,0.103018,53,32,0.924528,0,0,0,0.895821,0.0989553,0.00522345
2,bookshelf_tall,23,qpFreeGate,1,1,0.00809062,6997,112,14.0793,1844,1844,0,0.00424879,0.00249477,0,0,0.00716467,0,337,100,0.332344,0,0,0,1,0,0
2,bookshelf_tall,23,qpEnvelope,1,1,0.00684784,2962,40,11.5681,944,944,0,0.000160773,0.00249477,0,0,0.0128478,0.0638082,51,29,0.784314,0,0,0,0.936192,0.0573937,0.00641458
