seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,1,isSafe,1,1,0.00466943,2167,8,10.752,7,5377,0,0.00785175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0,0,0,0
1,bookshelf_tall,4,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,7,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,10,isSafe,1,1,0.00329485,1854,7,9.00351,6,4503,0,0.00394789,0.00249477,0,0,0,0,17,3,0.411765,0,0,0,0,0,0
1,bookshelf_tall,13,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,16,isSafe,1,0,10.0001,3943932,21621,0,0,0,0,inf,inf,0,0,0,0,179475,21619,0.120468,0,0,0,0,0,0
1,bookshelf_tall,20,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,23,isSafe,1,1,0.00493939,2909,10,10.1824,7,5093,0,0.00391623,0.00249477,0,0,0,0,20,6,0.5,0,0,0,0,0,0
1,bookshelf_tall,27,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,30,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,33,isSafe,1,1,0.0278385,13389,33,12.0293,8,6016,0,0.000247722,0.00249477,0,0,0,0,172,29,0.19186,0,0,0,0,0,0
1,bookshelf_tall,36,isSafe,1,1,0.021958,11336,30,15.7279,9,7865,0,0.00529606,0.00249477,0,0,0,0,170,27,0.176471,0,0,0,0,0,0
