seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,3,isSafe,1,0,10.0002,3838297,21309,0,0,0,0,inf,inf,0,0,0,0,218403,21307,0.0975673,0,0,0,0,0,0
1,bookshelf_tall,6,isSafe,1,0,10.0001,3941422,21620,0,0,0,0,inf,inf,0,0,0,0,190895,21618,0.113256,0,0,0,0,0,0
1,bookshelf_tall,9,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,12,isSafe,1,0,10.0003,3812174,20776,0,0,0,0,inf,inf,0,0,0,0,190547,20774,0.109033,0,0,0,0,0,0
1,bookshelf_tall,15,isSafe,1,1,0.0888948,44046,118,16.3734,10,8188,0,0.00375659,0.00249477,0,0,0,0,904,114,0.130531,0,0,0,0,0,0
1,bookshelf_tall,19,isSafe,1,1,0.035064,18033,48,18.5083,11,9256,0,0.00623182,0.00249477,0,0,0,0,222,43,0.216216,0,0,0,0,0,0
1,bookshelf_tall,22,isSafe,1,1,0.122921,60965,164,21.0608,12,10532,0,0.00680062,0.00249477,0,0,0,0,1296,161,0.126543,0,0,0,0,0,0
1,bookshelf_tall,26,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,29,isSafe,1,1,0.0103591,5176,15,10.9601,7,5482,0,0.00536666,0.00249477,0,0,0,0,72,12,0.208333,0,0,0,0,0,0
1,bookshelf_tall,32,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,35,isSafe,1,0,10.0002,4032344,22247,0,0,0,0,inf,inf,0,0,0,0,200969,22245,0.110699,0,0,0,0,0,0
1,bookshelf_tall,38,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,41,isSafe,1,1,0.00613009,3122,10,13.4756,8,6739,0,0.00332635,0.00249477,0,0,0,0,14,6,0.714286,0,0,0,0,0,0
1,bookshelf_tall,44,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,47,isSafe,1,1,0.0105374,5483,16,14.8569,9,7430,0,0.00837888,0.00249477,0,0,0,0,54,12,0.296296,0,0,0,0,0,0
1,bookshelf_tall,50,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,53,isSafe,1,1,0.00657585,2991,10,10.1487,7,5076,0,0.00523036,0.00249477,0,0,0,0,14,6,0.714286,0,0,0,0,0,0
1,bookshelf_tall,56,isSafe,1,1,0.0164004,8597,23,15.879,9,7941,0,0.00343984,0.00249477,0,0,0,0,55,18,0.418182,0,0,0,0,0,0
1,bookshelf_tall,59,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,62,isSafe,1,1,0.0600116,29741,76,16.0157,10,8009,0,0.00572261,0.00249477,0,0,0,0,484,72,0.157025,0,0,0,0,0,0
1,bookshelf_tall,65,isSafe,1,1,0.00740618,3647,12,14.1171,9,7060,0,0.0012917,0.00249477,0,0,0,0,16,7,0.75,0,0,0,0,0,0
1,bookshelf_tall,69,isSafe,1,1,0.0596148,29776,79,20.0808,12,10042,0,0.00497499,0.00249477,0,0,0,0,502,75,0.157371,0,0,0,0,0,0
1,bookshelf_tall,72,isSafe,1,1,0.00305991,1747,7,8.67745,6,4340,0,0.0010203,0.00249477,0,0,0,0,2,2,3.5,0,0,0,0,0,0
1,bookshelf_tall,75,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
