seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,1,isSafe,1,1,0.00211634,1092,8,10.752,7,5377,0,0.00785175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0,0,0,0
1,bookshelf_tall,5,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,13,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,17,isSafe,1,1,0.00516183,2814,16,11.0024,7,5503,0,0.00496561,0.00249477,0,0,0,0,48,12,0.333333,0,0,0,0,0,0
1,bookshelf_tall,22,isSafe,1,1,0.0578795,31739,164,21.0608,12,10532,0,0.00680062,0.00249477,0,0,0,0,1296,161,0.126543,0,0,0,0,0,0
1,bookshelf_tall,27,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,35,isSafe,1,0,10,3445119,39571,0,0,0,0,inf,inf,0,0,0,0,353941,39569,0.111801,0,0,0,0,0,0
1,bookshelf_tall,39,isSafe,1,0,10.0001,3505734,40449,0,0,0,0,inf,inf,0,0,0,0,356963,40447,0.113314,0,0,0,0,0,0
1,bookshelf_tall,43,isSafe,1,0,10,3429723,39329,0,0,0,0,inf,inf,0,0,0,0,345599,39327,0.1138,0,0,0,0,0,0
1,bookshelf_tall,47,isSafe,1,1,0.00492507,2798,16,14.8569,9,7430,0,0.00837888,0.00249477,0,0,0,0,54,12,0.296296,0,0,0,0,0,0
1,bookshelf_tall,51,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,55,isSafe,1,1,0.0432684,24527,120,11.0814,7,5542,0,0.0045758,0.00249477,0,0,0,0,1058,117,0.113422,0,0,0,0,0,0
1,bookshelf_tall,59,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,63,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,68,isSafe,1,1,0.00252245,1336,9,10.5203,7,5262,0,0.0039897,0.00249477,0,0,0,0,15,5,0.6,0,0,0,0,0,0
1,bookshelf_tall,72,isSafe,1,1,0.00153677,879,7,8.67745,6,4340,0,0.0010203,0.00249477,0,0,0,0,2,2,3.5,0,0,0,0,0,0
1,bookshelf_tall,76,isSafe,1,0,10.0002,3507319,40448,0,0,0,0,inf,inf,0,0,0,0,342537,40446,0.118084,0,0,0,0,0,0
1,bookshelf_tall,80,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,84,isSafe,1,1,0.00122802,812,7,8.03249,6,4018,0,0.00303427,0.00249477,0,0,0,0,4,2,1.75,0,0,0,0,0,0
1,bookshelf_tall,88,isSafe,1,1,0.00140895,832,6,7.88448,5,3944,0,0.00492746,0.00249477,0,0,0,0,24,3,0.25,0,0,0,0,0,0
1,bookshelf_tall,93,isSafe,1,1,0.0378385,21002,106,20.0548,12,10029,0,0.000416962,0.00249477,0,0,0,0,814,102,0.130221,0,0,0,0,0,0
