seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,2,isSafe,1,1,0.0175692,10033,49,19.9482,11,9976,0,0.00110814,0.00249477,0,0,0,0,324,46,0.151235,0,0,0,0,0,0
1,bookshelf_tall,6,isSafe,1,0,10,3373667,38621,0,0,0,0,inf,inf,0,0,0,0,340978,38619,0.113265,0,0,0,0,0,0
1,bookshelf_tall,10,isSafe,1,1,0.0015268,954,7,9.00351,6,4503,0,0.00394789,0.00249477,0,0,0,0,17,3,0.411765,0,0,0,0,0,0
1,bookshelf_tall,14,isSafe,1,0,10,3385620,38767,0,0,0,0,inf,inf,0,0,0,0,365981,38765,0.105926,0,0,0,0,0,0
1,bookshelf_tall,19,isSafe,1,1,0.0161292,9311,48,18.5083,11,9256,0,0.00623182,0.00249477,0,0,0,0,222,43,0.216216,0,0,0,0,0,0
1,bookshelf_tall,23,isSafe,1,1,0.0023671,1491,10,10.1824,7,5093,0,0.00391623,0.00249477,0,0,0,0,20,6,0.5,0,0,0,0,0,0
1,bookshelf_tall,28,isSafe,1,1,0.0073231,4001,20,15.9015,9,7952,0,0.00135438,0.00249477,0,0,0,0,80,16,0.25,0,0,0,0,0,0
1,bookshelf_tall,32,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,36,isSafe,1,1,0.0103258,5823,30,15.7279,9,7865,0,0.00529606,0.00249477,0,0,0,0,170,27,0.176471,0,0,0,0,0,0
1,bookshelf_tall,40,isSafe,1,1,0.0540004,29659,156,17.2181,11,8611,0,0.00280806,0.00249477,0,0,0,0,1254,152,0.124402,0,0,0,0,0,0
1,bookshelf_tall,44,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,48,isSafe,1,0,10,3518257,40629,0,0,0,0,inf,inf,0,0,0,0,365876,40627,0.111046,0,0,0,0,0,0
1,bookshelf_tall,52,isSafe,1,1,0.0615199,35899,191,10.1278,7,5065,0,0.00334797,0.00249477,0,0,0,0,1556,187,0.122751,0,0,0,0,0,0
1,bookshelf_tall,56,isSafe,1,1,0.00772068,4419,23,15.879,9,7941,0,0.00343984,0.00249477,0,0,0,0,55,18,0.418182,0,0,0,0,0,0
1,bookshelf_tall,60,isSafe,1,0,10,3405346,39122,0,0,0,0,inf,inf,0,0,0,0,377825,39120,0.103545,0,0,0,0,0,0
1,bookshelf_tall,64,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,69,isSafe,1,1,0.0293646,15428,79,20.0808,12,10042,0,0.00497499,0.00249477,0,0,0,0,502,75,0.157371,0,0,0,0,0,0
1,bookshelf_tall,73,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,77,isSafe,1,1,0.0211579,11819,60,14.6454,9,7324,0,0.00962253,0.00249477,0,0,0,0,412,56,0.145631,0,0,0,0,0,0
1,bookshelf_tall,81,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,85,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,89,isSafe,1,1,0.00208623,1233,9,12.1034,8,6053,0,0.00835207,0.00249477,0,0,0,0,6,4,1.5,0,0,0,0,0,0
