scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,80,0.3947357,0.6259775,1.31941,7.911855,36.73003000000003,12.0,17.75,35.5,191.75,773.3000000000006,412.9,686.0,1484.5,8804.25,37796.50000000003
all scenes,qp-fixed,80,0.2005138,0.2711825,0.5782745,5.525549999999999,18.322640000000018,7.9,9.0,13.0,78.0,208.80000000000015,147.7,204.25,343.5,2924.0,9450.40000000001
all scenes,qp-lipsch,80,0.13442510000000002,0.22767474999999998,0.6396075,6.421925,21.371890000000015,7.9,9.0,13.0,78.0,208.80000000000015,73.0,111.75,300.5,2788.25,8989.20000000001
all scenes,qp-free,80,0.6326149,0.9502852500000001,1.88125,10.886025,45.55464,22.9,33.75,60.0,295.5,1063.4000000000003,559.9,852.0,1689.0,8963.75,33703.8
all scenes,qp-envelope,80,0.1568029,0.24869050000000004,0.6633565,6.603445,21.947800000000015,7.9,9.0,13.0,78.0,208.80000000000015,53.9,94.75,278.5,2739.5,8790.700000000008
bookshelf_small,rrtconnect,10,0.40585910000000003,0.5219895,1.163443,2.8340475,19.042609999999996,13.5,16.0,29.5,66.75,395.9,450.4,591.5,1305.5,3197.0,20829.899999999998
bookshelf_small,qp-fixed,10,0.1957266,0.201902,0.37915750000000004,0.9680545,1.6524709999999998,8.0,9.0,10.5,18.0,29.5,146.9,162.25,251.5,560.25,1006.5999999999999
bookshelf_small,qp-lipsch,10,0.16158129999999998,0.180195,0.36627750000000003,1.06558925,1.7417289999999999,8.0,9.0,10.5,18.0,29.5,88.4,97.75,179.0,481.75,792.4999999999999
bookshelf_small,qp-free,10,0.38338,0.8004425000000001,1.52893,4.58315,5.147841,16.3,27.0,49.0,147.75,156.7,363.0,707.25,1320.0,4098.5,4482.0
bookshelf_small,qp-envelope,10,0.1704208,0.2006205,0.37811550000000005,1.073695,1.7936839999999996,8.0,9.0,10.5,18.0,29.5,57.4,81.5,153.5,448.75,729.9999999999999
