scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,39,0.1608,0.195,0.356,1.791,5.4884,6.0,6.5,8.0,10.0,11.400000000000006,188.4,216.5,395.0,1517.5,5601.800000000008
all scenes,qp-fixed,39,0.1568,0.1835,0.3,1.727,2.5854000000000017,6.0,7.0,8.0,12.5,17.80000000000001,133.0,148.0,202.0,772.0,2269.400000000002
all scenes,qp-lipsch,39,0.05740000000000001,0.11599999999999999,0.27999999999999997,1.983,2.9288000000000016,6.0,7.0,8.0,12.0,17.80000000000001,32.8,64.5,127.0,647.5,2165.2000000000016
all scenes,qp-free,39,0.156,0.1925,0.82,3.7495,7.720400000000009,6.0,7.0,10.0,16.5,21.400000000000006,133.0,154.0,333.0,3108.0,6469.40000000001
all scenes,qp-envelope,39,0.07160000000000001,0.1285,0.304,2.0185000000000004,3.090200000000001,6.0,7.0,8.0,12.5,17.80000000000001,18.400000000000002,37.5,117.0,604.0,2125.8000000000015
clutter,rrtconnect,6,0.225,0.22775,0.277,0.3255,0.34199999999999997,6.0,6.0,7.0,8.75,9.5,203.5,236.25,294.5,309.25,602.0
clutter,qp-fixed,6,0.235,0.25175000000000003,0.9165000000000001,1.81825,2.097,7.0,7.25,8.5,9.75,11.5,160.0,186.5,328.5,620.5,1727.0
clutter,qp-lipsch,6,0.20650000000000002,0.22675,1.0565,2.06925,2.402,7.5,8.0,8.5,9.75,12.0,98.5,111.75,272.0,550.0,1638.5
clutter,qp-free,6,0.331,0.36850000000000005,0.6385,0.88675,1.3775,6.0,6.25,8.0,9.75,10.5,170.5,202.0,296.5,696.25,1003.5
clutter,qp-envelope,6,0.2125,0.23174999999999998,1.0819999999999999,2.107,2.484,7.5,8.0,8.5,9.75,12.0,73.0,84.0,247.0,512.75,1579.0
corridor,rrtconnect,9,0.2656,0.408,5.457,7.462,8.2818,8.6,10.0,11.0,13.0,13.600000000000001,361.4,403.0,2674.0,8438.0,15038.800000000003
corridor,qp-fixed,9,0.2196,0.236,1.1509999999999998,2.1220000000000003,2.5854,7.0,8.0,13.0,21.0,21.2,155.6,172.0,920.0,1753.0,2277.4
corridor,qp-lipsch,9,0.1902,0.205,1.271,2.3640000000000003,2.9486000000000003,7.8,8.0,12.0,21.0,21.2,90.6,105.0,713.0,1518.0,2165.2000000000003
corridor,qp-free,9,0.3374,0.805,7.093,10.078,13.121,9.8,11.0,18.0,20.0,25.4,272.2,323.0,2251.0,9275.0,10290.6
corridor,qp-envelope,9,0.1844,0.201,1.3259999999999998,2.5010000000000003,3.1076,7.8,8.0,12.0,21.0,21.2,55.6,65.0,656.0,1452.0,2125.8
pillars,rrtconnect,12,0.13520000000000001,0.14825,0.182,0.193,0.1966,5.0,5.75,6.0,7.0,7.0,153.4,181.0,203.5,215.0,225.8
pillars,qp-fixed,12,0.1256,0.14975,0.1615,0.178,0.1879,5.0,5.75,6.0,7.0,7.0,112.5,126.0,135.0,147.25,156.4
pillars,qp-lipsch,12,0.0502,0.05425,0.06899999999999999,0.08424999999999999,0.1168,5.0,5.75,6.0,7.0,7.0,22.3,30.25,36.5,57.25,64.9
pillars,qp-free,12,0.1231,0.15025,0.1585,0.17475,0.19290000000000002,5.0,5.75,6.0,7.0,7.0,112.5,126.0,135.0,147.25,156.4
pillars,qp-envelope,12,0.0551,0.06649999999999999,0.074,0.09325,0.12969999999999998,5.0,5.75,6.0,7.0,7.0,14.2,16.0,20.5,29.0,39.5
shelf,rrtconnect,12,0.5055999999999999,0.70075,1.4395,1.9035,2.2329,7.1,8.75,9.0,11.0,11.0,462.5,538.25,1065.0,1801.75,3774.4000000000005
shelf,qp-fixed,12,0.3014,0.31625000000000003,0.6775,2.1925,4.0584999999999996,7.1,8.75,11.5,13.75,16.9,191.2,224.5,531.5,916.25,2743.100000000001
shelf,qp-lipsch,12,0.283,0.313,0.728,2.3970000000000002,4.4886,7.1,8.75,11.5,14.5,16.9,127.7,183.5,473.0,779.25,2559.3000000000006
shelf,qp-free,12,0.9486000000000001,1.506,3.2024999999999997,4.303249999999999,6.364700000000001,11.0,11.0,15.0,21.0,22.8,570.8,1109.0,3108.0,5068.0,5729.8
shelf,qp-envelope,12,0.30519999999999997,0.32275,0.7535000000000001,2.43825,4.5363,7.1,8.75,11.5,13.75,16.9,117.8,177.5,457.0,743.25,2468.7000000000007
