seed,scene,problem,method,eligible,solved,seconds,samples,vertices,skipped
0,clutter,1,isSafe,1,1,0.000236,221,6,0
0,clutter,1,qpAdaptive,1,1,0.000235,126,8,0
0,clutter,2,isSafe,1,1,0.000328,307,9,0
0,clutter,2,qpAdaptive,1,1,0.002133,418,9,0
100,clutter,1,isSafe,1,1,0.000225,310,6,0
100,clutter,1,qpAdaptive,1,1,0.000189,107,7,0
100,clutter,2,isSafe,1,1,0.000356,282,8,0
100,clutter,2,qpAdaptive,1,1,0.002671,594,10,0
200,clutter,1,isSafe,1,1,0.000225,186,6,0
200,clutter,1,qpAdaptive,1,1,0.000224,90,8,0
200,clutter,2,isSafe,1,1,0.000318,894,10,0
200,clutter,2,qpAdaptive,1,1,0.001878,2683,14,0
0,clutter,1,qpEnvelope,1,1,0.000249,99,8,0
0,clutter,2,qpEnvelope,1,1,0.002171,395,9,0
100,clutter,1,qpEnvelope,1,1,0.000199,79,7,0
100,clutter,2,qpEnvelope,1,1,0.002797,552,10,0
200,clutter,1,qpEnvelope,1,1,0.000226,67,8,0
200,clutter,2,qpEnvelope,1,1,0.001915,2606,14,0
0,clutter,1,qpFixed,1,1,0.000251,212,8,0
0,clutter,2,qpFixed,1,1,0.001898,445,9,0
100,clutter,1,qpFixed,1,1,0.000219,178,7,0
100,clutter,2,qpFixed,1,1,0.002296,679,10,0
200,clutter,1,qpFixed,1,1,0.000254,142,7,0
200,clutter,2,qpFixed,1,1,0.001579,2775,13,0
0,clutter,1,qpFreeGate,1,1,0.000339,177,6,0
0,clutter,2,qpFreeGate,1,1,0.000820,316,9,0
100,clutter,1,qpFreeGate,1,1,0.000323,277,7,0
100,clutter,2,qpFreeGate,1,1,0.001846,823,11,0
200,clutter,1,qpFreeGate,1,1,0.000457,164,6,0
200,clutter,2,qpFreeGate,1,1,0.000909,1184,10,0
0,corridor,1,isSafe,1,1,0.000275,395,10,0
0,corridor,1,qpAdaptive,1,1,0.000199,91,8,0
0,corridor,2,isSafe,1,1,0.005614,11509,13,0
0,corridor,2,qpAdaptive,1,1,0.001271,713,14,0
0,corridor,3,isSafe,1,1,0.009985,29158,11,0
0,corridor,3,qpAdaptive,1,1,0.002364,1518,21,0
100,corridor,1,isSafe,1,1,0.000408,403,9,0
100,corridor,1,qpAdaptive,1,1,0.000205,105,8,0
100,corridor,2,isSafe,1,1,0.005457,2674,10,0
100,corridor,2,qpAdaptive,1,1,0.001096,423,10,0
100,corridor,3,isSafe,1,1,0.007462,1656,11,0
100,corridor,3,qpAdaptive,1,1,0.003423,2670,22,0
200,corridor,1,isSafe,1,1,0.000228,227,7,0
200,corridor,1,qpAdaptive,1,1,0.000155,89,7,0
200,corridor,2,isSafe,1,1,0.004280,7849,16,0
200,corridor,2,qpAdaptive,1,1,0.002197,2039,12,0
200,corridor,3,isSafe,1,1,0.007856,8438,13,0
200,corridor,3,qpAdaptive,1,1,0.002830,840,21,0
0,corridor,1,qpEnvelope,1,1,0.000192,56,8,0
0,corridor,2,qpEnvelope,1,1,0.001326,656,14,0
0,corridor,3,qpEnvelope,1,1,0.002501,1452,21,0
