seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
29,bookshelf_tall,1,isSafe,1,1,0.00341879,419,7,9.33981,6,468,0,0.00261411,0.00249477,0,0,0,0,5,3,1.4,0,0,0
29,bookshelf_tall,1,bubbleCBF,1,1,0.00169205,103,7,8.30203,464,464,0,0.00490876,0.00249477,0,0,0.0806023,0.553398,1,1,7,0,0,0
29,bookshelf_tall,2,isSafe,1,1,0.00931294,2799,33,14.1783,9,710,0,0.00731366,0.00249477,0,0,0,0,183,29,0.180328,0,0,0
29,bookshelf_tall,2,bubbleCBF,1,1,0.00384667,423,14,11.8738,726,726,0,0.00332231,0.00249477,0,0,0.0357939,0.0638298,4,3,3.5,0,0,0
29,bookshelf_tall,3,isSafe,1,0,1.00036,134029,2154,0,0,0,0,inf,inf,0,0,0,0,21789,2152,0.0988572,0,0,0
29,bookshelf_tall,3,bubbleCBF,1,0,1.00073,72189,641,0,0,0,0,inf,inf,0,0,0.0199916,0.0293951,1257,592,0.509944,0,0,0
29,bookshelf_tall,4,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,4,bubbleCBF,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,5,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,5,bubbleCBF,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,6,isSafe,1,0,1.00013,145877,2406,0,0,0,0,inf,inf,0,0,0,0,21405,2404,0.112404,0,0,0
29,bookshelf_tall,6,bubbleCBF,1,0,1.00003,73517,684,0,0,0,0,inf,inf,0,0,0.0206821,0.0341826,1247,645,0.548516,0,0,0
29,bookshelf_tall,7,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,7,bubbleCBF,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,8,isSafe,1,1,0.0121991,1632,21,13.3807,8,671,0,0.00116207,0.00249477,0,0,0,0,63,16,0.333333,0,0,0
