seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
29,bookshelf_tall,1,isSafe,1,1,0.00313208,419,7,9.33981,6,468,0,0.00261411,0.00249477,0,0,0,0,5,3,1.4,0,0,0
29,bookshelf_tall,1,bubbleCBF,1,1,0.00141855,84,7,8.30203,456,456,0,0.00490876,0.00249477,0,0,0.0988337,0.5,1,1,7,0,0,0
29,bookshelf_tall,2,isSafe,1,1,0.0214101,2799,33,14.1783,9,710,0,0.00731366,0.00249477,0,0,0,0,183,29,0.180328,0,0,0
29,bookshelf_tall,2,bubbleCBF,1,1,0.00708772,418,14,11.8734,726,726,0,0.00332231,0.00249477,0,0,0.0362213,0.0550239,4,3,3.5,0,0,0
29,bookshelf_tall,3,isSafe,1,0,1.00012,142032,2302,0,0,0,0,inf,inf,0,0,0,0,23405,2300,0.0983551,0,0,0
29,bookshelf_tall,3,bubbleCBF,1,0,1.00079,76043,675,0,0,0,0,inf,inf,0,0,0.0201712,0.0286022,1334,629,0.505997,0,0,0
29,bookshelf_tall,4,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,4,bubbleCBF,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,5,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,5,bubbleCBF,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,6,isSafe,1,0,1.0001,148593,2457,0,0,0,0,inf,inf,0,0,0,0,21911,2455,0.112135,0,0,0
29,bookshelf_tall,6,bubbleCBF,1,0,1.0002,72823,686,0,0,0,0,inf,inf,0,0,0.0210583,0.0305947,1250,646,0.5488,0,0,0
29,bookshelf_tall,7,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,7,bubbleCBF,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_tall,8,isSafe,1,1,0.0108184,1632,21,13.3807,8,671,0,0.00116207,0.00249477,0,0,0,0,63,16,0.333333,0,0,0
29,bookshelf_tall,8,bubbleCBF,1,1,0.0134161,820,22,10.6512,749,749,0,0.00227847,0.00249477,0,0,0.0290782,0.0329268,7,7,3.14286,0,0,0
29,bookshelf_tall,9,isSafe,1,1,0.0634446,8571,98,23.6825,13,1186,1,-0.000249949,0.00249477,0,0,0,0,686,95,0.142857,0,0,0
29,bookshelf_tall,9,bubbleCBF,1,1,0.00244708,180,8,7.56938,455,455,1,-0.000249949,0.00249477,0,0,0.0444773,0.1,2,2,4,0,0,0
29,bookshelf_tall,10,isSafe,1,1,0.00373831,1171,16,12.1451,8,609,0,0.00196562,0.00249477,0,0,0,0,33,11,0.484848,0,0,0
29,bookshelf_tall,10,bubbleCBF,1,1,0.00418667,413,11,10.2488,677,677,0,0.00196562,0.00249477,0,0,0.0337935,0.0556901,4,4,2.75,0,0,0
29,bookshelf_thin,1,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_thin,1,bubbleCBF,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_thin,2,isSafe,1,1,0.023125,2697,33,20.6739,12,1035,0,0.00529709,0.00249477,0,0,0,0,148,29,0.222973,0,0,0
29,bookshelf_thin,2,bubbleCBF,1,1,0.00315152,180,8,8.74866,526,526,0,0.00340378,0.00249477,0,0,0.0486037,0.1,1,1,8,0,0,0
29,bookshelf_thin,3,isSafe,1,1,0.00191571,297,6,7.29078,5,366,0,0.00344607,0.00249477,0,0,0,0,1,1,6,0,0,0
29,bookshelf_thin,3,bubbleCBF,1,1,0.000843834,54,6,7.55541,401,401,0,0.00344607,0.00249477,0,0,0.139915,0.648148,1,1,6,0,0,0
29,bookshelf_thin,4,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_thin,4,bubbleCBF,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_thin,5,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_thin,5,bubbleCBF,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
29,bookshelf_thin,6,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
