scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,514,22.20873,38.15245,73.86655,261.421,1961.1489999999983,7.0,10.0,18.0,58.0,536.0999999999999,19433.100000000002,31174.0,61459.5,215281.0,1706237.2999999996
all scenes,qp-plain,520,45.59844,61.674075,136.765,376.84675000000004,1134.8070000000007,5.900000000000006,6.0,10.0,23.0,60.10000000000002,8248.5,12102.0,22777.5,61709.25,195211.80000000022
all scenes,qp-fixed,520,11.24036,15.853575,38.61665000000001,117.336,379.72050000000024,5.900000000000006,6.0,10.0,23.0,60.10000000000002,8248.5,12102.0,22777.5,61709.25,195211.80000000022
all scenes,qp-lipsch,520,2.4780310000000005,6.405592499999999,27.747100000000003,112.74499999999999,376.0719000000004,5.900000000000006,6.0,10.0,23.0,60.10000000000002,892.5,2972.25,12020.5,47563.5,165995.80000000013
all scenes,qp-free,516,37.05315,62.520475,120.8965,345.5355,2409.025,11.0,17.0,31.5,81.75,599.0,24800.5,40049.25,81750.5,231343.75,1548601.5
all scenes,qp-envelope,520,1.9575800000000003,6.0828075,26.8852,109.95525,364.3871000000007,5.0,6.0,10.0,23.0,57.200000000000045,673.6000000000001,2786.0,11272.0,44451.25,157856.20000000016
bookshelf_small,rrtconnect,57,19.04724,23.5415,101.937,236.371,577.8387999999997,6.0,8.0,23.0,46.0,135.59999999999997,14792.0,23278.0,78906.0,173900.0,491377.9999999999
bookshelf_small,qp-plain,57,38.743640000000006,53.6625,90.2032,204.769,388.95859999999993,5.0,6.0,7.0,12.0,23.0,7714.6,8960.0,14400.0,30041.0,55784.799999999996
bookshelf_small,qp-fixed,57,10.400360000000001,12.1622,21.6085,53.2444,108.96619999999999,5.0,6.0,7.0,12.0,23.0,7714.6,8960.0,14400.0,30041.0,55784.799999999996
bookshelf_small,qp-lipsch,57,1.0451244000000002,4.23727,10.4665,40.7481,98.21767999999999,5.0,6.0,7.0,13.0,23.0,531.6000000000001,2053.0,4579.0,16709.0,38949.6
bookshelf_small,qp-free,57,22.93558,38.284600000000005,116.716,216.121,513.8631999999998,7.0,13.0,29.0,45.0,112.79999999999995,14970.6,24894.0,77693.0,127261.0,308088.7999999998
bookshelf_small,qp-envelope,57,0.6745860000000001,3.82402,11.568200000000001,37.1643,103.00309999999999,5.0,6.0,7.0,12.0,23.0,273.00000000000006,1740.0,4249.0,16254.0,37588.2
bookshelf_tall,rrtconnect,46,23.4448,42.428225,96.715,285.3455,600.7729999999999,8.5,10.5,24.0,60.0,129.0,22874.5,32738.5,87354.0,220621.75,474181.0
bookshelf_tall,qp-plain,46,53.4564,97.36945,150.48250000000002,357.18425,618.9124999999999,6.0,9.0,12.0,21.75,38.0,8953.0,17986.75,28342.0,53002.25,95691.0
bookshelf_tall,qp-fixed,46,12.77835,28.769725,49.2577,117.60325,188.6565,6.0,9.0,12.0,21.75,38.0,8953.0,17986.75,28342.0,53002.25,95691.0
bookshelf_tall,qp-lipsch,46,7.368035,16.3063,40.350350000000006,111.642,185.9875,6.0,9.0,12.0,22.5,38.0,3338.0,8483.5,19462.0,43376.75,75540.5
bookshelf_tall,qp-free,46,40.24995,53.326575,107.8075,248.02275,568.6215,11.5,16.25,29.0,59.75,113.0,27967.5,36063.25,76691.0,163069.5,332235.0
bookshelf_tall,qp-envelope,46,7.439205,15.343324999999998,42.0918,109.37275,179.003,6.0,9.0,11.5,21.0,33.0,3098.5,7877.0,18468.5,41586.25,71874.0
bookshelf_thin,rrtconnect,60,36.72113,73.514825,128.76350000000002,214.09925,508.5668,9.9,17.0,28.5,53.5,107.80000000000004,30465.600000000002,60193.25,100386.0,196484.5,396116.90000000014
bookshelf_thin,qp-plain,60,49.66293,71.42665,120.4495,255.59750000000003,528.9732,5.9,6.75,10.0,16.0,23.500000000000007,9305.0,11358.5,21901.0,36475.75,75260.00000000003
bookshelf_thin,qp-fixed,60,12.14036,19.952625,36.1877,72.922775,153.7627,5.9,6.75,10.0,16.0,23.500000000000007,9305.0,11358.5,21901.0,36475.75,75260.00000000003
bookshelf_thin,qp-lipsch,60,3.199682,10.86729,30.3309,64.053125,147.78670000000002,5.9,6.75,10.0,16.0,23.500000000000007,1644.6,4624.5,12370.5,26220.25,61249.200000000004
bookshelf_thin,qp-free,60,54.242850000000004,94.7248,148.7965,250.30175,368.26599999999996,14.0,24.5,40.0,59.0,85.60000000000001,36936.8,56463.75,100471.0,159942.75,244150.60000000006
bookshelf_thin,qp-envelope,60,2.947429,10.2644475,29.567500000000003,72.42467500000001,145.434,5.9,6.75,10.0,15.25,23.500000000000007,1448.8,4421.5,11669.0,26660.75,60562.90000000001
box,rrtconnect,100,24.24167,35.4811,56.4685,86.8,128.81460000000004,7.0,10.0,13.5,22.25,29.0,19305.7,31291.0,44130.5,77936.75,103599.10000000002
box,qp-plain,100,37.501340000000006,50.337875,71.89015,165.4505,288.71740000000017,5.0,6.0,7.0,12.25,22.10000000000001,7181.5,8628.75,12676.5,26950.25,45892.8
box,qp-fixed,100,10.495460000000001,13.175125,19.256700000000002,45.241725,83.85588000000003,5.0,6.0,7.0,12.25,22.10000000000001,7181.5,8628.75,12676.5,26950.25,45892.8
box,qp-lipsch,100,3.2091220000000003,5.7292375,10.873114999999999,35.589349999999996,67.41705000000002,5.0,6.0,7.0,12.25,22.10000000000001,1262.4,2313.25,4899.0,15002.75,30309.70000000001
box,qp-free,100,37.85298,58.4334,94.05355,155.51375000000002,229.52210000000017,12.0,18.0,29.0,42.0,58.10000000000001,23946.7,35334.0,59765.5,100560.75,130763.70000000007
box,qp-envelope,100,2.754086,5.41578,10.46325,34.827600000000004,69.08509000000004,5.0,6.0,7.0,12.25,23.0,1072.3,2189.5,4642.5,14305.0,30013.700000000004
cage,rrtconnect,93,403.9682000000001,842.229,2173.27,4060.27,6722.831999999999,103.4,202.0,611.0,1215.0,2014.3999999999996,378809.6,709524.0,1902539.0,3402633.0,5186102.8
cage,qp-plain,99,278.94500000000005,531.7964999999999,1084.54,2025.6950000000002,2800.7219999999998,16.8,34.5,61.0,89.0,111.2,46920.4,103419.5,194216.0,325847.0,450231.2
cage,qp-fixed,99,77.74904,171.363,359.106,658.172,877.0360000000004,16.8,34.5,61.0,89.0,111.2,46920.4,103419.5,194216.0,325847.0,450231.2
cage,qp-lipsch,99,64.37935999999999,171.1755,362.649,644.748,884.1664000000004,16.8,34.5,61.0,89.0,111.2,27406.600000000002,82607.5,165426.0,275890.5,390215.60000000003
cage,qp-free,95,1017.9820000000001,1562.71,2573.1000000000004,4398.6849999999995,7929.5260000000035,237.2,415.0,686.0,1153.0,2167.6000000000004,618491.8,1101349.0,1778288.0,2845945.5,5175777.800000002
cage,qp-envelope,99,62.16612000000001,158.974,335.67999999999995,645.943,885.4328000000005,16.8,33.0,57.0,89.0,111.2,26666.800000000003,77942.5,157225.0,272233.5,387001.00000000006
table_pick,rrtconnect,100,19.037239999999997,25.395125,39.93285,63.663624999999996,103.61780000000006,7.0,8.0,10.0,17.0,23.10000000000001,17160.6,21151.0,31084.0,55746.25,80991.20000000004
table_pick,qp-plain,100,35.66353,53.12675,68.02215000000001,96.59729999999999,160.33160000000004,5.0,6.0,7.0,7.25,11.0,7650.8,9880.25,13103.5,15054.75,24552.0
table_pick,qp-fixed,100,8.880319,12.734024999999999,17.4483,22.8588,42.63539,5.0,6.0,7.0,7.25,11.0,7650.8,9880.25,13103.5,15054.75,24552.0
table_pick,qp-lipsch,100,0.9888832,2.1804675,4.6482850000000004,13.36415,28.50436000000005,5.0,6.0,7.0,7.25,11.200000000000017,384.1,825.0,1945.5,6116.75,11948.900000000009
table_pick,qp-free,100,32.50779,43.52815,74.4048,148.74025,287.3208000000001,9.0,11.0,20.0,36.25,68.0,20640.0,26912.75,47845.0,96982.25,202718.4000000001
table_pick,qp-envelope,100,0.7492403000000001,1.73846,4.170565,13.0141,26.81053000000001,5.0,6.0,7.0,7.25,11.0,223.5,604.0,1672.0,5565.25,11059.000000000002
table_under_pick,rrtconnect,58,27.606080000000002,37.262675,52.817,70.0701,90.25926000000003,8.0,10.0,13.0,16.0,20.300000000000004,22113.2,30969.75,43213.5,54434.5,71918.9
table_under_pick,qp-plain,58,79.39412,131.14499999999998,237.3075,409.42025,620.0615000000005,7.0,10.25,15.0,25.75,34.90000000000001,13373.0,21851.75,36252.5,65178.5,99258.80000000005
table_under_pick,qp-fixed,58,21.524089999999998,37.531325,70.1053,123.92824999999999,193.1521000000001,7.0,10.25,15.0,25.75,37.90000000000001,13373.0,21851.75,36252.5,65178.5,99258.80000000005
table_under_pick,qp-lipsch,58,14.05751,27.3838,68.3961,121.16775,200.5909000000001,7.0,11.0,15.5,26.5,37.90000000000001,7216.2,14329.0,27902.0,50684.0,87694.60000000003
table_under_pick,qp-free,58,45.34307,59.442925,80.7741,110.094,149.31620000000007,12.0,16.25,21.0,26.5,37.90000000000001,28174.7,39719.0,50770.0,67834.0,96800.90000000001
table_under_pick,qp-envelope,58,12.86954,26.291425,66.85575,119.106,199.36290000000008,7.0,11.0,15.0,25.75,34.20000000000002,6661.400000000001,13564.75,25229.5,49599.0,86569.50000000003
