seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,25,isSafe,1,1,0.222769,30354,157,23.54,13,1179,0,0.00156116,0.00249477,0,0,0,0,876,153,0.179224,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,25,qpFixed,1,1,0.065265,3128,33,22.1075,2089,2089,0,0.000150156,0.00249477,0,0,0.00955756,0,9,9,3.66667,0,0,0,1,0,0,3127,936575,2884
1,bookshelf_tall,25,qpPlain,1,1,0.0660574,3128,33,22.1075,2089,2089,0,0.000150156,0.00249477,0,0,0.00955756,0,9,9,3.66667,0,0,0,1,0,0,3127,1069434,3127
1,bookshelf_tall,25,qpAdaptive,1,1,0.034739,1855,34,22.1275,1689,1689,0,0.000136622,0.00249477,0,0,0.0161457,0.422642,9,9,3.77778,0,0,0,0.567961,0.416397,0.0156419,1854,565473,1823
1,bookshelf_tall,25,qpFreeGate,1,1,0.344174,29382,80,16.2914,1707,1707,0,0.00117633,0.00249477,0,0,0.00447212,0,251,73,0.318725,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,25,qpFreeEnvelope,1,1,0.0659519,2153,76,9.08926,493,493,0,0.00152046,0.00249477,0,0,0.0559389,0.962843,240,65,0.316667,0,0,0,0.0228332,0.871389,0.105778,0,0,0
1,bookshelf_tall,25,qpEnvelope,1,1,0.0329362,1624,39,22.1728,1502,1502,0,1.75869e-05,0.00249477,0,0,0.026464,0.321429,13,13,3,0,0,0,0.674677,0.301294,0.0240296,1623,498614,1590
1,bookshelf_tall,25,VAMP,1,1,0.000967558,11517,63,21.3918,12,1071,0,0.00156116,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,49,isSafe,1,1,0.0138713,1856,11,7.7469,5,389,0,0.00702697,0.00249477,0,0,0,0,28,8,0.392857,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,49,qpFixed,1,1,0.0601892,2952,24,14.9684,1221,1221,0,0.00117976,0.00249477,0,0,0.0106843,0,9,9,2.66667,0,0,0,1,0,0,2951,739203,2405
1,bookshelf_tall,49,qpPlain,1,1,0.0631663,2952,24,14.9684,1221,1221,0,0.00117976,0.00249477,0,0,0.0106843,0,9,9,2.66667,0,0,0,1,0,0,2951,1009242,2951
1,bookshelf_tall,49,qpAdaptive,1,1,0.0331295,1719,22,14.9944,975,975,0,0.00117461,0.00249477,0,0,0.0169564,0.299593,9,8,2.44444,0,0,0,0.698487,0.293946,0.00756694,1718,437745,1648
1,bookshelf_tall,49,qpFreeGate,1,1,0.0431439,3740,13,9.07018,671,671,0,0.00702697,0.00249477,0,0,0.00555879,0,28,9,0.464286,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,49,qpFreeEnvelope,1,1,0.0075641,237,14,9.15762,471,471,0,0.00702697,0.00249477,0,0,0.0884066,0.974684,28,9,0.5,0,0,0,0.0126582,0.831224,0.156118,0,0,0
1,bookshelf_tall,49,qpEnvelope,1,1,0.0200223,961,22,14.3503,814,814,0,0.0011593,0.00249477,0,0,0.0320026,0.187305,9,7,2.44444,0,0,0,0.810614,0.168574,0.0208117,961,246379,934
1,bookshelf_tall,49,VAMP,1,1,0.000140257,1871,11,7.7469,5,389,0,0.00702697,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,isSafe,1,1,0.46115,61513,338,23.0787,13,1155,0,0.00267732,0.00109706,0,0,0,0,2238,335,0.151028,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpFixed,1,1,0.0683476,3231,24,18.8656,1621,1621,0,0.00260991,1.21011e-05,0,0,0.0098873,0,8,8,3,0,0,0,1,0,0,3231,973475,2623
1,bookshelf_tall,74,qpPlain,1,1,0.068563,3231,24,18.8656,1621,1621,0,0.00260991,1.21011e-05,0,0,0.0098873,0,8,8,3,0,0,0,1,0,0,3231,1105002,3231
1,bookshelf_tall,74,qpAdaptive,1,1,0.0451937,2219,24,18.9004,1454,1454,0,0.00260606,1.19743e-05,0,0,0.0144131,0.202343,8,8,3,0,0,0,0.795854,0.199189,0.00495719,2219,680107,2082
1,bookshelf_tall,74,qpFreeGate,1,1,1.38192,117719,282,24.7043,2246,2246,0,0.00291187,0.00249477,0,0,0.00397221,0,1056,274,0.267045,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,74,qpFreeEnvelope,1,1,0.205563,6106,258,24.0945,1275,1275,0,0.000750209,0.00249477,0,0,0.0706898,0.944317,1004,250,0.256972,0,0,0,0.00982678,0.847935,0.142239,0,0,0
1,bookshelf_tall,74,qpEnvelope,1,1,0.0335954,1555,24,18.9509,1262,1262,0,0.00258209,1.10838e-05,0,0,0.0205967,0.132476,8,8,3,0,0,0,0.865595,0.125402,0.00900322,1555,480941,1522
1,bookshelf_tall,74,VAMP,1,1,0.00708827,89143,413,23.3988,14,1171,0,0.00267732,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,100,isSafe,1,1,0.0544935,6802,34,13.0552,8,654,0,0.00192603,0.00249477,0,0,0,0,134,30,0.253731,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,100,qpFixed,1,1,0.0072926,356,6,6.90852,530,530,0,0.00850853,0.00249477,0,0,0.019406,0,1,1,6,0,0,0,1,0,0,356,102217,74
1,bookshelf_tall,100,qpPlain,1,1,0.00762526,356,6,6.90852,530,530,0,0.00850853,0.00249477,0,0,0.019406,0,1,1,6,0,0,0,1,0,0,356,121752,356
1,bookshelf_tall,100,qpAdaptive,1,1,0.00154543,91,6,6.90843,393,393,0,0.00850853,0.00249477,0,0,0.0759168,0.692308,1,1,6,0,0,0,0.307692,0.648352,0.043956,91,29398,60
