seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,11,isSafe,1,1,0.0919178,12402,63,19.1588,11,959,0,0.00577893,0.00249477,0,0,0,0,310,60,0.203226,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,11,qpFixed,1,1,0.0186195,895,9,7.33066,613,613,0,0.000280801,0.00249477,0,0,0.0109379,0,2,2,4.5,0,0,0,1,0,0,895,246435,807
1,bookshelf_tall,11,qpPlain,1,1,0.0187478,895,9,7.33066,613,613,0,0.000280801,0.00249477,0,0,0.0109379,0,2,2,4.5,0,0,0,1,0,0,895,306090,895
1,bookshelf_tall,11,qpAdaptive,1,1,0.0129944,557,10,7.33777,544,544,0,0.000280739,0.00249477,0,0,0.0175895,0.256732,2,2,5,0,0,0,0.736086,0.251346,0.0125673,557,161882,540
1,bookshelf_tall,11,qpFreeGate,1,1,0.495074,41213,94,17.8128,1786,1786,0,0.00111974,0.00249477,0,0,0.00399482,0,318,88,0.295597,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,11,qpFreeEnvelope,1,1,0.0752841,2171,88,17.7454,929,929,0,0.00412975,0.00249477,0,0,0.068913,0.960848,318,83,0.27673,0,0,0,0.0130233,0.846047,0.14093,0,0,0
1,bookshelf_tall,11,qpEnvelope,1,1,0.00933666,428,11,7.32515,493,493,0,0.000276671,0.00249477,0,0,0.0228653,0.121495,2,2,5.5,0,0,0,0.873832,0.107477,0.0186916,428,126165,421
1,bookshelf_tall,11,VAMP,1,1,0.00104776,16153,65,19.1588,11,959,0,0.00577893,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,37,isSafe,1,1,0.225002,29064,142,21.6241,12,1083,0,0.0074779,0.00249477,0,0,0,0,748,139,0.18984,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,37,qpFixed,1,1,0.0444586,2128,23,16.4787,1219,1219,0,0.000410812,0.00249477,0,0,0.0118464,0,5,5,4.6,0,0,0,1,0,0,2128,584008,1590
