seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,9,isSafe,1,1,0.101807,13809,69,24.2137,14,1212,0,0.00175005,0.00238049,0,0,0,0,319,63,0.216301,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,qpFixed,1,1,0.0109182,558,6,6.68516,559,559,0,0.00132383,0.00249477,0,0,0.0119806,0,1,1,6,0,0,0,1,0,0,558,158046,264
1,bookshelf_tall,9,qpPlain,1,1,0.0112047,558,6,6.68516,559,559,0,0.00132383,0.00249477,0,0,0.0119806,0,1,1,6,0,0,0,1,0,0,558,190836,558
1,bookshelf_tall,9,qpAdaptive,1,1,0.00410132,233,7,6.68825,433,433,0,0.00132383,0.00249477,0,0,0.028705,0.613734,1,1,7,0,0,0,0.373391,0.60515,0.0214592,233,71650,202
1,bookshelf_tall,9,qpFreeGate,1,1,0.262872,22757,66,23.8341,2370,2370,0,0.00175005,0.00249477,0,0,0.00425525,0,180,51,0.366667,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,9,qpFreeEnvelope,1,1,0.043554,1387,48,16.1404,878,878,0,0.000857195,4.35739e-07,0,0,0.0647158,0.94088,178,41,0.269663,0,0,0,0.0354815,0.834178,0.13034,0,0,0
1,bookshelf_tall,9,qpEnvelope,1,1,0.00168242,94,7,6.69709,385,385,0,0.00132383,0.00249477,0,0,0.0712457,0.765957,1,1,7,0,0,0,0.202128,0.744681,0.0531915,94,28772,83
1,bookshelf_tall,9,VAMP,1,1,0.00191946,29283,117,11.8454,8,594,0,0.00175005,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,35,isSafe,1,1,0.0350633,4694,25,10.1904,7,511,0,0.00710037,0.00249477,0,0,0,0,68,20,0.367647,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,35,qpFixed,1,1,0.0646832,2999,39,26.3325,2429,2429,0,0.000105633,8.05818e-05,0,0,0.00981081,0,10,8,3.9,0,0,0,1,0,0,2999,882961,2634
1,bookshelf_tall,35,qpPlain,1,1,0.0649161,2999,39,26.3325,2429,2429,0,0.000105633,8.05818e-05,0,0,0.00981081,0,10,8,3.9,0,0,0,1,0,0,2999,1025658,2999
1,bookshelf_tall,35,qpAdaptive,1,1,0.0477805,2395,26,25.6141,1920,1920,0,1.64281e-05,0.000116489,0,0,0.0149756,0.268894,10,10,2.6,0,0,0,0.727349,0.267223,0.00542797,2395,698476,2339
1,bookshelf_tall,35,qpFreeGate,1,1,0.0909703,7754,26,13.4364,1348,1348,0,0.00828597,0.00249477,0,0,0.00480483,0,48,17,0.541667,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,35,qpFreeEnvelope,1,1,0.0159321,500,27,10.0537,526,526,0,0.00850024,0.00249477,0,0,0.0884507,0.95,54,23,0.5,0,0,0,0.0403226,0.816532,0.143145,0,0,0
1,bookshelf_tall,35,qpEnvelope,1,1,0.00521721,253,12,13.9644,749,749,0,0.00607636,0.000520533,0,0,0.0614083,0.482213,3,3,4,0,0,0,0.513834,0.44664,0.0395257,253,74850,238
1,bookshelf_tall,35,VAMP,1,1,0.00037347,4350,25,10.1904,7,511,0,0.00710037,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,isSafe,1,1,0.0762839,10155,51,14.4594,9,724,0,0.00550085,0.00249477,0,0,0,0,307,46,0.166124,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpFixed,1,1,0.00795884,385,6,5.53633,386,386,0,0.00481732,0.00249477,0,0,0.0143801,0,1,1,6,0,0,0,1,0,0,385,113214,166
1,bookshelf_tall,59,qpPlain,1,1,0.00801495,385,6,5.53633,386,386,0,0.00481732,0.00249477,0,0,0.0143801,0,1,1,6,0,0,0,1,0,0,385,131670,385
1,bookshelf_tall,59,qpAdaptive,1,1,0.00175611,111,6,5.54102,326,326,0,0.00481732,0.00249477,0,0,0.0499191,0.738739,1,1,6,0,0,0,0.261261,0.702703,0.036036,111,34346,82
1,bookshelf_tall,59,qpFreeGate,1,1,0.135598,11572,29,7.67376,743,743,0,0.00285841,0.00249477,0,0,0.00343781,0,92,21,0.315217,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,59,qpFreeEnvelope,1,1,0.0211866,633,31,7.66013,405,405,0,0.00289796,0.00249477,0,0,0.0632322,0.962085,92,21,0.336957,0,0,0,0.00793651,0.838095,0.153968,0,0,0
1,bookshelf_tall,59,qpEnvelope,1,1,0.000817853,40,6,5.56559,298,298,0,0.00480743,0.00249477,0,0,0.13914,0.725,1,1,6,0,0,0,0.275,0.625,0.1,40,12312,28
1,bookshelf_tall,59,VAMP,1,1,0.000904477,14991,56,14.4594,9,724,0,0.00550085,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,84,isSafe,1,1,0.00619114,816,7,8.03249,6,403,0,0.00303427,0.00249477,0,0,0,0,4,2,1.75,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,84,qpFixed,1,1,0.00601131,297,5,4.1487,298,298,0,0.00260079,0.00249477,0,0,0.0139687,0,1,1,5,0,0,0,1,0,0,297,81527,210
1,bookshelf_tall,84,qpPlain,1,1,0.00613735,297,5,4.1487,298,298,0,0.00260079,0.00249477,0,0,0.0139687,0,1,1,5,0,0,0,1,0,0,297,101574,297
1,bookshelf_tall,84,qpAdaptive,1,1,0.00196281,126,5,4.15132,270,270,0,0.00260093,0.00249477,0,0,0.032947,0.809524,1,1,5,0,0,0,0.18254,0.793651,0.0238095,126,37159,112
1,bookshelf_tall,84,qpFreeGate,1,1,0.00870005,746,7,6.62264,463,463,0,0.00303427,0.00249477,0,0,0.0116042,0,4,3,1.75,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,84,qpFreeEnvelope,1,1,0.00139863,41,7,6.64727,347,347,0,0.00303427,0.00249477,0,0,0.21233,1,4,3,1.75,0,0,0,0,0.829268,0.170732,0,0,0
1,bookshelf_tall,84,qpEnvelope,1,1,0.00092646,47,6,4.16812,230,230,0,0.0026008,0.00249477,0,0,0.0886835,0.723404,1,1,6,0,0,0,0.255319,0.659574,0.0851064,47,13958,43
1,bookshelf_tall,84,VAMP,1,1,6.0749e-05,461,7,8.03249,6,403,0,0.00303427,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,10,isSafe,1,1,0.130441,13114,66,20.6864,12,1036,0,0.0024,0.00249477,0,0,0,0,228,62,0.289474,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,10,qpFixed,1,1,0.0477987,1891,18,11.9797,1067,1067,0,0.00118063,0.00119028,0,0,0.0111207,0,4,4,4.5,0,0,0,1,0,0,1890,510638,1501
1,bookshelf_thin,10,qpPlain,1,1,0.049066,1891,18,11.9797,1067,1067,0,0.00118063,0.00119028,0,0,0.0111207,0,4,4,4.5,0,0,0,1,0,0,1890,646380,1890
1,bookshelf_thin,10,qpAdaptive,1,1,0.0216944,993,20,12.0548,835,835,0,0.00118194,0.00119116,0,0,0.0211819,0.438066,4,4,5,0,0,0,0.554435,0.430444,0.015121,992,279377,939
1,bookshelf_thin,10,qpFreeGate,1,1,0.329282,23364,68,20.1628,1956,1956,0,0.0025945,0.000730836,0,0,0.00487813,0,161,60,0.42236,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,10,qpFreeEnvelope,1,1,0.0437481,1078,55,12.706,669,669,0,0.0025945,2.60222e-05,0,0,0.0854761,0.980519,132,50,0.416667,0,0,0,0.00372787,0.877912,0.11836,0,0,0
1,bookshelf_thin,10,qpEnvelope,1,1,0.0105176,435,15,12.5688,752,752,0,0.00107005,0.00115202,0,0,0.0450677,0.422989,3,3,5,0,0,0,0.572414,0.397701,0.0298851,435,124156,423
1,bookshelf_thin,10,VAMP,1,1,0.00118203,14328,73,18.3531,11,919,0,0.0024,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,34,isSafe,1,1,0.0358752,3614,20,16.7502,10,839,0,0.00388951,0.00249477,0,0,0,0,59,15,0.338983,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,34,qpFixed,1,1,0.018927,751,8,7.06838,575,575,0,0.00388951,0.00249477,0,0,0.0102605,0,2,2,4,0,0,0,1,0,0,751,201193,329
1,bookshelf_thin,34,qpPlain,1,1,0.0191959,751,8,7.06838,575,575,0,0.00388951,0.00249477,0,0,0.0102605,0,2,2,4,0,0,0,1,0,0,751,256842,751
1,bookshelf_thin,34,qpAdaptive,1,1,0.00376714,213,8,7.08088,408,408,0,0.00388951,0.00249477,0,0,0.0362223,0.84507,2,2,4,0,0,0,0.14554,0.821596,0.0328638,213,54564,176
1,bookshelf_thin,34,qpFreeGate,1,1,0.111353,7976,31,18.0123,1558,1558,0,0.00388951,0.00041317,0,0,0.00568103,0,59,24,0.525424,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,34,qpFreeEnvelope,1,1,0.0187938,434,32,18.0719,933,933,0,0.00388951,3.99843e-09,0,0,0.111257,0.974654,59,25,0.542373,0,0,0,0.00928074,0.821346,0.169374,0,0,0
1,bookshelf_thin,34,qpEnvelope,1,1,0.00191145,88,8,7.08797,382,382,0,0.00388951,0.00249477,0,0,0.0877208,0.852273,2,2,4,0,0,0,0.125,0.795455,0.0795455,88,23005,72
1,bookshelf_thin,34,VAMP,1,1,0.000268542,3921,21,16.7502,10,839,0,0.00388951,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,58,isSafe,1,1,0.121658,11598,59,8.63139,6,433,0,0.00137057,0.00249477,0,0,0,0,232,55,0.25431,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,58,qpFixed,1,1,0.0143439,542,9,5.76029,543,543,0,0.00447724,0.00249477,0,0,0.0106278,0,1,1,9,0,0,0,1,0,0,542,142097,537
1,bookshelf_thin,58,qpPlain,1,1,0.0145436,542,9,5.76029,543,543,0,0.00447724,0.00249477,0,0,0.0106278,0,1,1,9,0,0,0,1,0,0,542,185364,542
1,bookshelf_thin,58,qpAdaptive,1,1,0.00924273,498,16,13.2302,828,828,0,0.00456443,0.00249477,0,0,0.0343269,0.805221,4,4,4,0,0,0,0.178715,0.787149,0.0341365,498,131848,453
1,bookshelf_thin,58,qpFreeGate,1,1,0.322212,22090,61,18.2158,1617,1617,0,0.00583684,0.00249477,0,0,0.00443093,0,161,52,0.378882,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,58,qpFreeEnvelope,1,1,0.0549742,1301,73,14.6484,786,786,0,0.00135122,0.00249477,0,0,0.0763625,0.959262,158,51,0.462025,0,0,0,0.0232378,0.831139,0.145624,0,0,0
1,bookshelf_thin,58,qpEnvelope,1,1,0.00365363,190,16,13.2576,742,742,0,0.00510546,0.00249477,0,0,0.0900177,0.984211,4,4,4,0,0,0,0,0.910526,0.0894737,190,52889,176
1,bookshelf_thin,58,VAMP,1,1,0.00116054,12505,64,8.63139,6,433,0,0.00137057,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,83,isSafe,1,1,0.0747914,7523,39,28.6219,16,1433,0,0.00554979,0.00249477,0,0,0,0,131,34,0.29771,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,83,qpFixed,1,1,0.266167,10351,49,21.5615,1878,1878,0,0.000121602,0.00249477,0,0,0.00864033,0,48,29,1.02083,0,0,0,1,0,0,10333,2580707,8040
1,bookshelf_thin,83,qpPlain,1,1,0.277584,10351,49,21.5615,1878,1878,0,0.000121602,0.00249477,0,0,0.00864033,0,48,29,1.02083,0,0,0,1,0,0,10333,3533886,10333
1,bookshelf_thin,83,qpAdaptive,1,1,0.160114,6596,50,21.5792,1597,1597,0,0.000121588,0.00249477,0,0,0.0135739,0.261522,48,29,1.04167,0,0,0,0.73533,0.258437,0.0062329,6578,1632509,6324
1,bookshelf_thin,83,qpFreeGate,1,1,0.205388,14522,46,17.079,1659,1659,0,0.0022422,0.00249477,0,0,0.00518074,0,95,39,0.484211,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,83,qpFreeEnvelope,1,1,0.0300214,752,53,16.0156,864,864,0,0.000605876,0.00249477,0,0,0.0921844,0.926862,78,33,0.679487,0,0,0,0.06,0.808,0.132,0,0,0
1,bookshelf_thin,83,qpEnvelope,1,1,0.125008,4590,50,21.625,1492,1492,0,0.000120646,0.00249477,0,0,0.0195517,0.126797,48,29,1.04167,0,0,0,0.870925,0.118792,0.0102822,4571,1135070,4503
1,bookshelf_thin,83,VAMP,1,1,0.00071212,8092,39,14.2862,9,716,0,0.00554979,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,7,isSafe,1,1,0.0103527,1822,11,9.68922,6,486,0,0.00512191,0.00249477,0,0,0,0,25,8,0.44,0,0,0,0,0,0,0,0,0
1,table_under_pick,7,qpFixed,1,1,0.0293666,1719,12,10.7267,850,850,0,0.00166365,0.00249477,0,0,0.0102167,0,5,5,2.4,0,0,0,1,0,0,1719,518595,1345
