seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves,gate_blocked,gate_repaired
1,bookshelf_tall,23,isSafe,1,1,0.0108306,1492,10,10.1824,7,511,0,0.00392397,0.00249477,0,0,0,0,20,6,0.5,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,23,qpFixed,1,1,0.0180816,866,8,8.51073,644,644,0,0.00824879,0.00249477,0,0,0.0125684,0,2,2,4,0,0,0,1,0,0,866,251780,467,0,467
1,bookshelf_tall,23,qpPlain,1,1,0.0178979,866,8,8.51073,644,644,0,0.00824879,0.00249477,0,0,0.0125684,0,2,2,4,0,0,0,1,0,0,866,296172,866,0,467
1,bookshelf_tall,23,qpAdaptive,1,1,0.00741951,420,8,8.50938,520,520,0,0.00824879,0.00249477,0,0,0.0259136,0.5,2,2,4,0,0,0,0.497619,0.488095,0.0142857,420,125998,360,0,360
1,bookshelf_tall,23,qpFreeGate,1,1,0.0315834,2644,23,18.4408,1411,1411,0,0.00824879,0.00249477,0,0,0.0130573,0,73,18,0.315068,0,0,0,1,0,0,2644,786753,0,80,0
1,bookshelf_tall,23,qpFreeEnvelope,1,1,0.00389894,159,23,15.41,792,792,0,0.00824879,0.00249477,0,0,0.21549,0.477987,76,19,0.302632,0,0,0,0,0.828947,0.171053,159,48994,0,83,0
1,bookshelf_tall,23,qpEnvelope,1,1,0.00270031,147,8,8.49254,469,469,0,0.00644832,0.00249477,0,0,0.0740168,0.619048,2,2,4,0,0,0,0.380952,0.571429,0.047619,147,44041,126,0,126
1,bookshelf_tall,23,VAMP,1,1,0.000184631,1691,16,20.0708,12,1005,0,0.000125999,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,48,isSafe,1,1,0.0517328,7043,36,22.9827,13,1151,0,0.00485052,0.00249477,0,0,0,0,188,32,0.191489,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,48,qpFixed,1,1,0.0149502,713,8,8.89978,714,714,0,0.00195672,0.000543861,0,0,0.0124822,0,1,1,8,0,0,0,1,0,0,713,202493,470,0,470
