seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
1,bookshelf_tall,1,isSafe,1,1,0.000407163,447,8,10.752,7,539,0,0.00385175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.000455956,337,11,9.66061,596,596,0,0.00101367,0.00249477,0,0,0.0370729,0,2,2,5.5,0,0,0
1,bookshelf_tall,1,bubbleCBF,1,1,0.000439031,230,10,10.7755,598,598,0,0.00171393,0.00249477,0,0,0.0570359,0.273913,2,2,5,0,0,0
1,bookshelf_tall,1,qpFreeGate,1,0,5.00003,1499957,51395,0,0,0,0,inf,inf,0,0,0.0252104,0,384197,51393,0.133773,0,0,0
1,bookshelf_tall,1,VAMP,1,1,8.6789e-05,1438,12,11.9051,7,597,0,0.00142864,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,2,isSafe,1,1,0.00496029,5880,64,11.2735,8,565,0,0.00531366,0.00249477,0,0,0,0,521,59,0.122841,0,0,0
1,bookshelf_tall,2,qpFixed,1,1,0.00125264,659,23,14.5179,978,978,0,0.000165037,0.00249477,0,0,0.0307995,0,5,5,4.6,0,0,0
1,bookshelf_tall,2,bubbleCBF,1,1,0.00131894,564,21,14.5393,950,950,0,0.000359974,0.00249477,0,0,0.0360754,0.0301418,5,5,4.2,0,0,0
1,bookshelf_tall,2,qpFreeGate,1,1,0.00444723,4223,93,15.6067,942,942,0,0.00317469,0.00249477,0,0,0.032381,0,418,85,0.222488,0,0,0
1,bookshelf_tall,2,VAMP,1,1,0.000112271,2977,17,13.3133,8,667,4,-0.00289186,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,isSafe,1,1,0.00224492,2698,32,18.4548,11,924,0,0.000278469,0.00249477,0,0,0,0,163,27,0.196319,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.000305288,252,9,7.49798,505,505,0,0.000278469,0.00249477,0,0,0.0297539,0,1,1,9,0,0,0
1,bookshelf_tall,8,bubbleCBF,1,1,0.000163332,93,7,7.59621,430,430,0,0.000278469,0.00249477,0,0,0.0816797,0.354839,1,1,7,0,0,0
1,bookshelf_tall,8,qpFreeGate,1,0,5.00005,1449290,49251,0,0,0,0,inf,inf,0,0,0.0249101,0,382801,49249,0.12866,0,0,0
1,bookshelf_tall,8,VAMP,1,1,0.000324714,10629,45,21.2113,12,1062,0,0.000278469,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,isSafe,1,1,0.00751402,8847,100,11.2204,7,563,2,-0.00224995,0.00249477,0,0,0,0,718,97,0.139276,0,0,0
1,bookshelf_tall,9,qpFixed,1,1,0.000559394,335,11,7.49485,484,484,1,-0.00224995,0.00249477,0,0,0.0315628,0,2,2,5.5,0,0,0
1,bookshelf_tall,9,bubbleCBF,1,1,0.000539785,270,11,8.72211,530,530,1,-0.00224995,0.00249477,0,0,0.0387245,0.133333,2,2,5.5,0,0,0
1,bookshelf_tall,9,qpFreeGate,1,0,5.00004,1475816,50025,0,0,0,0,inf,inf,0,0,0.0247457,0,397029,50023,0.125998,0,0,0
1,bookshelf_tall,9,VAMP,1,1,0.000251957,6204,34,18.8438,11,944,2,-0.00224995,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,10,isSafe,1,1,0.0006885,807,12,10.493,7,526,3,-0.000302524,0.00249477,0,0,0,0,32,8,0.375,0,0,0
1,bookshelf_tall,10,qpFixed,1,1,0.000590713,342,10,9.08684,600,600,1,-3.43804e-05,0.00249477,0,0,0.028364,0,3,3,3.33333,0,0,0
1,bookshelf_tall,10,bubbleCBF,1,1,0.00067037,290,10,9.68666,592,592,1,-3.43804e-05,0.00249477,0,0,0.0354998,0.0551724,3,3,3.33333,0,0,0
1,bookshelf_tall,10,qpFreeGate,1,0,5.00001,1429334,47914,0,0,0,0,inf,inf,0,0,0.0247761,0,382905,47912,0.125133,0,0,0
1,bookshelf_tall,10,VAMP,1,1,9.3125e-05,2282,15,10.493,7,526,3,-0.000302524,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,11,isSafe,1,1,0.0010057,1176,16,7.2768,5,365,0,0.00185386,0.00249477,0,0,0,0,56,12,0.285714,0,0,0
1,bookshelf_tall,11,qpFixed,1,1,0.00101082,548,16,11.4486,794,794,4,-0.000508578,0.00249477,0,0,0.0276599,0,4,4,4,0,0,0
1,bookshelf_tall,11,bubbleCBF,1,1,0.00331171,1441,30,9.57864,596,596,1,-0.000180208,0.00249477,0,0,0.0265339,0.0263706,15,13,2,0,0,0
1,bookshelf_tall,11,qpFreeGate,1,0,5.00001,1466555,50008,0,0,0,0,inf,inf,0,0,0.0251483,0,379209,50006,0.131875,0,0,0
1,bookshelf_tall,11,VAMP,1,1,0.000123121,2893,20,9.11655,6,457,0,0.00185386,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,isSafe,1,1,0.00210138,2503,30,15.8311,9,793,0,0.00377073,0.00249477,0,0,0,0,147,27,0.204082,0,0,0
1,bookshelf_tall,15,qpFixed,1,1,0.000691417,390,13,10.7047,691,691,0,0.00121814,0.00249477,0,0,0.0293711,0,2,2,6.5,0,0,0
1,bookshelf_tall,15,bubbleCBF,1,1,0.00121921,562,18,12.1373,754,754,6,-0.000645134,0.00249477,0,0,0.0326449,0.0747331,4,4,4.5,0,0,0
1,bookshelf_tall,15,qpFreeGate,1,0,5.00003,1497334,50125,0,0,0,0,inf,inf,0,0,0.0242937,0,421167,50123,0.119015,0,0,0
1,bookshelf_tall,15,VAMP,1,1,4.8987e-05,647,7,9.77569,6,490,11,-0.00348847,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,17,isSafe,1,1,0.00151688,1803,22,9.39008,6,471,5,-0.000982822,0.00249477,0,0,0,0,64,19,0.34375,0,0,0
1,bookshelf_tall,17,qpFixed,1,1,0.000525823,354,11,7.16159,419,419,0,0.000965609,0.00249477,0,0,0.0311742,0,2,2,5.5,0,0,0
1,bookshelf_tall,17,bubbleCBF,1,1,0.000413198,206,10,8.11998,436,436,0,0.000965609,0.00249477,0,0,0.058465,0.218447,2,2,5,0,0,0
1,bookshelf_tall,17,qpFreeGate,1,0,5.00002,1491602,51134,0,0,0,0,inf,inf,0,0,0.0251028,0,386709,51132,0.132229,0,0,0
1,bookshelf_tall,17,VAMP,1,1,3.8112e-05,340,7,8.32566,6,418,3,-0.00433029,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,19,isSafe,1,1,0.000877951,1015,14,14.8252,9,743,0,0.00338547,0.00249477,0,0,0,0,34,10,0.411765,0,0,0
1,bookshelf_tall,19,qpFixed,1,1,0.000990251,558,13,8.83953,556,556,0,0.000820533,0.00249477,0,0,0.0282656,0,6,5,2.16667,0,0,0
1,bookshelf_tall,19,bubbleCBF,1,1,0.0010013,443,12,8.3281,505,505,0,0.000923285,0.00249477,0,0,0.0364196,0.0744921,5,4,2.4,0,0,0
1,bookshelf_tall,19,qpFreeGate,1,1,0.000531666,514,14,10.0397,627,627,0,0.00338547,0.00249477,0,0,0.0341133,0,34,10,0.411765,0,0,0
1,bookshelf_tall,19,VAMP,1,1,7.6407e-05,2244,14,14.8252,9,743,0,0.00338547,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,22,isSafe,1,1,0.00808509,9350,106,13.0495,8,654,0,0.00280062,0.00249477,0,0,0,0,850,103,0.124706,0,0,0
1,bookshelf_tall,22,qpFixed,1,1,0.00107723,585,18,12.8818,873,873,0,9.73117e-05,0.00249477,0,0,0.0330592,0,4,4,4.5,0,0,0
1,bookshelf_tall,22,bubbleCBF,1,1,0.00122003,532,18,13.1477,814,814,0,9.09731e-05,0.00249477,0,0,0.0358431,0.0582707,4,4,4.5,0,0,0
1,bookshelf_tall,22,qpFreeGate,1,0,5.00002,1448928,48749,0,0,0,0,inf,inf,0,0,0.0247371,0,390103,48747,0.124964,0,0,0
1,bookshelf_tall,22,VAMP,1,1,0.00137899,45411,180,13.0495,8,654,0,0.00280062,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,23,isSafe,1,1,0.000620439,710,11,14.3148,9,717,0,0.000582554,0.00249477,0,0,0,0,31,6,0.354839,0,0,0
