scene,method,eligible_runs,returned_solutions,return_rate_pct,audit_safe_solutions,audit_safe_rate_pct,unsafe_returned,returned_precision_pct,median_ms_safe,p90_ms_safe,median_samples_safe,p90_samples_safe,median_vertices_safe,median_path_length_safe,total_seconds,total_samples,safe_solutions_per_second,amortized_ms_per_safe_solution,amortized_samples_per_safe_solution
bookshelf_small,isSafe,60,60,100.0,38,63.333333333333336,22,63.333333333333336,1.64018,13.928070000000002,1883.5,15852.300000000001,22.5,13.82275,0.399396517,439692,95.14354377807456,10.510434657894738,11570.842105263158
bookshelf_small,qpFixed,60,60,100.0,19,31.666666666666668,41,31.666666666666668,0.28058,1.2341799999999996,196,708.5999999999999,7,6.85397,0.048300475,28572,393.37087264669753,2.5421302631578953,1503.7894736842106
bookshelf_small,bubbleCBF,60,60,100.0,25,41.666666666666664,35,41.666666666666664,0.190659,1.094392,97,494.8,7,7.40912,0.056872777,25554,439.5776207657312,2.27491108,1022.16
bookshelf_small,qpFreeGate,60,30,50.0,30,50.0,0,100.0,1.7141799999999998,8.590099000000002,1609.5,7976.200000000002,39.5,12.58275,150.097604132,44156953,0.19986994578285985,5003.253471066666,1471898.4333333333
bookshelf_small,VAMP,60,60,100.0,32,53.333333333333336,28,53.333333333333336,0.0953835,0.6172002000000005,3810.0,25601.900000000016,21.5,13.138349999999999,0.089647244,2705872,356.95464324592064,2.801476375,84558.5
bookshelf_tall,isSafe,60,60,100.0,32,53.333333333333336,28,53.333333333333336,2.1731499999999997,9.672537000000005,2600.5,10968.200000000004,31.0,14.57,0.1933939,222637,165.46540506189697,6.043559375,6957.40625
bookshelf_tall,qpFixed,60,60,100.0,31,51.666666666666664,29,51.666666666666664,0.700567,1.52925,390,813,13,8.92254,0.056016095,32909,553.4123719263187,1.806970806451613,1061.5806451612902
bookshelf_tall,bubbleCBF,60,60,100.0,30,50.0,30,50.0,0.87115,1.786025,383.0,770.2,11.5,9.8655,0.058808948,26389,510.12645218547357,1.9602982666666666,879.6333333333333
bookshelf_tall,qpFreeGate,60,21,35.0,21,35.0,0,100.0,1.47291,5.35042,1363,5012,33,13.7313,195.068432055,57047599,0.1076545280995492,9288.972955,2716552.3333333335
bookshelf_tall,VAMP,60,60,100.0,29,48.333333333333336,31,48.333333333333336,0.14141199999999998,0.5059771999999999,3368,19438.399999999998,20,12.5235,0.016637863,526888,1743.0123087321972,0.5737194137931034,18168.55172413793
bookshelf_thin,isSafe,60,60,100.0,32,53.333333333333336,28,53.333333333333336,2.2425550000000003,6.917942000000005,2562.0,7951.000000000006,29.5,11.512550000000001,0.317046716,352348,100.93149805721374,9.907709875,11010.875
bookshelf_thin,qpFixed,60,60,100.0,25,41.666666666666664,35,41.666666666666664,0.291715,1.1678520000000003,212,620.2000000000002,8,6.7946,0.043166568,24909,579.1519029263573,1.7266627200000002,996.36
bookshelf_thin,bubbleCBF,60,60,100.0,24,40.0,36,40.0,0.3054945,1.5431069999999998,149.0,660.0,7.5,8.01249,0.045182381,19816,531.1805059587276,1.8825992083333334,825.6666666666666
bookshelf_thin,qpFreeGate,60,9,15.0,9,15.0,0,100.0,1.5506300000000002,33.02372000000002,1508,25042.80000000001,39,11.3718,255.140048082,76370378,0.035274744469388324,28348.894231333332,8485597.555555556
bookshelf_thin,VAMP,60,60,100.0,29,48.333333333333336,31,48.333333333333336,0.17232799999999998,0.507304,4364,15335.399999999998,22,11.594,0.032584745,928126,889.9870169307754,1.123611896551724,32004.344827586207
box,isSafe,60,60,100.0,56,93.33333333333333,4,93.33333333333333,0.689988,2.1535400000000005,776.0,2460.0,11.5,10.414100000000001,0.061692613,69988,907.7261810907572,1.1016538035714285,1249.7857142857142
box,qpFixed,60,60,100.0,53,88.33333333333333,7,88.33333333333333,0.45013600000000004,1.260094,268,757.8000000000002,9,7.36267,0.040658408,25342,1303.5434146855923,0.7671397735849057,478.1509433962264
box,bubbleCBF,60,60,100.0,51,85.0,9,85.0,0.511837,1.1024800000000001,247,506,10,8.84245,0.040929407,19088,1246.0478599164653,0.8025373921568627,374.27450980392155
