seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
2,bookshelf_tall_both_arms_easy,1,isSafe,1,0,5.00026,781331,24445,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,1,cbfRRTC,1,1,0.753897,69080,1938,23.474,1712,1712,0,0.00215369,0.0413489,0,0,0.0143101,0.00822235,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,1,VAMP,1,1,1.17181,1094168,23833,25.006,1250,1250,54,-0.00389367,0.0373168,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,3,isSafe,1,1,0.166919,34285,1083,15.6337,781,781,0,0.000607368,0.0461145,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,3,cbfRRTC,1,1,0.457789,35471,1018,20.303,1467,1467,2,-0.00179087,0.00505167,0,0,0.0149026,0.0110231,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,3,VAMP,1,1,0.0508622,160760,3683,21.3249,1066,1066,54,-0.002793,0.0605632,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,4,isSafe,1,1,0.42735,85253,2709,21.6816,1084,1084,0,1.75903e-05,0.00903493,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,4,cbfRRTC,1,1,0.0940034,8289,259,15.3843,1260,1260,0,0.00511465,0.0885233,0,0,0.0159091,0.00687658,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,4,VAMP,1,1,0.0126304,62144,1490,21.0494,1052,1052,35,-0.00389305,0.0885233,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,5,isSafe,1,1,0.253278,51696,1630,26.1876,1309,1309,0,8.68044e-05,0.00850083,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,5,cbfRRTC,1,1,0.414581,18303,580,13.2069,944,944,0,0.00471816,0.00506096,0,0,0.0164417,0.0187947,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,5,VAMP,1,1,0.0335381,125144,2789,13.2888,664,664,59,-0.00294888,0.00177183,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,6,isSafe,1,1,0.399965,79037,2460,12.9538,647,647,0,0.000133411,0.00926326,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,6,cbfRRTC,1,1,0.0558847,2134,74,12.9535,1017,1017,3,-0.00263324,0.00522211,0,0,0.0174079,0.0323336,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,6,VAMP,1,1,0.00224451,17104,358,17.3568,867,867,16,-0.002641,0.00849118,0,0,0,0,0,0,0,0,0,0
2,bookshelf_tall_both_arms_easy,7,isSafe,1,0,5.00021,789743,24943,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
