scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,130,57.75413,133.22475,342.24,951.73675,1962.103000000001,383.1,869.25,2183.5,5734.0,11155.100000000002,12225.8,27577.0,69210.5,182011.75,352318.1000000001
all scenes,cbf-rrtc,157,28.815940000000005,94.9018,242.594,535.039,1191.1920000000002,63.6,185.0,486.0,1230.0,2787.2,1945.2000000000005,6173.0,16585.0,42901.0,96609.00000000001
all scenes,vamp-rrtc,144,3.131691,7.946697499999999,24.5828,149.08474999999999,1341.539000000004,471.8,1021.25,2218.5,7221.0,26358.500000000055,22642.4,47302.0,105360.0,311216.0,1123120.0000000007
bookshelf_tall_both_arms_easy,rrtconnect,45,118.26398000000003,253.278,399.96500000000003,1078.47,2001.3840000000002,773.4000000000002,1613.0,2475.0,6375.0,11376.000000000002,24527.200000000004,51165.0,79037.0,202021.0,360300.00000000006
bookshelf_tall_both_arms_easy,cbf-rrtc,54,26.39687,94.228,218.4445,444.52475000000004,730.2525000000003,55.6,187.0,458.5,827.25,1483.2000000000003,1651.2,6198.75,15005.5,28222.25,51443.600000000006
bookshelf_tall_both_arms_easy,vamp-rrtc,53,4.887548000000001,13.140600000000001,32.4758,195.045,1412.8420000000015,652.8000000000001,1490.0,2788.0,8896.0,26832.400000000016,32137.600000000002,63480.0,124264.0,377608.0,1303051.2000000011
bookshelf_tall_both_arms_hard,rrtconnect,39,52.78714000000001,113.67949999999999,238.94099999999997,777.1285,1935.72,354.40000000000003,746.5,1538.0,4748.0,11005.0,11155.6,23642.0,48790.0,150344.0,347997.8
bookshelf_tall_both_arms_hard,cbf-rrtc,48,37.352630000000005,100.26637500000001,228.0025,406.40225000000004,762.5046000000003,74.60000000000001,180.5,434.0,858.75,1455.2000000000007,2232.4,6216.0,14575.5,28742.0,49854.20000000002
bookshelf_tall_both_arms_hard,vamp-rrtc,46,3.86322,10.387225,31.350250000000003,163.448,1475.245,561.0,1164.0,2691.5,7733.25,28237.5,26608.0,57076.0,120872.0,332486.0,1178304.0
bookshelf_tall_both_arms_medium,rrtconnect,46,52.3354,85.79840000000002,306.5525,909.994,1934.54,352.5,570.5,1946.5,5484.25,10935.5,11041.0,17963.25,61923.0,174231.75,346065.0
bookshelf_tall_both_arms_medium,cbf-rrtc,55,42.76688,113.3315,364.00300000000004,1091.78,2318.2700000000004,99.8,224.0,790.0,2617.5,4853.400000000002,3132.0,7204.0,29849.0,92352.5,170225.00000000006
bookshelf_tall_both_arms_medium,vamp-rrtc,45,1.9409320000000003,3.97866,21.6526,72.46379999999999,285.72319999999996,332.40000000000003,593.0,2024.0,4540.0,10970.400000000001,15764.8,28504.0,98736.0,213664.0,479160.0
