seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
1,bookshelf_tall_both_arms_easy,1,isSafe,1,0,5.00011,803086,25160,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,1,cbfRRTC,1,1,0.158461,9870,303,15.6167,1166,1166,0,0.00426354,0.0365097,0,0,0.0153376,0.031307,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,1,cbfNoCert,1,1,0.165625,10420,303,15.6174,1183,1183,0,0.00426288,0.0365097,0,0,0.0145264,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,1,qpFreeGate,1,0,5.00017,533347,22432,0,0,0,0,inf,inf,0,0,0.0199485,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,1,VAMP,1,0,5.0002,2546904,51596,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,isSafe,1,1,0.339132,69925,2202,26.9171,1345,1345,0,0.000471484,0.0282998,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,cbfRRTC,1,1,0.271989,16280,486,20.1434,1477,1477,0,0.00383327,0.071768,0,0,0.0158946,0.0251229,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,cbfNoCert,1,1,0.282299,17182,486,20.1436,1597,1597,0,0.00383327,0.071768,0,0,0.0150596,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,qpFreeGate,1,1,3.8365,419491,17533,30.6776,2398,2398,0,0.00659313,0.00854944,0,0,0.0200415,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,VAMP,1,1,0.012658,63480,1376,17.7117,885,885,0,0.000331361,0.00064623,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,isSafe,1,1,0.246073,51165,1613,20.607,1030,1030,0,0.000688022,0.0885233,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,cbfRRTC,1,1,0.0761668,5220,179,17.5317,1268,1268,0,0.00405822,0.0885233,0,0,0.0177621,0.0306513,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,cbfNoCert,1,1,0.249503,16029,476,19.1804,1437,1437,0,0.00405822,0.00936985,0,0,0.0155186,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,qpFreeGate,1,1,0.474273,67284,2828,25.8793,1897,1897,0,0.00683487,0.0252866,0,0,0.0203362,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,VAMP,1,1,0.0220598,95656,2191,26.8389,1341,1341,83,-0.00387567,0.00634563,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,isSafe,1,1,0.239713,50083,1576,24.6447,1232,1232,0,0.00163384,0.0291116,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,cbfRRTC,1,1,1.05452,48979,1388,19.3409,1429,1429,0,0.00107396,0.00940012,0,0,0.0141525,0.00735009,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,cbfNoCert,1,1,1.0723,50581,1388,19.3418,1445,1445,0,0.00107017,0.00940074,0,0,0.013704,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,qpFreeGate,1,1,0.796793,87748,3708,25.4312,1987,1987,0,0.0066326,0.00915676,0,0,0.0201829,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,VAMP,1,1,0.0944209,245648,5661,18.7635,938,938,86,-0.00391403,0.049246,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,isSafe,1,1,0.0748812,15488,489,19.8501,992,992,0,0.000239464,0.0091198,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,cbfRRTC,1,1,0.101722,4793,160,13.3092,1015,1015,0,0.00580844,0.00502294,0,0,0.0170247,0.0298352,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,cbfNoCert,1,1,0.106152,5189,160,13.3092,1061,1061,0,0.00580844,0.00502294,0,0,0.0157255,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,qpFreeGate,1,1,0.365873,40303,1714,21.6769,1641,1641,0,0.00758869,0.00680152,0,0,0.0202073,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,VAMP,1,1,0.0161206,77880,1718,18.838,941,941,58,-0.00366038,0.00124319,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,7,isSafe,1,0,5.00023,776051,24538,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,7,cbfRRTC,1,1,0.850581,55444,1637,21.5527,1672,1672,0,0.00365831,0.00509039,0,0,0.0150135,0.0287137,0,0,0,0,0,0
