seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
3,bookshelf_tall_both_arms_easy,1,isSafe,1,0,5.00017,785504,24441,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
3,bookshelf_tall_both_arms_easy,1,cbfRRTC,1,1,0.27414,14762,448,17.9277,1318,1318,0,0.00566043,0.00503329,0,0,0.0149585,0.0213386,0,0,0,0,0,0
3,bookshelf_tall_both_arms_easy,1,cbfNoCert,1,1,0.288238,15766,448,17.9278,1350,1350,0,0.0056603,0.00503329,0,0,0.0140057,0,0,0,0,0,0,0
3,bookshelf_tall_both_arms_easy,1,qpFreeGate,1,0,5.0001,547853,23000,0,0,0,0,inf,inf,0,0,0.0200112,0,0,0,0,0,0,0
3,bookshelf_tall_both_arms_easy,1,VAMP,1,1,1.42579,1355272,27510,37.6024,1880,1880,193,-0.00395378,0.0320291,0,0,0,0,0,0,0,0,0,0
3,bookshelf_tall_both_arms_easy,3,isSafe,1,1,0.269168,54219,1707,24.4654,1223,1223,0,0.000496099,0.0530745,0,0,0,0,0,0,0,0,0,0
3,bookshelf_tall_both_arms_easy,3,cbfRRTC,1,1,0.66729,40665,1199,19.8216,1463,1463,0,0.00242678,0.071768,0,0,0.015533,0.0210746,0,0,0,0,0,0
3,bookshelf_tall_both_arms_easy,3,cbfNoCert,1,1,0.690643,42602,1194,19.821,1512,1512,0,0.0024267,0.071768,0,0,0.0147629,0,0,0,0,0,0,0
3,bookshelf_tall_both_arms_easy,3,qpFreeGate,1,1,0.554372,69997,2958,23.9008,1868,1868,0,0.00656861,0.0103208,0,0,0.0200987,0,0,0,0,0,0,0
3,bookshelf_tall_both_arms_easy,3,VAMP,1,1,0.0194949,83640,1887,19.9877,999,999,0,0.000749463,0.0032648,0,0,0,0,0,0,0,0,0,0
