seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
1,bookshelf_tall_both_arms_easy,1,isSafe,1,0,5.00008,809636,25366,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,1,cbfRRTC,1,1,0.14545,9738,303,15.6166,1163,1163,0,0.00426354,0.0365097,0,0,0.0155366,0.0348121,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,1,cbfNoCert,1,1,0.154028,10420,303,15.6174,1183,1183,0,0.00426288,0.0365097,0,0,0.0145264,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,1,qpFreeGate,1,0,5.00022,559056,23502,0,0,0,0,inf,inf,0,0,0.0199402,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,1,VAMP,1,0,5.00018,2644824,53453,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,isSafe,1,1,0.339527,69925,2202,26.9171,1345,1345,0,0.000471484,0.0282998,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,cbfRRTC,1,1,0.242063,16172,486,20.1435,1468,1468,0,0.00383327,0.071768,0,0,0.0160009,0.0226935,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,cbfNoCert,1,1,0.258928,17182,486,20.1436,1597,1597,0,0.00383327,0.071768,0,0,0.0150596,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,qpFreeGate,1,1,3.55108,419491,17533,30.6776,2398,2398,0,0.00659313,0.00854944,0,0,0.0200415,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,VAMP,1,1,0.0127959,63480,1376,17.7117,885,885,0,0.000331361,0.00064623,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,isSafe,1,1,0.246487,51165,1613,20.607,1030,1030,0,0.000688022,0.0885233,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,cbfRRTC,1,1,0.0738892,5171,179,17.5313,1267,1267,0,0.00405822,0.0885233,0,0,0.0179274,0.0346161,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,cbfNoCert,1,1,0.23893,16029,476,19.1804,1437,1437,0,0.00405822,0.00936985,0,0,0.0155186,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,qpFreeGate,1,1,0.453562,67284,2828,25.8793,1897,1897,0,0.00683487,0.0252866,0,0,0.0203362,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,VAMP,1,1,0.0214278,95656,2191,26.8389,1341,1341,83,-0.00387567,0.00634563,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,isSafe,1,1,0.240658,50083,1576,24.6447,1232,1232,0,0.00163384,0.0291116,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,cbfRRTC,1,1,0.925509,48889,1388,19.3403,1430,1430,0,0.00107239,0.00952246,0,0,0.0141803,0.00691362,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,cbfNoCert,1,1,0.953814,50581,1388,19.3418,1445,1445,0,0.00107017,0.00940074,0,0,0.013704,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,qpFreeGate,1,1,0.72482,87748,3708,25.4312,1987,1987,0,0.0066326,0.00915676,0,0,0.0201829,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,VAMP,1,1,0.0961727,245648,5661,18.7635,938,938,86,-0.00391403,0.049246,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,isSafe,1,1,0.0758366,15488,489,19.8501,992,992,0,0.000239464,0.0091198,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,cbfRRTC,1,1,0.0895339,4756,160,13.309,1012,1012,0,0.00580845,0.00502294,0,0,0.0171572,0.0285955,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,cbfNoCert,1,1,0.0958847,5189,160,13.3092,1061,1061,0,0.00580844,0.00502294,0,0,0.0157255,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,qpFreeGate,1,1,0.332417,40303,1714,21.6769,1641,1641,0,0.00758869,0.00680152,0,0,0.0202073,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,VAMP,1,1,0.0161771,77880,1718,18.838,941,941,58,-0.00366038,0.00124319,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,7,isSafe,1,0,5.00015,780801,24689,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,7,cbfRRTC,1,1,0.802189,54968,1637,21.5529,1658,1658,0,0.00368013,0.00509027,0,0,0.0151431,0.029599,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,7,cbfNoCert,1,1,0.846911,57956,1637,21.5553,1681,1681,0,0.0036336,0.00509045,0,0,0.0143626,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,7,qpFreeGate,1,0,5.00004,549366,22971,0,0,0,0,inf,inf,0,0,0.020023,0,0,0,0,0,0,0
