seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction
4,bookshelf_tall,1,isSafe,1,1,0.000354622,389,7,9.60415,6,482,0,0.00385175,0.00249477,0,0,0,0
4,bookshelf_tall,1,bubbleCBF,1,1,0.000329901,152,8,7.94938,453,453,0,0.000301526,0.00249477,0,0,0.0522985,0.322368
4,bookshelf_tall,1,VAMP,1,1,3.5002e-05,444,8,11.6168,7,582,0,0.00385175,0.00249477,0,0,0,0
4,bookshelf_tall,2,isSafe,1,1,0.00077754,908,13,14.348,9,719,7,-0.00274155,0.00249477,0,0,0,0
4,bookshelf_tall,2,bubbleCBF,1,1,0.00149555,600,21,13.8494,838,838,0,8.69726e-05,0.00249477,0,0,0.0367588,0.0716667
4,bookshelf_tall,2,VAMP,1,1,0.000134085,4043,20,11.9854,7,601,8,-0.00410955,0.00249477,0,0,0,0
4,bookshelf_tall,8,isSafe,1,1,0.00216024,2515,30,19.1753,11,960,9,-0.00108955,0.00249477,0,0,0,0
4,bookshelf_tall,8,bubbleCBF,1,1,0.00247915,926,27,10.924,743,743,4,-0.00433373,0.00249477,0,0,0.0288953,0.0194384
4,bookshelf_tall,8,VAMP,1,1,3.6583e-05,882,7,9.1379,6,458,8,-0.000985822,0.00249477,0,0,0,0
4,bookshelf_tall,9,isSafe,1,1,0.00193857,2203,27,10.3134,7,517,4,-0.00224995,0.00249477,0,0,0,0
4,bookshelf_tall,9,bubbleCBF,1,1,0.000260383,113,7,7.44369,424,424,1,-0.00224995,0.00249477,0,0,0.0658734,0.221239
4,bookshelf_tall,9,VAMP,1,1,0.000176176,6034,26,12.6811,8,636,5,-0.00224995,0.00249477,0,0,0,0
4,bookshelf_tall,10,isSafe,1,1,0.00151547,1788,21,11.2605,7,565,1,-3.43804e-05,0.00249477,0,0,0,0
4,bookshelf_tall,10,bubbleCBF,1,1,0.000857432,333,10,8.74559,549,549,9,-0.00025206,0.00249477,0,0,0.0289785,0.03003
4,bookshelf_tall,10,VAMP,1,1,6.427e-05,1622,11,11.7868,7,591,1,-3.43804e-05,0.00249477,0,0,0,0
