seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction
5,bookshelf_tall,1,isSafe,1,1,0.000332516,333,7,8.21889,6,412,0,0.00301139,0.00249477,0,0,0,0
5,bookshelf_tall,1,bubbleCBF,1,1,0.000395845,200,8,7.79112,453,453,0,0.000971958,0.00249477,0,0,0.0389556,0
5,bookshelf_tall,1,VAMP,1,1,6.6644e-05,1568,10,12.3818,8,621,0,0.00385175,0.00249477,0,0,0,0
5,bookshelf_tall,2,isSafe,1,1,0.00177352,2043,26,18.8191,11,942,0,0.000108128,0.00249477,0,0,0,0
5,bookshelf_tall,2,bubbleCBF,1,1,0.000539275,282,10,8.61272,565,565,1,-0.000160466,0.00249477,0,0,0.0305415,0
5,bookshelf_tall,2,VAMP,1,1,0.000202282,6527,27,15.9656,9,800,1,-8.03067e-05,0.00200693,0,0,0,0
5,bookshelf_tall,8,isSafe,1,1,0.00118303,1411,18,16.4579,10,824,7,-0.00232579,0.00249477,0,0,0,0
5,bookshelf_tall,8,bubbleCBF,1,1,0.00245502,966,25,12.5907,823,823,0,0.000278469,0.00249477,0,0,0.0268094,0
5,bookshelf_tall,8,VAMP,1,1,0.000110854,2676,21,12.3248,8,618,8,-0.000802957,0.00249477,0,0,0,0
5,bookshelf_tall,9,isSafe,1,1,0.00433514,5086,60,10.8484,7,544,2,-0.00224995,0.00249477,0,0,0,0
5,bookshelf_tall,9,bubbleCBF,1,1,0.00196363,870,20,9.47174,594,594,1,-0.00224995,0.00249477,0,0,0.0292509,0
5,bookshelf_tall,9,VAMP,1,1,0.000332452,11942,47,18.1893,11,911,5,-0.00224995,0.00194779,0,0,0,0
5,bookshelf_tall,10,isSafe,1,1,0.000739046,852,12,7.29922,5,366,1,-3.43804e-05,0.00249477,0,0,0,0
5,bookshelf_tall,10,bubbleCBF,1,1,0.000922183,396,13,6.61687,432,432,1,-3.43804e-05,0.00249477,0,0,0.025555,0
5,bookshelf_tall,10,VAMP,1,1,6.3382e-05,2193,11,11.8879,7,596,4,-0.000900922,0.00249477,0,0,0,0
5,bookshelf_tall,11,isSafe,1,1,0.0041149,4861,57,15.0669,9,755,29,-0.00285668,0.00249477,0,0,0,0
5,bookshelf_tall,11,bubbleCBF,1,1,0.00232916,951,25,10.4715,706,706,7,-0.000286019,0.00249477,0,0,0.0276644,0
5,bookshelf_tall,11,VAMP,1,1,0.000621424,22464,92,16.6715,10,835,0,0.000321591,0.00249477,0,0,0,0
5,bookshelf_tall,15,isSafe,1,1,0.00136651,1605,21,14.5825,9,731,0,0.00377073,0.00249477,0,0,0,0
5,bookshelf_tall,15,bubbleCBF,1,1,0.00155469,624,15,9.71775,625,625,6,-0.00207232,0.00249477,0,0,0.0284058,0
5,bookshelf_tall,15,VAMP,1,1,0.000207732,5878,29,11.4247,7,573,4,-0.000390537,0.00177736,0,0,0,0
5,bookshelf_tall,17,isSafe,1,1,0.00060934,702,11,12.731,8,638,2,-0.00056107,0.00249477,0,0,0,0
5,bookshelf_tall,17,bubbleCBF,1,1,0.0017195,746,19,11.0632,653,653,0,0.000187229,0.00249477,0,0,0.0312785,0
5,bookshelf_tall,17,VAMP,1,1,7.145e-05,1608,12,13.3163,8,667,3,-0.000789324,0.00249477,0,0,0,0
5,bookshelf_tall,19,isSafe,1,1,0.0047532,5645,60,12.9206,8,648,5,-0.00108441,0.00249477,0,0,0,0
5,bookshelf_tall,19,bubbleCBF,1,1,0.00285708,1159,24,13.5458,866,866,0,0.000343511,0.00249477,0,0,0.0276811,0
5,bookshelf_tall,19,VAMP,1,1,6.61e-05,2618,10,12.6843,8,636,8,-0.00328808,0.000240914,0,0,0,0
5,bookshelf_tall,22,isSafe,1,1,0.0112567,13214,151,17.0366,10,853,5,-0.00111316,0.00249477,0,0,0,0
5,bookshelf_tall,22,bubbleCBF,1,1,0.000733908,314,10,9.3876,669,669,0,2.70424e-05,0.00249477,0,0,0.0298968,0
5,bookshelf_tall,22,VAMP,1,1,0.000492519,17403,67,18.4238,11,923,10,-0.00321211,0.000484278,0,0,0,0
5,bookshelf_tall,23,isSafe,1,1,0.00103082,1187,16,10.9862,7,551,0,0.00424879,0.00249477,0,0,0,0
5,bookshelf_tall,23,bubbleCBF,1,1,0.00108482,426,12,8.79009,599,599,7,-0.00671751,0.00249477,0,0,0.028042,0
5,bookshelf_tall,23,VAMP,1,1,9.5163e-05,2450,16,21.2889,12,1066,15,-0.00211758,0.00249477,0,0,0,0
5,bookshelf_tall,28,isSafe,1,1,0.000776792,917,12,11.7064,7,587,0,0.00185784,0.00249477,0,0,0,0
5,bookshelf_tall,28,bubbleCBF,1,1,0.000491313,258,8,8.13376,501,501,0,0.000615124,0.00249477,0,0,0.0336305,0
5,bookshelf_tall,28,VAMP,1,1,0.000272248,9552,41,9.72525,6,488,14,-0.00391125,0.00249477,0,0,0,0
5,bookshelf_tall,29,isSafe,1,1,0.000834903,966,12,11.6109,7,582,0,0.00136666,0.00249477,0,0,0,0
5,bookshelf_tall,29,bubbleCBF,1,1,0.0012926,489,15,7.42902,484,484,0,0.000483202,0.00249477,0,0,0.0271574,0
5,bookshelf_tall,29,VAMP,1,1,5.4828e-05,1186,10,12.4412,8,624,13,-0.000492204,0.00249477,0,0,0,0
5,bookshelf_tall,33,isSafe,1,1,0.00189846,2256,21,6.4255,5,323,4,-0.00184484,0.00249477,0,0,0,0
5,bookshelf_tall,33,bubbleCBF,1,1,0.000185903,115,5,3.93059,251,251,1,-0.000584279,0.00249477,0,0,0.034179,0
5,bookshelf_tall,33,VAMP,1,1,2.5188e-05,405,6,4.46113,4,225,6,-0.00303369,0.00249477,0,0,0,0
5,bookshelf_tall,36,isSafe,1,1,0.00335689,4016,47,10.8613,7,545,22,-0.000979158,0.00249477,0,0,0,0
5,bookshelf_tall,36,bubbleCBF,1,1,0.00208849,851,22,12.1622,810,810,12,-0.000831958,0.00249477,0,0,0.0289449,0
5,bookshelf_tall,36,VAMP,1,1,0.000704389,24473,103,20.2126,12,1012,6,-0.00320834,0.00249477,0,0,0,0
5,bookshelf_tall,40,isSafe,1,1,0.0196812,22560,257,13.1279,8,658,0,0.00128224,0.00249477,0,0,0,0
5,bookshelf_tall,40,bubbleCBF,1,1,0.00133404,581,15,9.91671,664,664,0,0.000660429,0.00249477,0,0,0.0282363,0
5,bookshelf_tall,40,VAMP,1,1,0.000283767,10446,41,20.5492,12,1029,0,0.00421794,0.00249477,0,0,0,0
5,bookshelf_tall,41,isSafe,1,1,0.000519783,591,9,11.3153,7,567,0,0.0041502,0.00249477,0,0,0,0
5,bookshelf_tall,41,bubbleCBF,1,1,0.00166487,659,17,12.6758,831,831,14,-0.0009287,0.00249477,0,0,0.0290783,0
5,bookshelf_tall,41,VAMP,1,1,6.227e-05,1406,12,17.3455,10,869,3,-0.00235997,0.00249477,0,0,0,0
5,bookshelf_tall,42,isSafe,1,1,0.00266717,3167,38,19.0744,11,955,5,-0.000325377,0.00249477,0,0,0,0
5,bookshelf_tall,42,bubbleCBF,1,1,0.00161442,636,17,11.9941,768,768,0,6.15394e-05,0.00249477,0,0,0.0295562,0
5,bookshelf_tall,42,VAMP,1,1,9.1385e-05,2203,15,19.6832,11,986,0,0.00368594,0.00249477,0,0,0,0
5,bookshelf_tall,46,isSafe,1,1,0.000342374,390,7,7.01843,5,352,5,-0.00379448,0.00249477,0,0,0,0
5,bookshelf_tall,46,bubbleCBF,1,1,0.000581763,288,9,8.03541,536,536,2,-0.00100912,0.00249477,0,0,0.0354813,0
5,bookshelf_tall,46,VAMP,1,1,3.1796e-05,510,7,9.41535,6,472,1,-0.00100912,0.00249477,0,0,0,0
5,bookshelf_tall,47,isSafe,1,1,0.00082856,972,13,17.4846,10,876,10,-0.00289362,0.00249477,0,0,0,0
5,bookshelf_tall,47,bubbleCBF,1,1,0.0010529,402,13,10.1244,683,683,18,-0.00512203,0.00249477,0,0,0.0291214,0
5,bookshelf_tall,47,VAMP,1,1,0.000215164,6461,36,17.8675,10,895,0,0.00646405,0.00249477,0,0,0,0
5,bookshelf_thin,2,isSafe,1,1,0.00134519,1555,20,13.4035,8,672,0,0.00286286,0.00249477,0,0,0,0
5,bookshelf_thin,2,bubbleCBF,1,1,0.000749825,299,11,8.68016,585,585,0,0.000668835,0.00249477,0,0,0.0290306,0
5,bookshelf_thin,2,VAMP,1,1,9.4271e-05,1952,17,18.3479,11,919,0,0.000482142,0.00145464,0,0,0,0
5,bookshelf_thin,3,isSafe,1,1,0.000240247,274,6,6.71792,5,337,0,0.00144607,0.00249477,0,0,0,0
5,bookshelf_thin,3,bubbleCBF,1,1,0.00027882,176,7,6.87802,484,484,0,0.00144607,0.00249477,0,0,0.0390797,0
5,bookshelf_thin,3,VAMP,1,1,3.0547e-05,237,6,7.03469,5,353,3,-0.000922079,0.00249477,0,0,0,0
5,bookshelf_thin,8,isSafe,1,1,0.0294124,34099,320,17.0485,10,854,0,0.000266413,0.00249477,0,0,0,0
5,bookshelf_thin,8,bubbleCBF,1,1,0.000403825,188,7,6.79497,439,439,12,-0.000678777,0.00249477,0,0,0.0361434,0
5,bookshelf_thin,8,VAMP,1,1,0.00122005,34998,113,17.0545,10,854,0,0.000266413,0.00249477,0,0,0,0
5,bookshelf_thin,9,isSafe,1,1,0.00112617,1313,14,10.2078,7,512,0,0.00227968,0.00249477,0,0,0,0
5,bookshelf_thin,9,bubbleCBF,1,1,0.000272211,165,7,6.39068,331,331,0,0.00227968,0.00249477,0,0,0.0387314,0
5,bookshelf_thin,9,VAMP,1,1,0.00015421,3668,16,11.3553,7,569,5,-0.00355242,0.00249477,0,0,0,0
5,bookshelf_thin,12,isSafe,1,1,0.00126023,1470,19,15.6218,9,783,0,0.00101537,0.00249477,0,0,0,0
5,bookshelf_thin,12,bubbleCBF,1,1,0.00253241,1104,22,18.835,1299,1299,0,3.46136e-05,0.00249477,0,0,0.0261543,0
5,bookshelf_thin,12,VAMP,1,1,0.000145064,3533,23,8.87706,6,445,0,0.00101537,0.00249477,0,0,0,0
5,bookshelf_thin,13,isSafe,1,1,0.00349126,4064,45,8.44168,6,424,3,-0.00173113,0.00249477,0,0,0,0
5,bookshelf_thin,13,bubbleCBF,1,1,0.00107765,426,12,9.31661,629,629,1,-0.000129268,0.00249477,0,0,0.0305015,0
5,bookshelf_thin,13,VAMP,1,1,0.000158874,4364,19,14.5931,9,731,1,-0.000129268,0.00249477,0,0,0,0
5,bookshelf_thin,14,isSafe,1,1,0.000608104,703,10,10.6186,7,532,0,0.00185742,0.00249477,0,0,0,0
5,bookshelf_thin,14,bubbleCBF,1,1,0.000629418,251,10,5.09064,354,354,1,-0.00508717,0.00249477,0,0,0.0292693,0
5,bookshelf_thin,14,VAMP,1,1,0.000261306,7205,33,10.8811,7,546,2,-0.00558793,0.00249477,0,0,0,0
5,bookshelf_thin,16,isSafe,1,1,0.00186234,2226,28,11.1257,7,558,1,-0.000457134,0.00249477,0,0,0,0
5,bookshelf_thin,16,bubbleCBF,1,1,0.000482225,225,8,7.15447,457,457,1,-0.000457134,0.00249477,0,0,0.035498,0
5,bookshelf_thin,16,VAMP,1,1,0.000178353,4546,24,18.1163,11,907,2,-0.000457134,0.00249477,0,0,0,0
5,bookshelf_thin,17,isSafe,1,1,0.00125665,1495,19,7.99861,5,401,0,0.00109988,0.00249477,0,0,0,0
5,bookshelf_thin,17,bubbleCBF,1,1,0.00228053,1116,29,13.7135,910,910,38,-0.0105607,0.00249477,0,0,0.0324384,0
5,bookshelf_thin,17,VAMP,1,1,0.000287167,9412,36,17.291,10,866,0,0.00109988,0.00249477,0,0,0,0
5,bookshelf_thin,18,isSafe,1,1,0.00116924,1374,18,12.6046,8,632,0,0.00131173,0.00249477,0,0,0,0
5,bookshelf_thin,18,bubbleCBF,1,1,0.00143154,680,18,12.5173,788,788,0,0.00128253,0.00249477,0,0,0.0307754,0
5,bookshelf_thin,18,VAMP,1,1,0.000511241,14742,64,19.7084,11,987,0,0.00465497,0.00249477,0,0,0,0
5,bookshelf_thin,19,isSafe,1,1,0.001681,1993,24,11.15,7,559,4,-0.000166911,0.00249477,0,0,0,0
5,bookshelf_thin,19,bubbleCBF,1,1,0.000789466,385,10,9.25604,645,645,22,-0.00133383,0.00249477,0,0,0.026912,0
5,bookshelf_thin,19,VAMP,1,1,0.00132341,40882,158,15.82,9,793,0,0.00214741,0.00244557,0,0,0,0
5,bookshelf_thin,20,isSafe,1,1,0.0193425,22411,194,16.8999,10,846,0,0.00677303,0.00249477,0,0,0,0
5,bookshelf_thin,20,bubbleCBF,1,1,0.0013158,580,15,14.2488,913,913,43,-0.00377237,0.00249477,0,0,0.0317801,0
5,bookshelf_thin,20,VAMP,1,1,0.00243471,86766,247,23.7699,14,1190,4,-0.00131005,0.00142453,0,0,0,0
5,bookshelf_thin,21,isSafe,1,1,0.00101229,1173,15,11.8381,7,593,0,0.000433359,0.00249477,0,0,0,0
5,bookshelf_thin,21,bubbleCBF,1,1,0.000845167,400,13,8.18312,530,530,0,0.000433359,0.00249477,0,0,0.0299466,0
5,bookshelf_thin,21,VAMP,1,1,0.000162703,2817,22,10.3251,7,518,2,-0.000852253,0.00249477,0,0,0,0
5,bookshelf_thin,22,isSafe,1,1,0.00286877,3335,40,17.4514,10,874,9,-0.00245629,0.00249477,0,0,0,0
5,bookshelf_thin,22,bubbleCBF,1,1,0.00188861,808,17,12.2993,793,793,3,-0.00222945,0.00249477,0,0,0.0245618,0
5,bookshelf_thin,22,VAMP,1,1,0.000385971,12012,54,16.6407,10,834,0,0.000516744,0.00104396,0,0,0,0
5,bookshelf_thin,23,isSafe,1,1,0.00571238,6760,75,16.4671,10,825,0,0.000382886,0.00249477,0,0,0,0
5,bookshelf_thin,23,bubbleCBF,1,1,0.000647847,281,10,8.76821,568,568,19,-0.000625402,0.00249477,0,0,0.0312036,0
5,bookshelf_thin,23,VAMP,1,1,9.156e-05,1757,16,12.7383,8,638,7,-0.00229254,0.00249477,0,0,0,0
5,bookshelf_thin,25,isSafe,1,1,0.00656761,7772,82,18.6368,11,933,0,0.00163466,0.00249477,0,0,0,0
5,bookshelf_thin,25,bubbleCBF,1,1,0.00726774,2789,43,14.3949,982,982,5,-0.000269176,0.00249477,0,0,0.0245393,0
5,bookshelf_thin,25,VAMP,1,1,0.000308255,10006,38,21.9919,13,1101,0,0.000121347,0.00249477,0,0,0,0
