seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
1,bookshelf_tall,1,isSafe,1,1,0.000428312,447,8,10.752,7,539,0,0.00385175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.000812286,337,11,9.66061,596,596,0,0.00101367,0.00249477,0,0,0.0370729,0,2,2,5.5,0,0,0
1,bookshelf_tall,1,bubbleCBF,1,1,0.000840237,210,10,10.7732,589,589,0,0.00169602,0.00249477,0,0,0.0624685,0.242857,2,2,5,0,0,0
1,bookshelf_tall,1,qpFreeGate,1,0,5.00008,1398999,47492,0,0,0,0,inf,inf,0,0,0.0253193,0,353903,47490,0.134195,0,0,0
1,bookshelf_tall,1,VAMP,1,1,8.1659e-05,1438,12,11.9051,7,597,0,0.00142864,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,2,isSafe,1,1,0.00516725,5880,64,11.2735,8,565,0,0.00531366,0.00249477,0,0,0,0,521,59,0.122841,0,0,0
1,bookshelf_tall,2,qpFixed,1,1,0.00235256,659,23,14.5179,978,978,0,0.000165037,0.00249477,0,0,0.0307995,0,5,5,4.6,0,0,0
1,bookshelf_tall,2,bubbleCBF,1,1,0.00277203,560,21,14.5393,945,945,0,0.000359974,0.00249477,0,0,0.0363339,0.0232143,5,5,4.2,0,0,0
1,bookshelf_tall,2,qpFreeGate,1,1,0.00579831,4223,93,15.6067,942,942,0,0.00317469,0.00249477,0,0,0.032381,0,418,85,0.222488,0,0,0
1,bookshelf_tall,2,VAMP,1,1,0.000115247,2977,17,13.3133,8,667,4,-0.00289186,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,isSafe,1,1,0.0023465,2698,32,18.4548,11,924,0,0.000278469,0.00249477,0,0,0,0,163,27,0.196319,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.000622416,252,9,7.49798,505,505,0,0.000278469,0.00249477,0,0,0.0297539,0,1,1,9,0,0,0
1,bookshelf_tall,8,bubbleCBF,1,1,0.000351951,81,7,7.59635,423,423,0,0.000278469,0.00249477,0,0,0.0937822,0.345679,1,1,7,0,0,0
1,bookshelf_tall,8,qpFreeGate,1,0,5.00001,1356776,45744,0,0,0,0,inf,inf,0,0,0.0250266,0,354061,45742,0.129198,0,0,0
1,bookshelf_tall,8,VAMP,1,1,0.00032126,10629,45,21.2113,12,1062,0,0.000278469,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,isSafe,1,1,0.00776349,8847,100,11.2204,7,563,2,-0.00224995,0.00249477,0,0,0,0,718,97,0.139276,0,0,0
1,bookshelf_tall,9,qpFixed,1,1,0.00105769,335,11,7.49485,484,484,1,-0.00224995,0.00249477,0,0,0.0315628,0,2,2,5.5,0,0,0
1,bookshelf_tall,9,bubbleCBF,1,1,0.00106957,258,11,8.73809,524,524,1,-0.00224995,0.00249477,0,0,0.0405876,0.108527,2,2,5.5,0,0,0
