seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,isSafe,1,1,0.00811097,1092,8,10.752,7,539,0,0.00785175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.0129267,932,9,10.8809,764,764,0,0.00785175,0.00249477,0,0,0.0137534,0,2,2,4.5,0,0,0,1,0,0,932,231583,371
1,bookshelf_tall,1,qpPlain,1,1,0.0134886,932,9,10.8809,764,764,0,0.00785175,0.00249477,0,0,0.0137534,0,2,2,4.5,0,0,0,1,0,0,932,319676,932
1,bookshelf_tall,1,qpAdaptive,1,1,0.00518258,253,9,10.8682,617,617,0,0.00785175,0.00249477,0,0,0.0505782,0.889328,2,2,4.5,0,0,0,0.102767,0.869565,0.027668,253,68482,181
1,bookshelf_tall,1,qpFreeGate,1,1,0.0272985,1759,11,10.4508,1058,1058,0,0.00420662,0.00249477,0,0,0.00670018,0,7,5,1.57143,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,1,qpEnvelope,1,1,0.000953211,83,9,10.8745,573,573,0,0.00785175,0.00249477,0,0,0.154689,0.86747,2,2,4.5,0,0,0,0.13253,0.783133,0.0843373,83,23533,58
1,bookshelf_tall,8,isSafe,1,1,0.0298046,3179,18,12.7542,8,639,0,0.00427847,0.00249477,0,0,0,0,38,13,0.473684,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.0201676,1378,12,12.243,934,934,0,0.00105303,0.00249477,0,0,0.0121589,0,2,2,6,0,0,0,1,0,0,1378,367072,826
1,bookshelf_tall,8,qpPlain,1,1,0.0271988,1378,12,12.243,934,934,0,0.00105303,0.00249477,0,0,0.0121589,0,2,2,6,0,0,0,1,0,0,1378,472654,1378
1,bookshelf_tall,8,qpAdaptive,1,1,0.0164887,813,12,12.25,775,775,0,0.00105723,0.00249477,0,0,0.0206163,0.170972,2,2,6,0,0,0,0.829028,0.164822,0.00615006,813,217340,760
1,bookshelf_tall,8,qpFreeGate,1,1,0.0661781,5956,24,14.9621,1369,1369,0,0.00427847,0.00249477,0,0,0.00621475,0,38,17,0.631579,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,8,qpEnvelope,1,1,0.0118666,597,12,12.2847,686,686,0,0.00101639,0.00249477,0,0,0.0281505,0.110553,2,2,6,0,0,0,0.889447,0.100503,0.0100503,597,154570,582
1,bookshelf_tall,15,isSafe,1,1,0.504629,22917,118,16.3734,10,820,0,0.00376763,0.00249477,0,0,0,0,904,114,0.130531,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,qpFixed,1,1,0.192087,3116,21,14.7046,1293,1293,0,0.000637067,0.00249477,0,0,0.0104446,0,9,8,2.33333,0,0,0,1,0,0,3116,814528,2490
1,bookshelf_tall,15,qpPlain,1,1,0.189395,3116,21,14.7046,1293,1293,0,0.000637067,0.00249477,0,0,0.0104446,0,9,8,2.33333,0,0,0,1,0,0,3116,1068788,3116
1,bookshelf_tall,15,qpAdaptive,1,1,0.126085,2087,21,14.7391,1043,1043,0,0.000635056,0.00249477,0,0,0.0156325,0.166747,9,8,2.33333,0,0,0,0.832295,0.162913,0.00479157,2087,565773,2032
1,bookshelf_tall,15,qpFreeGate,1,1,0.30088,32784,71,17.4574,1887,1887,0,0.00127322,0.00249477,0,0,0.00345551,0,239,55,0.297071,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,15,qpEnvelope,1,1,0.108185,1709,24,14.7051,905,905,0,0.000419686,0.00249477,0,0,0.0204936,0.0708016,9,9,2.66667,0,0,0,0.929198,0.0614394,0.0093622,1709,470272,1677
1,bookshelf_tall,23,isSafe,1,1,0.00692148,1491,10,10.1824,7,511,0,0.00392397,0.00249477,0,0,0,0,20,6,0.5,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,23,qpFixed,1,1,0.00689899,866,8,8.51073,644,644,0,0.00824879,0.00249477,0,0,0.0125684,0,2,2,4,0,0,0,1,0,0,866,253045,467
1,bookshelf_tall,23,qpPlain,1,1,0.00711427,866,8,8.51073,644,644,0,0.00824879,0.00249477,0,0,0.0125684,0,2,2,4,0,0,0,1,0,0,866,297038,866
1,bookshelf_tall,23,qpAdaptive,1,1,0.00373778,421,8,8.50938,521,521,0,0.00824879,0.00249477,0,0,0.0258521,0.498812,2,2,4,0,0,0,0.496437,0.489311,0.0142518,421,126984,360
1,bookshelf_tall,23,qpFreeGate,1,1,0.0243403,3444,12,9.70553,1042,1042,0,0.000951604,0.00249477,0,0,0.00456876,0,20,6,0.6,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,23,qpEnvelope,1,1,0.0015243,147,8,8.49254,469,469,0,0.00644832,0.00249477,0,0,0.0740168,0.619048,2,2,4,0,0,0,0.380952,0.571429,0.047619,147,44302,126
1,bookshelf_tall,31,isSafe,1,0,10.0007,2,1,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpFixed,1,0,10.0025,717388,3102,0,0,0,0,inf,inf,0,0,0.00791611,0,11385,3100,0.272464,0,0,0,1,0,0,717388,212774230,632765
1,bookshelf_tall,31,qpPlain,1,0,10.0006,930957,3930,0,0,0,0,inf,inf,0,0,0.00769503,0,14909,3928,0.263599,0,0,0,1,0,0,930957,319318251,930957
1,bookshelf_tall,31,qpAdaptive,1,0,10.0033,1122330,5802,0,0,0,0,inf,inf,0,0,0.0092894,0.118084,23137,5800,0.250767,0,0,0,0.879257,0.117412,0.00333046,1122330,335686013,1093578
1,bookshelf_tall,31,qpFreeGate,1,0,10,1010399,2963,0,0,0,0,inf,inf,0,0,0.00365381,0,21151,2961,0.140088,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,31,qpEnvelope,1,0,10.0023,756402,4508,0,0,0,0,inf,inf,0,0,0.0108729,0.0300131,17431,4506,0.25862,0,0,0,0.96921,0.0267434,0.00404616,756402,225283019,748968
