seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,6,isSafe,1,0,10,967669,8701,0,0,0,0,inf,inf,0,0,0,0,76460,8699,0.113798,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,6,qpFixed,1,0,10.0015,660258,1426,0,0,0,0,inf,inf,0,0,0.00598094,0,2854,1328,0.49965,0,0,0,1,0,0,660258,198541000,625362
1,bookshelf_tall,6,qpPlain,1,0,10.0029,753975,1596,0,0,0,0,inf,inf,0,0,0.00590551,0,3307,1495,0.482613,0,0,0,1,0,0,753975,258613425,753975
1,bookshelf_tall,6,qpAdaptive,1,0,10.0522,665283,1567,0,0,0,0,inf,inf,0,0,0.00655167,0.0517464,3219,1467,0.486797,0,0,0,0.948001,0.051013,0.000986048,665283,201096034,657908
1,bookshelf_tall,6,qpFreeGate,1,0,10.0019,877272,1534,0,0,0,0,inf,inf,0,0,0.00270325,0,8006,1532,0.191606,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,6,qpEnvelope,1,0,10.001,633445,1558,0,0,0,0,inf,inf,0,0,0.00687955,0.00723978,3217,1461,0.484302,0,0,0,0.992722,0.00622311,0.00105455,633445,191100412,631147
1,bookshelf_tall,13,isSafe,1,0,10.0027,2,1,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,13,qpFixed,1,0,10.0022,761984,3473,0,0,0,0,inf,inf,0,0,0.00808501,0,12249,3471,0.283533,0,0,0,1,0,0,761984,225236723,662479
1,bookshelf_tall,13,qpPlain,1,0,10.0002,747091,3409,0,0,0,0,inf,inf,0,0,0.00809813,0,12001,3407,0.28406,0,0,0,1,0,0,747091,256252213,747091
1,bookshelf_tall,13,qpAdaptive,1,0,10.0005,720662,4087,0,0,0,0,inf,inf,0,0,0.0100067,0.107403,14717,4085,0.277706,0,0,0,0.890113,0.106591,0.00329659,720662,215030135,698885
1,bookshelf_tall,13,qpFreeGate,1,0,10.0009,876676,2752,0,0,0,0,inf,inf,0,0,0.00396288,0,17501,2750,0.157248,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,13,qpEnvelope,1,0,10.0005,705284,4432,0,0,0,0,inf,inf,0,0,0.0110816,0.0228929,16135,4430,0.274682,0,0,0,0.976505,0.0195443,0.00395072,705284,210508691,697900
1,bookshelf_tall,21,isSafe,1,0,10.0052,2,1,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,21,qpFixed,1,0,10.0003,512337,2391,0,0,0,0,inf,inf,0,0,0.00851792,0,8083,2389,0.295806,0,0,0,1,0,0,512337,151199843,436733
1,bookshelf_tall,21,qpPlain,1,0,10.001,754400,3392,0,0,0,0,inf,inf,0,0,0.00814386,0,12109,3390,0.280122,0,0,0,1,0,0,754400,258759200,754400
1,bookshelf_tall,21,qpAdaptive,1,0,10.0016,720856,4018,0,0,0,0,inf,inf,0,0,0.0100886,0.105941,14713,4016,0.273092,0,0,0,0.891611,0.105055,0.00333341,720856,214955476,697557
1,bookshelf_tall,21,qpFreeGate,1,0,10.0002,872819,2923,0,0,0,0,inf,inf,0,0,0.00409363,0,18385,2921,0.158988,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,21,qpEnvelope,1,0,10.0006,590166,3671,0,0,0,0,inf,inf,0,0,0.0113875,0.0199435,13309,3669,0.275828,0,0,0,0.979531,0.0166063,0.00386313,590166,175393601,583255
1,bookshelf_tall,29,isSafe,1,1,0.0200073,2680,15,10.9601,7,550,0,0.00536666,0.00249477,0,0,0,0,72,12,0.208333,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,29,qpFixed,1,1,0.0235892,1851,18,16.0443,1294,1294,0,0.00536666,0.00249477,0,0,0.0106844,0,6,6,3,0,0,0,1,0,0,1851,461565,1537
1,bookshelf_tall,29,qpPlain,1,1,0.0252119,1851,18,16.0443,1294,1294,0,0.00536666,0.00249477,0,0,0.0106844,0,6,6,3,0,0,0,1,0,0,1851,634893,1851
1,bookshelf_tall,29,qpAdaptive,1,1,0.0108633,798,18,16.0552,1059,1059,0,0.00536666,0.00249477,0,0,0.0248201,0.704261,6,6,3,0,0,0,0.284461,0.695489,0.0200501,798,205111,752
1,bookshelf_tall,29,qpFreeGate,1,1,0.0926492,8099,24,12.3413,1076,1076,0,0.00536666,0.00249477,0,0,0.0036951,0,72,17,0.333333,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,29,qpEnvelope,1,1,0.00417976,245,17,16.073,878,878,0,0.00536666,0.00249477,0,0,0.0811405,0.714286,6,6,2.83333,0,0,0,0.269388,0.661224,0.0693878,245,66953,229
1,bookshelf_tall,36,isSafe,1,1,0.0432563,5823,30,15.7279,9,788,0,0.00529606,0.00249477,0,0,0,0,170,27,0.176471,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,36,qpFixed,1,1,0.0697722,5165,30,15.6781,1330,1330,0,0.00403216,0.00249477,0,0,0.00910331,0,14,12,2.14286,0,0,0,1,0,0,5165,1431717,4808
1,bookshelf_tall,36,qpPlain,1,1,0.0730552,5165,30,15.6781,1330,1330,0,0.00403216,0.00249477,0,0,0.00910331,0,14,12,2.14286,0,0,0,1,0,0,5165,1771595,5165
1,bookshelf_tall,36,qpAdaptive,1,1,0.0528747,3651,30,15.6875,1053,1053,0,0.00410684,0.00249477,0,0,0.0129182,0.316352,14,12,2.14286,0,0,0,0.680909,0.313613,0.00547795,3651,1031663,3568
1,bookshelf_tall,36,qpFreeGate,1,1,0.0580537,5161,20,14.36,1571,1571,0,0.00285924,0.00249477,0,0,0.00544984,0,26,13,0.769231,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,36,qpEnvelope,1,1,0.0369882,2411,29,14.9785,876,876,0,0.0042332,0.00249477,0,0,0.0196172,0.178764,15,12,1.93333,0,0,0,0.819992,0.170469,0.00953961,2411,703753,2379
1,bookshelf_tall,43,isSafe,1,0,10.0004,757489,6473,0,0,0,0,inf,inf,0,0,0,0,57477,6471,0.112619,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,43,qpFixed,1,0,10.0012,701163,1466,0,0,0,0,inf,inf,0,0,0.00589703,0,3042,1352,0.48192,0,0,0,1,0,0,701163,208788229,665958
