seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,3,isSafe,1,0,10.0003,1974002,20539,0,0,0,0,inf,inf,0,0,0,0,210723,20537,0.0974692,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,3,qpFixed,1,0,10.0004,1202245,2263,0,0,0,0,inf,inf,0,0,0.00553965,0,5586,2156,0.40512,0,0,0,1,0,0,1202245,360743203,1153061
1,bookshelf_tall,3,qpPlain,1,0,10.0003,1199812,2256,0,0,0,0,inf,inf,0,0,0.00553974,0,5576,2149,0.404591,0,0,0,1,0,0,1199812,411535516,1199812
1,bookshelf_tall,3,qpAdaptive,1,0,10.001,1131477,2340,0,0,0,0,inf,inf,0,0,0.00608171,0.0554797,5801,2232,0.403379,0,0,0,0.944239,0.0547709,0.000989857,1131477,340724584,1120782
1,bookshelf_tall,3,qpFreeGate,1,0,10.0008,1435189,2295,0,0,0,0,inf,inf,0,0,0.00233149,0,13392,2290,0.171371,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,3,qpEnvelope,1,0,10.001,1130077,2440,0,0,0,0,inf,inf,0,0,0.00631833,0.0108886,6097,2325,0.400197,0,0,0,0.989035,0.00989759,0.00106719,1130077,339750015,1126276
1,bookshelf_tall,10,isSafe,1,1,0.00431678,954,7,9.00351,6,452,0,0.00394803,0.00249477,0,0,0,0,17,3,0.411765,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,10,qpFixed,1,1,0.0131189,1591,20,13.1165,992,992,0,0.00366752,0.00249477,0,0,0.012099,0,5,5,4,0,0,0,1,0,0,1591,463984,1385
1,bookshelf_tall,10,qpPlain,1,1,0.0132197,1591,20,13.1165,992,992,0,0.00366752,0.00249477,0,0,0.012099,0,5,5,4,0,0,0,1,0,0,1591,545713,1591
1,bookshelf_tall,10,qpAdaptive,1,1,0.008909,998,19,13.1236,881,881,0,0.00366747,0.00249477,0,0,0.0192344,0.480962,5,5,3.8,0,0,0,0.512024,0.471944,0.0160321,998,294184,941
1,bookshelf_tall,10,qpFreeGate,1,1,0.120101,17357,43,8.89344,770,770,0,0.00396562,0.00249477,0,0,0.00393318,0,135,36,0.318519,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,10,qpEnvelope,1,1,0.00366672,352,20,13.171,733,733,0,0.00366797,0.00249477,0,0,0.0554494,0.451705,5,5,4,0,0,0,0.545455,0.397727,0.0568182,352,104666,334
1,bookshelf_tall,17,isSafe,1,1,0.0127481,2814,16,11.0024,7,552,0,0.00496561,0.00249477,0,0,0,0,48,12,0.333333,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,17,qpFixed,1,1,0.00436306,550,7,6.51746,551,551,0,0.00298651,0.00249477,0,0,0.0118499,0,1,1,7,0,0,0,1,0,0,550,143249,366
1,bookshelf_tall,17,qpPlain,1,1,0.00458664,550,7,6.51746,551,551,0,0.00298651,0.00249477,0,0,0.0118499,0,1,1,7,0,0,0,1,0,0,550,188650,550
1,bookshelf_tall,17,qpAdaptive,1,1,0.00327804,367,7,6.51737,489,489,0,0.00299365,0.00249477,0,0,0.0177585,0.171662,1,1,7,0,0,0,0.822888,0.166213,0.0108992,367,98790,347
1,bookshelf_tall,17,qpFreeGate,1,1,0.038686,5699,20,9.16302,711,711,0,0.00496561,0.00249477,0,0,0.00566829,0,48,16,0.416667,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,17,qpEnvelope,1,1,0.0020232,215,7,6.5229,432,432,0,0.00300905,0.00249477,0,0,0.0303391,0.15814,1,1,7,0,0,0,0.837209,0.139535,0.0232558,215,59564,207
1,bookshelf_tall,26,isSafe,1,0,10.0101,2,1,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,26,qpFixed,1,0,10.0012,1213499,5303,0,0,0,0,inf,inf,0,0,0.00768939,0,19935,5301,0.266015,0,0,0,1,0,0,1213499,360424116,1063054
1,bookshelf_tall,26,qpPlain,1,0,10.001,1203128,5254,0,0,0,0,inf,inf,0,0,0.00769352,0,19753,5252,0.265985,0,0,0,1,0,0,1203128,412672904,1203128
1,bookshelf_tall,26,qpAdaptive,1,0,10.0004,1124954,6124,0,0,0,0,inf,inf,0,0,0.00952603,0.111367,23397,6122,0.261743,0,0,0,0.886029,0.110582,0.00338893,1124954,337574533,1093333
1,bookshelf_tall,26,qpFreeGate,1,0,10.0005,1429042,4545,0,0,0,0,inf,inf,0,0,0.00372608,0,29961,4543,0.151697,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,26,qpEnvelope,1,0,10.0005,1109710,6692,0,0,0,0,inf,inf,0,0,0.0105335,0.0215984,25811,6690,0.259269,0,0,0,0.977814,0.0181486,0.00403719,1109710,332459664,1099099
1,bookshelf_tall,33,isSafe,1,1,0.0339711,7495,33,12.0293,8,603,0,0.000260518,0.00249477,0,0,0,0,172,29,0.19186,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,33,qpFixed,1,1,0.00228629,323,5,5.52732,324,324,0,0.00333403,0.00249477,0,0,0.0171124,0,1,1,5,0,0,0,1,0,0,323,82427,65
1,bookshelf_tall,33,qpPlain,1,1,0.00248104,323,5,5.52732,324,324,0,0.00333403,0.00249477,0,0,0.0171124,0,1,1,5,0,0,0,1,0,0,323,110789,323
1,bookshelf_tall,33,qpAdaptive,1,1,0.000532663,65,5,5.5326,307,307,0,0.00333403,0.00249477,0,0,0.0851169,0.723077,1,1,5,0,0,0,0.261538,0.692308,0.0461538,65,19272,38
1,bookshelf_tall,33,qpFreeGate,1,1,0.0749188,10950,44,22.4184,2187,2187,0,0.00246489,0.00249477,0,0,0.00629284,0,119,38,0.369748,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,33,qpEnvelope,1,1,0.00036164,32,5,5.56065,294,294,0,0.00333403,0.00249477,0,0,0.17377,0.75,1,1,5,0,0,0,0.25,0.65625,0.09375,32,9442,21
1,bookshelf_tall,40,isSafe,1,1,0.134074,29659,156,17.2181,11,862,0,0.00282253,0.00249477,0,0,0,0,1254,152,0.124402,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,40,qpFixed,1,1,0.0331779,3840,28,11.9554,1012,1012,81,-0.00141164,0.00249477,0,0,0.00938253,0,12,10,2.33333,0,0,0,1,0,0,3840,1157935,3199
1,bookshelf_tall,40,qpPlain,1,1,0.0330979,3840,28,11.9554,1012,1012,81,-0.00141164,0.00249477,0,0,0.00938253,0,12,10,2.33333,0,0,0,1,0,0,3840,1317120,3840
