seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,14,isSafe,1,1,0.0844488,11401,57,11.9311,7,598,0,0.00444586,0.00249477,0,0,0,0,224,53,0.254464,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,14,qpFixed,1,1,0.0105962,524,6,7.59522,525,525,0,0.00444586,0.00249477,0,0,0.0144947,0,1,1,6,0,0,0,1,0,0,524,145552,205
1,bookshelf_tall,14,qpPlain,1,1,0.010672,524,6,7.59522,525,525,0,0.00444586,0.00249477,0,0,0.0144947,0,1,1,6,0,0,0,1,0,0,524,179732,524
1,bookshelf_tall,14,qpAdaptive,1,1,0.00310471,178,6,7.5948,456,456,0,0.00444586,0.00249477,0,0,0.0426674,0.550562,1,1,6,0,0,0,0.449438,0.52809,0.0224719,178,53976,137
1,bookshelf_tall,14,qpFreeGate,1,1,0.19478,16787,52,20.7446,1835,1835,0,0.00443428,0.00249477,0,0,0.00481955,0,129,40,0.403101,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,14,qpFreeEnvelope,1,1,0.023184,738,38,13.3019,708,708,0,0.000342709,0.00249477,0,0,0.085763,0.940379,88,29,0.431818,0,0,0,0.0410397,0.838577,0.120383,0,0,0
1,bookshelf_tall,14,qpEnvelope,1,1,0.000948241,41,7,7.61935,401,401,0,0.00444586,0.00249477,0,0,0.185838,0.804878,1,1,7,0,0,0,0.195122,0.682927,0.121951,41,12423,33
1,bookshelf_tall,14,VAMP,1,1,0.000882705,11654,52,10.9054,7,547,0,0.00380205,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,40,isSafe,1,1,0.08728,11775,60,14.1429,9,709,0,0.00304535,0.00216317,0,0,0,0,294,56,0.204082,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,40,qpFixed,1,1,0.0496185,2325,15,10.1281,850,850,0,0.00567038,0.00249477,0,0,0.0100332,0,8,7,1.875,0,0,0,1,0,0,2325,698999,1746
1,bookshelf_tall,40,qpPlain,1,1,0.0495939,2325,15,10.1281,850,850,0,0.00567038,0.00249477,0,0,0.0100332,0,8,7,1.875,0,0,0,1,0,0,2325,797475,2325
1,bookshelf_tall,40,qpAdaptive,1,1,0.0277535,1310,15,10.1867,639,639,0,0.00567038,0.00249477,0,0,0.0178595,0.232824,8,7,1.875,0,0,0,0.764885,0.226718,0.00839695,1310,413343,1238
1,bookshelf_tall,40,qpFreeGate,1,1,0.278504,23716,65,11.5639,1036,1036,0,0.00496102,0.00249477,0,0,0.0043407,0,169,59,0.384615,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,40,qpFreeEnvelope,1,1,0.0630321,1901,100,20.2139,1096,1096,0,2.94307e-05,0.00249477,0,0,0.0800813,0.947396,253,82,0.395257,0,0,0,0.0280423,0.82381,0.148148,0,0,0
1,bookshelf_tall,40,qpEnvelope,1,1,0.01905,867,15,10.1785,553,553,0,0.00510998,0.00249477,0,0,0.026865,0.269896,8,7,1.875,0,0,0,0.730104,0.254902,0.0149942,867,273255,838
1,bookshelf_tall,40,VAMP,1,1,0.000977011,16215,63,14.1429,9,709,0,0.00304535,0.00216317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,64,isSafe,1,1,0.0810982,10821,52,15.0185,9,752,0,0.00183406,0.00249477,0,0,0,0,183,47,0.284153,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,64,qpFixed,1,1,0.00721608,361,5,5.21594,362,362,0,0.00256155,0.00249477,0,0,0.0144486,0,1,1,5,0,0,0,1,0,0,361,99844,177
1,bookshelf_tall,64,qpPlain,1,1,0.00747558,361,5,5.21594,362,362,0,0.00256155,0.00249477,0,0,0.0144486,0,1,1,5,0,0,0,1,0,0,361,123823,361
