scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,140,0.4825006,0.7576047499999999,1.186425,4.064575,49.56805000000003,8.0,12.0,17.0,50.0,671.3000000000001,515.3,822.25,1286.0,4538.25,51692.800000000025
all scenes,cbf-rrtc,140,0.1689059,0.24774449999999998,0.75217,2.2198100000000003,12.386220000000009,6.0,7.0,11.0,24.0,82.60000000000005,79.7,113.0,310.0,893.5,4595.600000000005
bookshelf_small,rrtconnect,20,0.5124922,0.84889075,1.073125,2.99695,7.533021000000039,7.800000000000001,12.75,15.0,36.0,92.20000000000046,548.3000000000001,906.0,1173.0,3328.5,8241.20000000004
bookshelf_small,cbf-rrtc,20,0.18318540000000003,0.28600675000000003,0.7073065000000001,1.4530399999999999,2.7175980000000024,6.0,6.75,10.0,16.25,28.1,85.60000000000001,113.75,270.5,567.75,1121.000000000001
bookshelf_tall,rrtconnect,20,0.7883363,0.9353794999999999,1.737975,3.3098324999999997,5.442732000000005,12.0,13.75,20.5,41.5,70.20000000000006,847.8000000000001,1037.75,1944.0,3661.75,6033.800000000005
bookshelf_tall,cbf-rrtc,20,0.26107210000000003,0.46425924999999996,1.0525495,1.7737875,3.4118860000000097,7.0,9.0,13.0,15.5,33.400000000000034,124.7,209.5,410.0,654.75,1310.3000000000036
bookshelf_thin,rrtconnect,20,0.9471788,1.0685149999999999,2.672155,5.20459,8.613979000000011,13.4,15.75,29.0,63.75,107.60000000000008,1021.8000000000001,1162.25,2980.0,5795.0,9541.30000000001
bookshelf_thin,cbf-rrtc,20,0.1958887,0.372644,0.726242,1.6263975,2.247647000000001,6.0,7.75,10.5,17.25,23.200000000000003,91.10000000000001,147.5,295.0,620.5,810.2000000000005
box,rrtconnect,20,0.4114903,0.5117752500000001,0.860622,1.229595,1.4091300000000002,7.9,9.0,13.0,18.0,20.1,439.6,541.5,950.5,1355.0,1568.2000000000003
box,cbf-rrtc,20,0.185301,0.21642975,0.3013205,0.6099315,1.4089540000000003,5.0,6.0,6.5,10.25,16.0,80.5,87.75,127.5,251.75,551.4000000000001
cage,rrtconnect,20,28.376350000000002,36.538575,68.11125000000001,95.30285,178.34530000000015,368.90000000000003,479.0,911.5,1297.0,2465.000000000002,30351.300000000003,38619.75,69371.0,93480.0,163940.3000000001
cage,cbf-rrtc,20,6.975131,11.3265675,17.5955,22.41815,31.142270000000007,46.4,77.0,104.0,124.5,159.50000000000003,2530.5,4246.5,6478.0,8494.25,11625.500000000002
table_pick,rrtconnect,20,0.41445740000000003,0.5965590000000001,0.787964,1.0704575,1.9218760000000032,6.9,8.0,12.0,14.5,25.70000000000004,456.0,645.0,853.0,1170.25,2148.1000000000035
table_pick,cbf-rrtc,20,0.12333450000000001,0.15220774999999998,0.1868865,0.23722174999999998,0.42992740000000007,5.0,6.0,7.0,7.25,8.0,57.5,75.0,87.5,110.25,169.10000000000005
table_under_pick,rrtconnect,20,0.4682173,0.58635775,0.819012,1.05310975,1.8065820000000006,8.0,9.75,12.5,15.75,23.300000000000004,500.1,630.5,894.0,1167.75,1985.9000000000005
table_under_pick,cbf-rrtc,20,0.52969,0.8445677500000001,1.23654,2.4593625,3.980217000000001,8.0,11.75,15.0,25.0,34.0,219.0,344.75,493.0,1006.0,1570.0000000000002
