seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction
3,bookshelf_tall,1,isSafe,1,1,0.000425999,464,8,8.48642,6,426,0,0.000473481,0.00249477,0,0,0,0
3,bookshelf_tall,1,bubbleCBF,1,1,0.000246833,119,7,7.89789,445,445,0,0.0023638,0.00249477,0,0,0.0663688,0.563025
3,bookshelf_tall,1,VAMP,1,1,0.00011806,3323,17,12.5814,8,631,0,0.00358887,0.00249477,0,0,0,0
3,bookshelf_tall,2,isSafe,1,1,0.00384365,4408,50,14.3559,9,719,0,0.00529037,0.00249477,0,0,0,0
3,bookshelf_tall,2,bubbleCBF,1,1,0.00153465,601,16,13.589,804,804,0,0.00122171,0.00249477,0,0,0.0374176,0.126456
3,bookshelf_tall,2,VAMP,1,1,0.000140135,2768,22,19.7076,11,987,0,8.82581e-05,0.00249477,0,0,0,0
3,bookshelf_tall,8,isSafe,1,1,0.00267697,3060,36,17.1609,10,860,7,-0.00330066,0.00249477,0,0,0,0
3,bookshelf_tall,8,bubbleCBF,1,1,0.00187074,779,23,12.483,820,820,3,-0.000241432,0.00249477,0,0,0.0296113,0.0462131
3,bookshelf_tall,8,VAMP,1,1,0.000240934,7673,34,16.5226,10,828,13,-0.00103242,0.00249477,0,0,0,0
3,bookshelf_tall,9,isSafe,1,1,0.00613873,6964,79,11.3835,7,571,5,-0.00224995,0.00249477,0,0,0,0
3,bookshelf_tall,9,bubbleCBF,1,1,0.00148421,572,16,10.0574,653,653,1,-0.00224995,0.00249477,0,0,0.0318844,0.0472028
3,bookshelf_tall,9,VAMP,1,1,0.000258592,9168,35,11.9008,7,597,6,-0.00224995,0.00249477,0,0,0,0
3,bookshelf_tall,10,isSafe,1,1,0.000694132,791,11,11.2807,7,566,1,-3.43804e-05,0.00249477,0,0,0,0
3,bookshelf_tall,10,bubbleCBF,1,1,0.00319629,1238,25,8.4926,537,537,1,-3.43804e-05,0.00249477,0,0,0.0288634,0.0387722
3,bookshelf_tall,10,VAMP,1,1,3.1641e-05,431,7,9.07044,6,455,1,-3.43804e-05,0.00249477,0,0,0,0
3,bookshelf_tall,11,isSafe,1,1,0.0118701,13427,159,9.63795,7,483,0,0.00215429,0.00249477,0,0,0,0
3,bookshelf_tall,11,bubbleCBF,1,1,0.00148402,605,16,15.4901,1010,1010,2,-0.000449379,0.00249477,0,0,0.0293547,0.0842975
3,bookshelf_tall,11,VAMP,1,1,0.000196948,7417,30,12.2595,8,614,21,-0.00292585,0.00249477,0,0,0,0
3,bookshelf_tall,15,isSafe,1,1,0.0137792,15555,181,16.2067,10,812,0,0.00377073,0.00249477,0,0,0,0
3,bookshelf_tall,15,bubbleCBF,1,1,0.000723337,286,10,10.6441,659,659,0,0.0023478,0.00249477,0,0,0.0404738,0.192308
3,bookshelf_tall,15,VAMP,1,1,0.000754722,24808,84,14.1407,9,709,6,-0.00243638,0.00249477,0,0,0,0
3,bookshelf_tall,17,isSafe,1,1,0.000979754,1104,14,10.8109,7,542,0,0.000965609,0.00249477,0,0,0,0
3,bookshelf_tall,17,bubbleCBF,1,1,0.00120252,466,12,10.2042,617,617,0,8.03293e-05,0.00249477,0,0,0.0334987,0.055794
3,bookshelf_tall,17,VAMP,1,1,4.0609e-05,479,8,8.31264,6,417,5,-0.00159922,0.00249477,0,0,0,0
3,bookshelf_tall,19,isSafe,1,1,0.00033396,355,7,8.32588,6,418,0,0.000726136,0.00249477,0,0,0,0
3,bookshelf_tall,19,bubbleCBF,1,1,0.00128308,500,13,9.08316,561,561,0,0.000737137,0.00249477,0,0,0.0300927,0.044
3,bookshelf_tall,19,VAMP,1,1,0.000149898,4924,22,7.96671,5,400,10,-0.00246623,0.00249477,0,0,0,0
3,bookshelf_tall,22,isSafe,1,1,0.000925226,1055,15,12.541,8,629,0,0.00280062,0.00249477,0,0,0,0
3,bookshelf_tall,22,bubbleCBF,1,1,0.0050126,1882,34,26.8675,1730,1730,87,-0.0101343,0.00249477,0,0,0.0286707,0.0621679
3,bookshelf_tall,22,VAMP,1,1,0.000102133,2492,18,20.6188,12,1032,0,0.00146324,0.00249477,0,0,0,0
3,bookshelf_tall,23,isSafe,1,1,0.000789066,880,13,12.0123,8,602,0,0.00424879,0.00249477,0,0,0,0
3,bookshelf_tall,23,bubbleCBF,1,1,0.00118927,486,12,11.1636,691,691,0,0.00082273,0.00249477,0,0,0.0324646,0.168724
3,bookshelf_tall,23,VAMP,1,1,5.8014e-05,989,11,12.4133,8,622,0,0.000213172,0.00249477,0,0,0,0
3,bookshelf_tall,28,isSafe,1,1,0.000913042,1022,14,14.1139,9,707,10,-0.00412524,0.00249477,0,0,0,0
3,bookshelf_tall,28,bubbleCBF,1,1,0.000714113,309,12,9.33311,567,567,1,-0.00256125,0.00249477,0,0,0.0512915,0.223301
3,bookshelf_tall,28,VAMP,1,1,0.000359329,13511,47,13.642,9,684,7,-0.00160466,0.00249477,0,0,0,0
3,bookshelf_tall,29,isSafe,1,1,0.00152548,1738,21,14.4292,9,723,0,0.000790076,0.00249477,0,0,0,0
3,bookshelf_tall,29,bubbleCBF,1,1,0.00149275,589,17,9.01706,542,542,0,0.00136666,0.00249477,0,0,0.0377094,0.0730051
3,bookshelf_tall,29,VAMP,1,1,7.442e-05,1898,11,12.3089,8,617,0,0.00136666,0.00249477,0,0,0,0
3,bookshelf_tall,33,isSafe,1,1,0.00360527,4149,35,8.66961,6,435,4,-0.000959292,0.00249477,0,0,0,0
3,bookshelf_tall,33,bubbleCBF,1,1,0.000524884,207,9,9.75984,572,572,1,-0.000584279,0.00249477,0,0,0.0487504,0.198068
3,bookshelf_tall,33,VAMP,1,1,9.0168e-05,3006,15,4.81923,4,242,3,-0.00103078,0.00249477,0,0,0,0
3,bookshelf_tall,36,isSafe,1,1,0.0199664,22447,256,20.4537,12,1024,0,0.00129606,0.00249477,0,0,0,0
3,bookshelf_tall,36,bubbleCBF,1,1,0.00215915,833,23,12.3828,865,865,0,0.000280463,0.00249477,0,0,0.0274683,0.0252101
3,bookshelf_tall,36,VAMP,1,1,0.00031997,10677,50,12.2272,8,613,0,0.000308781,0.00249477,0,0,0,0
3,bookshelf_tall,40,isSafe,1,1,0.00750055,8429,94,23.9209,14,1198,24,-0.00319719,0.00249477,0,0,0,0
3,bookshelf_tall,40,bubbleCBF,1,1,0.00099946,403,14,10.6476,660,660,0,0.000101308,0.00249477,0,0,0.035813,0.0521092
3,bookshelf_tall,40,VAMP,1,1,0.000628508,19959,79,15.7557,9,789,0,0.00421794,0.00249477,0,0,0,0
3,bookshelf_tall,41,isSafe,1,1,0.000949124,1089,15,19.6059,11,982,6,-0.00355721,0.00249477,0,0,0,0
