scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,140,0.4646176,0.7366999999999999,1.1435499999999998,3.9839575,48.825830000000025,8.0,12.0,17.0,50.0,671.3000000000001,515.3,822.25,1286.0,4538.25,51692.800000000025
all scenes,cbf-rrtc,140,0.1815548,0.27430774999999996,0.8172429999999999,2.1106125000000002,12.61817000000001,6.0,7.0,11.0,21.25,83.50000000000004,87.9,124.25,329.5,771.5,4657.000000000005
bookshelf_small,rrtconnect,20,0.48623360000000004,0.8156460000000001,1.047885,2.92495,7.366079000000038,7.800000000000001,12.75,15.0,36.0,92.20000000000046,548.3000000000001,906.0,1173.0,3328.5,8241.20000000004
bookshelf_small,cbf-rrtc,20,0.2068839,0.29653050000000003,0.72845,1.3921599999999998,2.3681120000000004,6.0,7.0,10.0,16.5,23.0,90.7,124.0,279.5,549.25,965.5000000000001
bookshelf_tall,rrtconnect,20,0.7731367,0.9198145000000001,1.72568,3.246635,5.335419000000005,12.0,13.75,20.5,41.5,70.20000000000006,847.8000000000001,1037.75,1944.0,3661.75,6033.800000000005
bookshelf_tall,cbf-rrtc,20,0.2940085,0.49890999999999996,0.9326654999999999,1.57518,2.008086000000002,7.0,9.0,12.5,15.5,18.300000000000004,142.7,229.75,367.5,583.25,749.8000000000006
bookshelf_thin,rrtconnect,20,0.9201775000000001,1.026572,2.6200349999999997,5.136055,8.461682000000009,13.4,15.75,29.0,63.75,107.60000000000008,1021.8000000000001,1162.25,2980.0,5795.0,9541.30000000001
bookshelf_thin,cbf-rrtc,20,0.22519760000000003,0.37818399999999996,0.7685255,1.668905,2.2480970000000013,6.0,7.75,10.5,17.25,23.200000000000003,98.7,157.5,311.5,635.5,822.7000000000005
box,rrtconnect,20,0.4024954,0.49320050000000004,0.8461365,1.18963,1.390913,7.9,9.0,13.0,18.0,20.1,439.6,541.5,950.5,1355.0,1568.2000000000003
box,cbf-rrtc,20,0.1985131,0.21840075,0.3399945,0.7288159999999999,1.4505800000000002,5.9,6.0,7.0,11.25,16.0,86.0,92.0,157.5,318.5,566.1000000000001
cage,rrtconnect,20,27.68629,35.66499999999999,66.6848,93.449775,174.53970000000015,368.90000000000003,479.0,911.5,1297.0,2465.000000000002,30351.300000000003,38619.75,69371.0,93480.0,163940.3000000001
cage,cbf-rrtc,20,6.994076000000001,11.5404225,17.459400000000002,22.82955,31.750680000000006,46.300000000000004,77.75,103.0,128.5,162.3,2526.2000000000003,4305.25,6422.5,8522.75,11823.800000000003
table_pick,rrtconnect,20,0.4123711,0.58098175,0.7758065000000001,1.0398550000000002,1.9043460000000032,6.9,8.0,12.0,14.5,25.70000000000004,456.0,645.0,853.0,1170.25,2148.1000000000035
table_pick,cbf-rrtc,20,0.1274651,0.17599975,0.20272649999999998,0.26063899999999995,0.44630190000000014,5.0,6.0,7.0,7.25,8.100000000000001,62.7,84.75,96.5,121.25,179.00000000000009
table_under_pick,rrtconnect,20,0.44442470000000006,0.559911,0.8078495,1.0197672500000001,1.7614340000000004,8.0,9.75,12.5,15.75,23.300000000000004,500.1,630.5,894.0,1167.75,1985.9000000000005
table_under_pick,cbf-rrtc,20,0.6958219,0.9572195,1.30341,2.3402849999999997,3.4971010000000007,9.0,11.0,15.5,22.5,29.500000000000007,279.90000000000003,392.75,538.0,916.0,1378.7000000000003
