seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,1,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,1,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,2,qpAdaptive,1,1,0.00490742,2580,35,11.1349,1394,1394,5,-0.000450124,0.00249477,0,0,0.00709736,0.0383721,6,6,5.83333,0,0,0,0.960853,0.0372093,0.00193798
1,bookshelf_tall,2,qpEnvelope,1,1,0.004868,2462,34,11.1331,1317,1317,5,-0.000450124,0.00249477,0,0,0.00743651,0.0227457,6,6,5.66667,0,0,0,0.973193,0.021121,0.00568643
1,bookshelf_tall,8,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,10,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,10,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,11,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,11,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,17,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,17,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,19,qpAdaptive,1,1,0.00354244,1979,14,8.99769,1339,1339,0,0.000668414,0.00249477,0,0,0.00582944,0.0515412,6,5,2.33333,0,0,0,0.947954,0.04952,0.00252653
1,bookshelf_tall,19,qpEnvelope,1,1,0.00358939,1879,14,8.99791,1294,1294,0,0.000668414,0.00249477,0,0,0.00613977,0.0266099,6,5,2.33333,0,0,0,0.97339,0.0239489,0.00266099
1,bookshelf_tall,22,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,22,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,23,qpAdaptive,1,1,0.0016972,999,11,5.02513,717,717,0,0.000867104,0.00249477,0,0,0.00739145,0.0540541,2,2,5.5,0,0,0,0.944945,0.0520521,0.003003
1,bookshelf_tall,23,qpEnvelope,1,1,0.00169022,925,11,5.02545,676,676,0,0.000884785,0.00249477,0,0,0.00798311,0.0464865,2,2,5.5,0,0,0,0.952432,0.0421622,0.00540541
1,bookshelf_tall,28,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,28,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,29,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,29,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,33,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,33,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,36,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,36,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,40,qpAdaptive,1,1,0.00694753,3820,33,16.6589,2001,2001,1,-3.25005e-05,0.00249477,0,0,0.00702614,0.0473822,12,12,2.75,0,0,0,0.951832,0.0458115,0.00235602
1,bookshelf_tall,40,qpEnvelope,1,1,0.00702808,3621,33,16.6597,1902,1902,2,-7.62465e-05,0.00249477,0,0,0.00741284,0.0201602,12,12,2.75,0,0,0,0.979287,0.0179508,0.00276167
1,bookshelf_tall,41,qpAdaptive,1,1,0.00272231,1529,15,10.0053,1382,1382,22,-0.000674299,0.00249477,0,0,0.00732564,0.0699804,2,2,7.5,0,0,0,0.93002,0.0673643,0.00261609
