seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,1,isSafe,1,1,0.00159156,1821,12,9.01305,11,452,0,0.00585175,0.00249477,0,0,0,0,7,4,1.71429,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.00106927,928,10,7.1781,929,929,20,-0.00201071,0.00249477,0,0,0.00773502,0,1,1,10,0,0,0,1,0,0
1,bookshelf_tall,1,qpAdaptive,1,1,0.000503329,287,10,7.1781,514,514,20,-0.00201071,0.00249477,0,0,0.0250108,0.456446,1,1,10,0,0,0,0.543554,0.432056,0.0243902
1,bookshelf_tall,1,qpFreeGate,1,1,0.00141376,1338,12,9.26491,1327,1327,0,0.00585175,0.00249477,0,0,0.00694682,0,7,5,1.71429,0,0,0,1,0,0
1,bookshelf_tall,1,qpEnvelope,1,1,0.000437385,169,10,7.1781,462,462,20,-0.00201071,0.00249477,0,0,0.042474,0.230769,1,1,10,0,0,0,0.769231,0.189349,0.0414201
1,bookshelf_tall,1,VAMP,1,1,4.0105e-05,413,12,9.01305,11,452,0,0.00585175,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,2,isSafe,1,1,0.00559661,6538,34,12.867,14,645,0,0.00271554,0.00249477,0,0,0,0,109,26,0.311927,0,0,0,0,0,0
1,bookshelf_tall,2,qpFixed,1,1,0.00485092,2847,25,11.0529,1680,1680,330,-0.00309229,0.00249477,0,0,0.00622337,0,6,6,4.16667,0,0,0,1,0,0
1,bookshelf_tall,2,qpAdaptive,1,1,0.0051945,2330,25,11.0529,1333,1333,330,-0.00309229,0.00249477,0,0,0.00760423,0.0506438,6,6,4.16667,0,0,0,0.949356,0.0493562,0.00128755
1,bookshelf_tall,2,qpFreeGate,1,1,0.0074627,6890,56,14.9321,2257,2257,0,0.00170198,0.00249477,0,0,0.00671214,0,129,41,0.434109,0,0,0,1,0,0
1,bookshelf_tall,2,qpEnvelope,1,1,0.00519084,2207,26,11.0543,1275,1275,331,-0.0028221,0.00249477,0,0,0.00799691,0.0235614,6,6,4.33333,0,0,0,0.975986,0.0222021,0.00181242
1,bookshelf_tall,2,VAMP,1,1,0.000192112,3528,47,13.8233,15,693,0,0.00125391,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,isSafe,1,1,0.00988545,11617,59,9.43422,11,473,0,0.00227847,0.00249477,0,0,0,0,189,50,0.312169,0,0,0,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.0014566,1261,10,7.46641,1262,1262,39,-0.00294162,0.00249477,0,0,0.00592103,0,1,1,10,0,0,0,1,0,0
1,bookshelf_tall,8,qpAdaptive,1,1,0.000664221,363,10,7.46641,607,607,39,-0.00294157,0.00249477,0,0,0.0205686,0.278237,1,1,10,0,0,0,0.719008,0.261708,0.0192837
1,bookshelf_tall,8,qpFreeGate,1,1,0.0057549,5341,44,11.5795,1704,1704,0,0.00227847,0.00249477,0,0,0.007185,0,96,32,0.458333,0,0,0,1,0,0
1,bookshelf_tall,8,qpEnvelope,1,1,0.000686298,274,10,7.4666,558,558,38,-0.00294758,0.00249477,0,0,0.0272503,0.145985,1,1,10,0,0,0,0.854015,0.120438,0.0255474
1,bookshelf_tall,8,VAMP,1,1,0.000108302,2045,28,13.3789,15,670,0,0.00175377,0.00152879,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,isSafe,1,1,0.0106377,12467,63,16.4087,18,822,1,-0.000249949,0.00249477,0,0,0,0,195,57,0.323077,0,0,0,0,0,0
1,bookshelf_tall,9,qpFixed,1,1,0.00627247,3757,28,8.32397,1240,1240,274,-0.00265534,0.00249477,0,0,0.00583376,0,9,9,3.11111,0,0,0,1,0,0
1,bookshelf_tall,9,qpAdaptive,1,1,0.00689,3158,28,8.32398,1055,1055,274,-0.00265534,0.00249477,0,0,0.00694015,0.0288157,9,9,3.11111,0,0,0,0.970551,0.0275491,0.00189994
1,bookshelf_tall,9,qpFreeGate,1,1,0.014708,14012,110,17.7503,2445,2445,3,-0.000249949,0.00249477,0,0,0.00709496,0,307,99,0.358306,0,0,0,1,0,0
1,bookshelf_tall,9,qpEnvelope,1,1,0.00703926,3066,28,8.32258,1033,1033,273,-0.00265534,0.00249477,0,0,0.00714947,0.0146771,9,9,3.11111,0,0,0,0.984671,0.0133725,0.00195695
1,bookshelf_tall,9,VAMP,1,1,0.000320159,5785,78,16.5788,18,830,1,-0.000249949,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,10,isSafe,1,1,0.00276598,3213,18,9.72409,11,488,0,0.00169455,0.00249477,0,0,0,0,29,12,0.62069,0,0,0,0,0,0
1,bookshelf_tall,10,qpFixed,1,1,0.00207351,1353,15,7.79436,1159,1159,67,-0.00273832,0.00249477,0,0,0.00618282,0,3,3,5,0,0,0,1,0,0
1,bookshelf_tall,10,qpAdaptive,1,1,0.00217737,1059,15,7.79437,964,964,67,-0.00273832,0.00249477,0,0,0.00789931,0.0642115,3,3,5,0,0,0,0.934844,0.0623229,0.00283286
1,bookshelf_tall,10,qpFreeGate,1,1,0.00636748,6009,52,8.13427,1207,1207,0,0.00147851,0.00249477,0,0,0.00723166,0,134,46,0.38806,0,0,0,1,0,0
