seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited
1,bookshelf_tall,1,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,1,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,2,qpAdaptive,1,1,0.00701084,3072,35,14.6876,1643,1643,5,-0.000450124,0.00249477,0,0,0.00790743,0.0722656,9,9,3.88889,0,0,0,0.925456,0.069987,0.00455729
1,bookshelf_tall,2,qpEnvelope,1,1,0.00588882,2461,34,11.1312,1312,1312,4,-0.000264239,0.00249477,0,0,0.00744188,0.0272247,6,6,5.66667,0,0,0,0.968712,0.0255993,0.00568874
1,bookshelf_tall,8,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,10,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,10,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,11,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,11,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,17,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,17,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,19,qpAdaptive,1,1,0.00434291,1954,14,8.99772,1338,1338,0,0.000668414,0.00249477,0,0,0.00590397,0.0511771,6,5,2.33333,0,0,0,0.947799,0.0496418,0.00255885
1,bookshelf_tall,19,qpEnvelope,1,1,0.00433745,1875,14,8.99894,1289,1289,0,0.000668414,0.00249477,0,0,0.00615348,0.0298667,6,5,2.33333,0,0,0,0.9696,0.0277333,0.00266667
1,bookshelf_tall,22,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,22,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,23,qpAdaptive,1,1,0.00208782,984,11,5.02511,711,711,0,0.000882626,0.00249477,0,0,0.0075041,0.0599593,2,2,5.5,0,0,0,0.936992,0.0589431,0.00406504
1,bookshelf_tall,23,qpEnvelope,1,1,0.00206419,919,11,5.02566,673,673,0,0.000878591,0.00249477,0,0,0.00803548,0.0565832,2,2,5.5,0,0,0,0.942329,0.0522307,0.0054407
1,bookshelf_tall,28,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,28,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,29,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,29,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,33,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,33,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,36,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,36,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,40,qpAdaptive,1,1,0.00829497,3700,33,16.6586,1932,1932,1,-3.09387e-05,0.00249477,0,0,0.00725358,0.0443243,12,12,2.75,0,0,0,0.954865,0.0418919,0.00324324
1,bookshelf_tall,40,qpEnvelope,1,1,0.00840277,3584,33,16.6603,1868,1868,2,-4.69189e-05,0.00249477,0,0,0.00748905,0.0298549,12,12,2.75,0,0,0,0.969029,0.0276228,0.00334821
1,bookshelf_tall,41,qpAdaptive,1,1,0.00329839,1503,15,10.0054,1361,1361,22,-0.000674299,0.00249477,0,0,0.0074524,0.0652029,2,2,7.5,0,0,0,0.934797,0.0625416,0.00266134
