seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,isSafe,1,1,0.00500022,1092,8,10.752,7,539,0,0.00485175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.00677407,932,9,10.8718,764,764,0,0.00485175,0.00249477,0,0,0.0137496,0,2,2,4.5,0,0,0,1,0,0,932,232253,378
1,bookshelf_tall,1,qpPlain,1,1,0.00735848,932,9,10.8718,764,764,0,0.00485175,0.00249477,0,0,0.0137496,0,2,2,4.5,0,0,0,1,0,0,932,319676,932
1,bookshelf_tall,1,qpAdaptive,1,1,0.00219433,259,9,10.8605,613,613,0,0.00485175,0.00249477,0,0,0.0494114,0.880309,2,2,4.5,0,0,0,0.11583,0.857143,0.027027,259,70310,187
1,bookshelf_tall,1,qpFreeGate,1,1,0.0116148,1700,11,10.364,1038,1038,0,0.00417681,0.00249477,0,0,0.00691382,0,7,5,1.57143,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,1,qpFreeEnvelope,1,1,0.00150499,74,9,10.1105,528,528,0,0.00485175,0.00249477,0,0,0.147708,0.918919,7,4,1.28571,0,0,0,0.0540541,0.783784,0.162162,0,0,0
1,bookshelf_tall,1,qpEnvelope,1,1,0.00100637,91,9,10.8625,572,572,0,0.00485175,0.00249477,0,0,0.141031,0.813187,2,2,4.5,0,0,0,0.186813,0.736264,0.0769231,91,25848,66
1,bookshelf_tall,8,isSafe,1,1,0.0144375,3165,18,12.7542,8,639,0,0.00127847,0.00249477,0,0,0,0,38,13,0.473684,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.00938596,1187,10,12.2265,934,934,0,0.00101919,0.00249477,0,0,0.0123707,0,2,2,5,0,0,0,1,0,0,1187,326721,636
1,bookshelf_tall,8,qpPlain,1,1,0.00982317,1187,10,12.2265,934,934,0,0.00101919,0.00249477,0,0,0.0123707,0,2,2,5,0,0,0,1,0,0,1187,407141,1187
1,bookshelf_tall,8,qpAdaptive,1,1,0.00578719,637,10,12.2365,777,777,0,0.00102122,0.00249477,0,0,0.0230421,0.216641,2,2,5,0,0,0,0.783359,0.208791,0.00784929,637,180873,583
1,bookshelf_tall,8,qpFreeGate,1,1,0.0375652,5414,38,15.8763,1505,1505,0,0.00127847,0.00249477,0,0,0.00714469,0,39,18,0.974359,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,8,qpFreeEnvelope,1,1,0.0150757,770,53,20.1301,1073,1073,0,0.00127847,0.00249477,0,0,0.0952889,0.95974,87,34,0.609195,0,0,0,0.0195312,0.852865,0.127604,0,0,0
1,bookshelf_tall,8,qpEnvelope,1,1,0.00434045,440,10,12.2787,693,693,0,0.000997654,0.00249477,0,0,0.0334705,0.127273,2,2,5,0,0,0,0.872727,0.113636,0.0136364,440,123230,425
1,bookshelf_tall,15,isSafe,1,1,0.106001,22870,118,16.3734,10,820,0,0.000767626,0.00249477,0,0,0,0,904,114,0.130531,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,qpFixed,1,1,0.0478368,5888,35,15.4924,1215,1215,0,0.00103182,0.00249477,0,0,0.0101928,0,20,17,1.75,0,0,0,1,0,0,5888,1501638,4951
1,bookshelf_tall,15,qpPlain,1,1,0.0506279,5888,35,15.4924,1215,1215,0,0.00103182,0.00249477,0,0,0.0101928,0,20,17,1.75,0,0,0,1,0,0,5888,2019584,5888
1,bookshelf_tall,15,qpAdaptive,1,1,0.038045,4317,35,15.4775,1072,1072,0,0.00100183,0.00249477,0,0,0.0139352,0.186935,20,17,1.75,0,0,0,0.81237,0.183461,0.00416956,4317,1121702,4146
1,bookshelf_tall,15,qpFreeGate,1,1,0.486533,70441,129,17.7006,1583,1583,0,0.00468211,0.00249477,0,0,0.00326052,0,613,123,0.21044,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,15,qpFreeEnvelope,1,1,0.0858211,4481,119,18.01,951,951,0,0.000103467,0.00249477,0,0,0.0482335,0.948003,613,113,0.194127,0,0,0,0.0241208,0.869928,0.105951,0,0,0
1,bookshelf_tall,15,qpEnvelope,1,1,0.0159621,1717,24,14.6826,901,901,0,0.000412211,0.00249477,0,0,0.0202312,0.0710542,9,9,2.66667,0,0,0,0.928946,0.062318,0.00873617,1717,473504,1686
1,bookshelf_tall,23,isSafe,1,1,0.00677097,1489,10,10.1824,7,511,0,0.000923975,0.00249477,0,0,0,0,20,6,0.5,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,23,qpFixed,1,1,0.00679362,865,8,8.51404,644,644,0,0.00524879,0.00249477,0,0,0.0125788,0,2,2,4,0,0,0,1,0,0,865,253196,466
1,bookshelf_tall,23,qpPlain,1,1,0.00700606,865,8,8.51404,644,644,0,0.00524879,0.00249477,0,0,0.0125788,0,2,2,4,0,0,0,1,0,0,865,296695,865
1,bookshelf_tall,23,qpAdaptive,1,1,0.00378164,432,8,8.50694,521,521,0,0.00524879,0.00249477,0,0,0.0251717,0.476852,2,2,4,0,0,0,0.513889,0.472222,0.0138889,432,130578,371
1,bookshelf_tall,23,qpFreeGate,1,1,0.0750056,10898,28,15.0418,1454,1454,0,0.000947754,0.00249477,0,0,0.00423853,0,64,23,0.4375,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,23,qpFreeEnvelope,1,1,0.00447457,233,13,12.6694,679,679,0,0.000941426,0.00249477,0,0,0.0868701,0.961373,24,9,0.541667,0,0,0,0.0343348,0.832618,0.133047,0,0,0
1,bookshelf_tall,23,qpEnvelope,1,1,0.00163347,162,8,8.49236,471,471,0,0.00524879,0.00249477,0,0,0.0671312,0.555556,2,2,4,0,0,0,0.444444,0.512346,0.0432099,162,49118,140
1,bookshelf_tall,31,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpPlain,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpFreeEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpPlain,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpFreeEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpPlain,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpFreeEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,52,isSafe,1,1,0.164225,35573,190,10.1278,7,508,0,0.000348164,0.00249477,0,0,0,0,1556,186,0.122108,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,52,qpFixed,1,1,0.0110667,1364,14,10.8166,949,949,0,0.000375934,0.00249477,0,0,0.0107474,0,3,3,4.66667,0,0,0,1,0,0,1364,402548,946
1,bookshelf_tall,52,qpPlain,1,1,0.0112856,1364,14,10.8166,949,949,0,0.000375934,0.00249477,0,0,0.0107474,0,3,3,4.66667,0,0,0,1,0,0,1364,467852,1364
1,bookshelf_tall,52,qpAdaptive,1,1,0.00684632,743,14,10.8181,802,802,0,0.000375934,0.00249477,0,0,0.0197178,0.158816,3,3,4.66667,0,0,0,0.835801,0.15074,0.013459,743,232356,709
1,bookshelf_tall,52,qpFreeGate,1,1,0.17753,25670,67,18.6211,1699,1699,0,0.00180525,0.00249477,0,0,0.00418013,0,243,61,0.27572,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,52,qpFreeEnvelope,1,1,0.0319491,1618,73,19.0201,1004,1004,0,0.00113074,0.00249477,0,0,0.0667506,0.957973,243,64,0.300412,0,0,0,0.0106184,0.850094,0.139288,0,0,0
1,bookshelf_tall,52,qpEnvelope,1,1,0.00505771,522,15,10.845,706,706,0,0.000381262,0.00249477,0,0,0.0281144,0.206897,3,3,5,0,0,0,0.793103,0.181992,0.0249042,522,163356,505
1,bookshelf_tall,59,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpPlain,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpFreeEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,59,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,66,isSafe,1,1,0.0221038,4714,25,17.3433,10,869,0,0.000362087,0.00249477,0,0,0,0,101,20,0.247525,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,66,qpFixed,1,1,0.0405644,4930,32,18.5511,1598,1598,0,8.15672e-05,0.00249477,0,0,0.00931207,0,13,13,2.46154,0,0,0,1,0,0,4930,1467611,4022
1,bookshelf_tall,66,qpPlain,1,1,0.0412622,4930,32,18.5511,1598,1598,0,8.15672e-05,0.00249477,0,0,0.00931207,0,13,13,2.46154,0,0,0,1,0,0,4930,1690990,4930
1,bookshelf_tall,66,qpAdaptive,1,1,0.0238797,2621,32,18.5763,1378,1378,0,8.15672e-05,0.00249477,0,0,0.0175155,0.312858,13,13,2.46154,0,0,0,0.685235,0.305609,0.00915681,2621,801972,2517
1,bookshelf_tall,66,qpFreeGate,1,1,0.071958,10482,37,15.4261,1173,1173,0,0.000362087,0.00249477,0,0,0.00598816,0,101,32,0.366337,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,66,qpFreeEnvelope,1,1,0.0149594,830,37,15.4564,794,794,0,0.000362087,0.00249477,0,0,0.0738201,0.963855,101,32,0.366337,0,0,0,0.0144928,0.885266,0.100242,0,0,0
1,bookshelf_tall,66,qpEnvelope,1,1,0.0200252,2075,31,18.6634,1300,1300,0,8.15672e-05,0.00249477,0,0,0.0228024,0.177349,13,13,2.38462,0,0,0,0.821205,0.166747,0.0120482,2075,633262,2031
1,bookshelf_tall,74,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpPlain,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpFreeEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,74,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,qpPlain,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,qpFreeEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,81,qpEnvelope,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,88,isSafe,1,1,0.00381117,832,6,7.88448,5,396,0,0.001933,0.00249477,0,0,0,0,24,3,0.25,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,88,qpFixed,1,1,0.0172891,2057,26,9.61954,739,739,0,0.004795,0.00249477,0,0,0.0106951,0,6,6,4.33333,0,0,0,1,0,0,2057,528778,2017
1,bookshelf_tall,88,qpPlain,1,1,0.0179902,2057,26,9.61954,739,739,0,0.004795,0.00249477,0,0,0.0106951,0,6,6,4.33333,0,0,0,1,0,0,2057,705551,2057
1,bookshelf_tall,88,qpAdaptive,1,1,0.0125307,1393,26,9.63183,638,638,0,0.00479503,0.00249477,0,0,0.015857,0.4458,6,6,4.33333,0,0,0,0.546303,0.441493,0.0122039,1393,362007,1369
1,bookshelf_tall,88,qpFreeGate,1,1,0.0265668,3846,16,8.8691,963,963,0,0.00207891,0.00249477,0,0,0.0040086,0,27,7,0.592593,0,0,0,1,0,0,0,0,0
