seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,14,isSafe,1,0,120,11304453,162201,0,0,0,0,inf,inf,0,0,0,0,1526531,162199,0.106255,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,14,qpAdaptive,1,0,120.001,13292798,22731,0,0,0,0,inf,inf,0,0,0.00461077,0.0680504,80423,22626,0.282643,0,0,0,0.931633,0.0672917,0.00107494,13292798,4033673775,13185156
1,bookshelf_tall,76,isSafe,1,0,120,11699690,169047,0,0,0,0,inf,inf,0,0,0,0,1441535,169045,0.117269,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,76,qpAdaptive,1,0,120,13397765,23218,0,0,0,0,inf,inf,0,0,0.00466395,0.0579408,79476,23110,0.292139,0,0,0,0.941767,0.0571437,0.00108929,13397765,4055462567,13278561
1,table_under_pick,21,isSafe,1,0,120,11757749,170063,0,0,0,0,inf,inf,0,0,0,0,1390871,170061,0.122271,0,0,0,0,0,0,0,0,0
1,table_under_pick,21,qpAdaptive,1,0,120.001,13288161,23112,0,0,0,0,inf,inf,0,0,0.00469788,0.0574876,78902,22981,0.29292,0,0,0,0.942227,0.0566744,0.00109835,13288161,4014838313,13169862
1,table_under_pick,83,isSafe,1,0,120,11771671,170255,0,0,0,0,inf,inf,0,0,0,0,1393362,170253,0.12219,0,0,0,0,0,0,0,0,0
1,table_under_pick,83,qpAdaptive,1,0,120.002,13383846,23296,0,0,0,0,inf,inf,0,0,0.00469072,0.0563114,79006,23174,0.294864,0,0,0,0.943408,0.0555021,0.0010899,13383846,4048659926,13265163
1,bookshelf_small,39,isSafe,1,0,120,11882800,170618,0,0,0,0,inf,inf,0,0,0,0,1637797,170616,0.104175,0,0,0,0,0,0,0,0,0
1,bookshelf_small,39,qpAdaptive,1,0,120.001,13411770,23031,0,0,0,0,inf,inf,0,0,0.00459971,0.0641656,80304,22925,0.286798,0,0,0,0.93552,0.0634305,0.0010496,13411770,4067079633,13301096
