scene,index,planner,skipped,solved,seconds,evaluations,vertices,rad_per_call,coarse,min_clearance,unsafe_states,audited_states,misses,min_self_overlap,self_colliding
bookshelf_tall,1,rrtconnect,0,1,0.00122464,1272,14,0,0,0.0041164,0,654,0,0.00249477,0
bookshelf_tall,1,cbf-rrtc,0,1,0.000492148,231,9,0.0577028,0.372294,-0.000163296,16,612,0,0.00249477,0
bookshelf_tall,2,rrtconnect,0,1,0.00320743,3457,40,0,0,0.00140327,0,801,0,0.00249477,0
bookshelf_tall,2,cbf-rrtc,0,1,0.000309732,140,7,0.0617024,0.271429,-0.000975295,54,492,0,0.00249477,0
bookshelf_tall,3,rrtconnect,0,0,5.00001,1570165,37894,0,0,,,,,,
bookshelf_tall,3,cbf-rrtc,0,0,5.00014,2090999,4889,0.0132239,0.0185428,,,,,,
bookshelf_tall,4,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,4,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,5,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,5,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,6,rrtconnect,0,0,5.00001,1629088,40401,0,0,,,,,,
bookshelf_tall,6,cbf-rrtc,0,0,5.00016,2140102,5509,0.0133887,0.0202677,,,,,,
bookshelf_tall,7,rrtconnect,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,7,cbf-rrtc,1,0,0,0,0,0,0,,,,,,
bookshelf_tall,8,rrtconnect,0,1,0.00102414,1096,15,0,0,0.00210483,0,750,0,0.00249477,0
bookshelf_tall,8,cbf-rrtc,0,1,0.00195404,811,16,0.0358455,0.0900123,-5.15838e-05,13,740,0,0.00249477,0
bookshelf_tall,9,rrtconnect,0,1,0.0113366,12005,134,0,0,1.22676e-05,0,947,0,0.00249477,0
bookshelf_tall,9,cbf-rrtc,0,1,0.00115433,451,11,0.0334128,0.124169,-0.0020858,89,669,0,0.00249477,0
bookshelf_tall,10,rrtconnect,0,1,0.0010256,1109,14,0,0,0.000791082,0,497,0,0.00249477,0
bookshelf_tall,10,cbf-rrtc,0,1,0.000763522,317,7,0.0289094,0.0410095,-0.000102494,19,540,0,0.00249477,0
bookshelf_tall,11,rrtconnect,0,1,0.00198635,2115,26,0,0,0.00413971,0,487,0,0.00249477,0
bookshelf_tall,11,cbf-rrtc,0,1,0.000969529,377,8,0.0272514,0.0450928,-0.000642502,253,619,0,0.00249477,0
bookshelf_tall,12,rrtconnect,0,0,5.00001,1608102,39496,0,0,,,,,,
bookshelf_tall,12,cbf-rrtc,0,0,5.0002,2128464,5378,0.0133833,0.020636,,,,,,
bookshelf_tall,13,rrtconnect,1,0,0,0,0,0,0,,,,,,
