seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_thin,30,qpFixed,1,1,0.0177903,1136,8,8.50369,541,541,0,0.00673135,0.00249477,0,0,0.00989896,0,4,3,2,0,0,0,1,0,0,1136,286518,751
1,bookshelf_thin,30,qpAdaptive,1,1,0.0122409,714,8,8.50893,478,478,0,0.00673135,0.00249477,0,0,0.0157569,0.119048,4,3,2,0,0,0,0.879552,0.113445,0.0070028,714,182084,669
1,bookshelf_thin,30,qpFreeEnvelope,1,1,0.0136188,369,25,9.82863,524,524,0,0.00272447,0.00249477,0,0,0.0861509,0.95935,35,16,0.714286,0,0,0,0.0243902,0.856369,0.119241,0,0,0
1,bookshelf_thin,30,qpEnvelope,1,1,0.0109214,618,8,8.5157,439,439,0,0.00673135,0.00249477,0,0,0.0182173,0.0485437,4,3,2,0,0,0,0.951456,0.0404531,0.00809061,618,154474,603
1,bookshelf_small,64,qpFixed,1,1,0.0479476,4732,24,17.371,1364,1364,0,0.000306576,0.00249477,0,0,0.00911985,0,16,12,1.5,0,0,0,1,0,0,4732,1335135,3994
1,bookshelf_small,64,qpAdaptive,1,1,0.039038,3440,24,17.3073,1218,1218,0,0.000298615,0.00249477,0,0,0.0125446,0.195058,16,12,1.5,0,0,0,0.803488,0.192733,0.00377907,3440,999352,3302
1,bookshelf_small,64,qpFreeEnvelope,1,1,0.0244271,1283,52,19.1173,992,992,0,0.00339884,0.00249477,0,0,0.0642044,0.977397,165,41,0.315152,0,0,0,0.00626468,0.846515,0.14722,0,0,0
1,bookshelf_small,64,qpEnvelope,1,1,0.0285759,2382,24,17.3062,1063,1063,0,0.000210026,0.00249477,0,0,0.0181316,0.176322,16,12,1.5,0,0,0,0.822418,0.169605,0.00797649,2382,692386,2315
1,cage,96,qpFixed,1,1,0.173684,18168,96,25.1996,2172,2172,0,0.000671011,0.0020406,0,0,0.00913865,0,67,51,1.43284,0,0,0,1,0,0,18168,4945719,16050
1,cage,96,qpAdaptive,1,1,0.12208,11772,96,25.2338,1828,1828,0,0.000662142,0.00200859,0,0,0.0141319,0.356099,67,51,1.43284,0,0,0,0.641607,0.352446,0.00594631,11772,3222906,11446
1,cage,96,qpFreeEnvelope,1,1,0.905562,46666,1886,30.4541,1664,1664,0,0.00021159,0.00249477,0,0,0.0589514,0.922877,7225,1844,0.261038,0,0,0,0.038519,0.83598,0.125501,0,0,0
1,cage,96,qpEnvelope,1,1,0.0878214,7827,96,24.0539,1472,1472,0,0.00144242,0.00249477,0,0,0.0215007,0.292833,67,50,1.43284,0,0,0,0.705379,0.28325,0.0113709,7827,2149750,7668
