seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,isSafe,1,1,0.00931037,2027,12,11.9051,7,597,0,0.00542864,0.00249477,0,0,0,0,18,8,0.666667,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.0109821,932,9,10.881,764,764,0,0.00785175,0.00249477,0,0,0.0137536,0,2,2,4.5,0,0,0,1,0,0,932,230654,369
1,bookshelf_tall,1,qpPlain,1,1,0.011747,932,9,10.881,764,764,0,0.00785175,0.00249477,0,0,0.0137536,0,2,2,4.5,0,0,0,1,0,0,932,318744,932
1,bookshelf_tall,1,qpAdaptive,1,1,0.00233083,246,9,10.8682,612,612,0,0.00785175,0.00249477,0,0,0.0520174,0.890244,2,2,4.5,0,0,0,0.105691,0.865854,0.0284553,246,66609,181
1,bookshelf_tall,1,qpFreeGate,1,1,0.0126744,1758,11,10.4526,1057,1057,0,0.00420662,0.00249477,0,0,0.00670499,0,7,5,1.57143,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,1,qpFreeEnvelope,1,1,0.00561285,278,19,12.076,623,623,0,0.00785175,0.00249477,0,0,0.104725,0.960432,36,14,0.527778,0,0,0,0.0289855,0.822464,0.148551,0,0,0
1,bookshelf_tall,1,qpEnvelope,1,1,0.00103301,83,9,10.8745,573,573,0,0.00785175,0.00249477,0,0,0.154689,0.86747,2,2,4.5,0,0,0,0.13253,0.783133,0.0843373,83,23449,58
1,bookshelf_tall,1,VAMP,1,1,8.6437e-05,1438,12,11.9051,7,597,0,0.00542864,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,27,isSafe,1,1,0.0173813,3720,20,14.5973,9,731,0,0.00376789,0.00249477,0,0,0,0,57,14,0.350877,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,27,qpFixed,1,1,0.0168247,1315,15,13.1243,985,985,0,0.00392288,0.00249477,0,0,0.0121665,0,3,3,5,0,0,0,1,0,0,1315,377494,686
1,bookshelf_tall,27,qpPlain,1,1,0.0167977,1315,15,13.1243,985,985,0,0.00392288,0.00249477,0,0,0.0121665,0,3,3,5,0,0,0,1,0,0,1315,449730,1315
1,bookshelf_tall,27,qpAdaptive,1,1,0.00631071,538,15,13.1235,788,788,0,0.00392288,0.00249477,0,0,0.0297061,0.48513,3,3,5,0,0,0,0.509294,0.468401,0.0223048,538,170830,463
1,bookshelf_tall,27,qpFreeGate,1,1,0.436126,56594,122,19.557,1885,1885,0,0.000884664,0.00249477,0,0,0.00399919,0,465,115,0.262366,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,27,qpFreeEnvelope,1,1,0.0224323,1097,50,23.5735,1233,1233,0,0.00131652,0.00249477,0,0,0.0744885,0.941659,151,43,0.331126,0,0,0,0.0275229,0.846789,0.125688,0,0,0
1,bookshelf_tall,27,qpEnvelope,1,1,0.00334308,243,15,13.1783,710,710,0,0.00392288,0.00249477,0,0,0.0661418,0.37037,3,3,5,0,0,0,0.625514,0.325103,0.0493827,243,77547,214
1,bookshelf_tall,27,VAMP,1,1,0.000172202,4014,21,14.5973,9,731,0,0.00376789,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,51,isSafe,1,1,0.905033,186946,1155,18.5076,11,927,0,0.00443456,0.00249477,0,0,0,0,8010,1152,0.144195,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,51,qpFixed,1,1,0.032911,2568,23,16.2033,1338,1338,0,0.000173008,0.00231701,0,0,0.0110827,0,10,9,2.3,0,0,0,1,0,0,2562,716486,1434
1,bookshelf_tall,51,qpPlain,1,1,0.0335343,2568,23,16.2033,1338,1338,0,0.000173008,0.00231701,0,0,0.0110827,0,10,9,2.3,0,0,0,1,0,0,2562,876204,2562
