seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,22,isSafe,1,1,0.0468593,6363,34,13.9428,9,699,0,0.00669668,0.0016993,0,0,0,0,140,30,0.242857,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,22,qpFixed,1,1,0.0455622,2143,17,17.0772,1291,1291,0,0.00022362,0.00249477,0,0,0.0111238,0,4,4,4.25,0,0,0,1,0,0,2143,629887,2024
1,bookshelf_tall,22,qpPlain,1,1,0.0442858,2143,17,17.0772,1291,1291,0,0.00022362,0.00249477,0,0,0.0111238,0,4,4,4.25,0,0,0,1,0,0,2143,732906,2143
1,bookshelf_tall,22,qpAdaptive,1,1,0.0329997,1662,18,17.08,1213,1213,0,0.000234718,0.00249477,0,0,0.0143416,0.205174,4,4,4.5,0,0,0,0.79302,0.200963,0.00601685,1662,496333,1627
1,bookshelf_tall,22,qpFreeGate,1,1,0.212027,18241,43,13.0628,1120,1120,0,0.00670096,0.00142736,0,0,0.00390782,0,140,37,0.307143,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,22,qpFreeEnvelope,1,1,0.0367547,1101,45,14.1503,741,741,0,0.00191117,8.76822e-06,0,0,0.0600843,0.970936,140,35,0.321429,0,0,0,0.00729927,0.864051,0.12865,0,0,0
1,bookshelf_tall,22,qpEnvelope,1,1,0.0232952,1105,18,17.1155,1069,1069,0,0.000247257,0.00249477,0,0,0.0215998,0.127602,4,4,4.5,0,0,0,0.868778,0.121267,0.00995475,1105,335680,1096
1,bookshelf_tall,22,VAMP,1,1,0.000557841,7340,41,13.9428,9,699,0,0.00669668,0.0016993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,47,isSafe,1,1,0.0238782,3200,18,14.8569,9,744,0,0.00838713,0.00249477,0,0,0,0,54,14,0.333333,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,47,qpFixed,1,1,0.0734742,3435,26,20.1522,1793,1793,0,0.000655644,0.00249477,0,0,0.00981641,0,10,10,2.6,0,0,0,1,0,0,3434,982141,2964
1,bookshelf_tall,47,qpPlain,1,1,0.0734386,3435,26,20.1522,1793,1793,0,0.000655644,0.00249477,0,0,0.00981641,0,10,10,2.6,0,0,0,1,0,0,3434,1174428,3434
1,bookshelf_tall,47,qpAdaptive,1,1,0.0478736,2493,27,20.1661,1455,1455,0,0.000657403,0.00249477,0,0,0.0138398,0.412756,10,10,2.7,0,0,0,0.584838,0.407541,0.00762134,2493,693100,2372
1,bookshelf_tall,47,qpFreeGate,1,1,0.5495,47113,108,18.7872,2114,2114,0,0.00354676,0.000405299,0,0,0.00391394,0,379,100,0.28496,0,0,0,1,0,0,0,0,0
