seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,26,isSafe,1,1,0.0386975,5197,28,14.4482,9,724,0,0.00770846,0.00249477,0,0,0,0,93,24,0.301075,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,26,qpFixed,1,1,0.0347891,2464,20,11.963,904,904,0,0.00573911,0.000683596,0,0,0.0100435,0,6,6,3.33333,0,0,0,1,0,0,2464,722679,2119
1,bookshelf_tall,26,qpPlain,1,1,0.0342539,2464,20,11.963,904,904,0,0.00573911,0.000683596,0,0,0.0100435,0,6,6,3.33333,0,0,0,1,0,0,2464,845152,2464
1,bookshelf_tall,26,qpAdaptive,1,1,0.0200485,1369,20,11.9675,762,762,0,0.00573911,0.000683181,0,0,0.018121,0.494522,6,6,3.33333,0,0,0,0.501096,0.489408,0.00949598,1369,418857,1332
1,bookshelf_tall,26,qpFreeGate,1,1,0.101395,8628,22,9.80787,847,847,0,0.00360455,0.00249477,0,0,0.00434939,0,60,18,0.366667,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,26,qpFreeEnvelope,1,1,0.016241,473,22,9.83077,511,511,0,0.00365377,0.00249477,0,0,0.0787498,0.987315,60,18,0.366667,0,0,0,0.00423729,0.834746,0.161017,0,0,0
1,bookshelf_tall,26,qpEnvelope,1,1,0.0103856,652,20,11.9162,651,651,0,0.00499969,0.000845218,0,0,0.0382806,0.42638,6,6,3.33333,0,0,0,0.569018,0.403374,0.0276074,652,199347,636
1,bookshelf_tall,50,isSafe,1,1,0.0372142,4918,25,17.0886,10,856,0,0.000586179,0.00249477,0,0,0,0,84,21,0.297619,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,50,qpFixed,1,1,0.00554342,459,6,6.88431,460,460,0,0.00424377,0.00249477,0,0,0.0149985,0,1,1,6,0,0,0,1,0,0,459,128998,107
1,bookshelf_tall,50,qpPlain,1,1,0.00582741,459,6,6.88431,460,460,0,0.00424377,0.00249477,0,0,0.0149985,0,1,1,6,0,0,0,1,0,0,459,157437,459
1,bookshelf_tall,50,qpAdaptive,1,1,0.00153133,107,6,6.88425,394,394,0,0.00424377,0.00249477,0,0,0.0643388,0.738318,1,1,6,0,0,0,0.252336,0.71028,0.0373832,107,34381,79
1,bookshelf_tall,50,qpFreeGate,1,1,0.149844,12542,37,10.1186,796,796,0,0.00250156,0.00247369,0,0,0.00492887,0,88,34,0.420455,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,50,qpFreeEnvelope,1,1,0.0234124,696,35,15.6028,810,810,0,0.00226409,0.00249477,0,0,0.0904394,0.974138,85,29,0.411765,0,0,0,0.0144092,0.835735,0.149856,0,0,0
1,bookshelf_tall,50,qpEnvelope,1,1,0.000906206,44,6,6.88725,363,363,0,0.00424377,0.00249477,0,0,0.156528,0.75,1,1,6,0,0,0,0.25,0.659091,0.0909091,44,13945,32
1,bookshelf_tall,75,isSafe,1,1,0.0672578,8955,45,14.7849,9,741,0,0.00153877,0.00249477,0,0,0,0,210,41,0.214286,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,75,qpFixed,1,1,0.00865115,676,7,7.57214,677,677,0,0.00153877,0.00249477,0,0,0.0112014,0,1,1,7,0,0,0,1,0,0,676,189123,374
1,bookshelf_tall,75,qpPlain,1,1,0.00887899,676,7,7.57214,677,677,0,0.00153877,0.00249477,0,0,0.0112014,0,1,1,7,0,0,0,1,0,0,676,231868,676
1,bookshelf_tall,75,qpAdaptive,1,1,0.00390582,265,7,7.56738,500,500,0,0.00153877,0.00249477,0,0,0.0285561,0.569811,1,1,7,0,0,0,0.422642,0.558491,0.0188679,265,81343,242
1,bookshelf_tall,75,qpFreeGate,1,1,0.433181,36618,77,17.2873,1869,1869,0,0.000645152,0.00249477,0,0,0.00379691,0,266,70,0.289474,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,75,qpFreeEnvelope,1,1,0.075636,2425,82,14.002,755,755,0,0.000646264,0.00249477,0,0,0.0606161,0.943093,266,74,0.308271,0,0,0,0.041874,0.853648,0.104478,0,0,0
1,bookshelf_tall,75,qpEnvelope,1,1,0.00150749,82,7,7.57184,421,421,0,0.00153877,0.00249477,0,0,0.0923396,0.597561,1,1,7,0,0,0,0.390244,0.54878,0.0609756,82,25403,77
1,bookshelf_thin,1,isSafe,1,1,0.0516205,5043,27,13.3679,8,670,0,0.00689764,0.00249477,0,0,0,0,70,24,0.385714,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,1,qpFixed,1,1,0.031669,1983,13,14.8188,1309,1309,0,0.000476201,0.00249477,0,0,0.0103909,0,6,5,2.16667,0,0,0,1,0,0,1983,541146,1521
1,bookshelf_thin,1,qpPlain,1,1,0.0330316,1983,13,14.8188,1309,1309,0,0.000476201,0.00249477,0,0,0.0103909,0,6,5,2.16667,0,0,0,1,0,0,1983,680169,1983
