seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,isSafe,1,1,0.00423269,2027,12,11.9051,7,597,0,0.00542864,0.00249477,0,0,0,0,18,8,0.666667,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.00484658,932,9,10.8754,764,764,0,0.00785175,0.00249477,0,0,0.0137535,0,2,2,4.5,0,0,0,1,0,0,932,231817,372
1,bookshelf_tall,1,qpPlain,1,1,0.00503745,932,9,10.8754,764,764,0,0.00785175,0.00249477,0,0,0.0137535,0,2,2,4.5,0,0,0,1,0,0,932,319676,932
1,bookshelf_tall,1,qpAdaptive,1,1,0.00203073,354,9,10.872,626,626,0,0.00785175,0.00249477,0,0,0.0361856,0.528249,2,2,4.5,0,0,0,0.471751,0.511299,0.0169492,354,94958,256
1,bookshelf_tall,1,qpFreeGate,1,1,0.00714918,1703,11,10.3798,1040,1040,0,0.00717583,0.00249477,0,0,0.0069048,0,7,5,1.57143,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,1,qpFreeEnvelope,1,1,0.00334486,417,21,14.2888,751,751,0,0.00785175,0.00249477,0,0,0.0696302,0.920863,33,16,0.636364,0,0,0,0.0631068,0.866505,0.0703883,0,0,0
1,bookshelf_tall,1,qpEnvelope,1,1,0.00116444,151,9,10.8719,587,587,0,0.00785175,0.00249477,0,0,0.0849076,0.675497,2,2,4.5,0,0,0,0.324503,0.635762,0.0397351,151,41975,114
1,bookshelf_tall,8,isSafe,1,1,0.00722378,3780,21,12.7542,8,639,0,0.00427847,0.00249477,0,0,0,0,38,16,0.552632,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.00740649,1399,12,12.2277,934,934,0,0.00400918,0.00249477,0,0,0.0121049,0,2,2,6,0,0,0,1,0,0,1399,371684,848
1,bookshelf_tall,8,qpPlain,1,1,0.00784329,1399,12,12.2277,934,934,0,0.00400918,0.00249477,0,0,0.0121049,0,2,2,6,0,0,0,1,0,0,1399,479857,1399
1,bookshelf_tall,8,qpAdaptive,1,1,0.00561523,914,12,12.2335,793,793,0,0.0040083,0.00249477,0,0,0.0185338,0.149891,2,2,6,0,0,0,0.850109,0.14442,0.00547046,914,245766,827
1,bookshelf_tall,8,qpFreeGate,1,1,0.0219836,5076,23,15.2209,1214,1214,0,0.00427847,0.00249477,0,0,0.00752693,0,40,18,0.575,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,8,qpFreeEnvelope,1,1,0.00348825,464,24,9.75981,513,513,0,0.00427847,0.00249477,0,0,0.0724716,0.987069,38,17,0.631579,0,0,0,0.00862069,0.918103,0.0732759,0,0,0
1,bookshelf_tall,8,qpEnvelope,1,1,0.00467494,720,12,12.2673,724,724,0,0.00404221,0.00249477,0,0,0.023593,0.075,2,2,6,0,0,0,0.925,0.0680556,0.00694444,720,189322,701
1,bookshelf_tall,15,isSafe,1,1,0.0278931,14448,73,16.6769,10,835,0,0.00641333,0.00249477,0,0,0,0,372,69,0.196237,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,qpFixed,1,1,0.0316033,5939,34,20.0684,1540,1540,0,0.00417509,0.00249477,0,0,0.0100511,0,20,15,1.7,0,0,0,1,0,0,5939,1521647,4595
1,bookshelf_tall,15,qpPlain,1,1,0.034028,5939,34,20.0684,1540,1540,0,0.00417509,0.00249477,0,0,0.0100511,0,20,15,1.7,0,0,0,1,0,0,5939,2037077,5939
1,bookshelf_tall,15,qpAdaptive,1,1,0.0256266,4285,35,20.2156,1283,1283,0,0.00417659,0.00249477,0,0,0.0139494,0.115286,20,15,1.75,0,0,0,0.883781,0.111552,0.00466744,4285,1131491,4033
1,bookshelf_tall,15,qpFreeGate,1,1,0.185049,45970,113,23.7593,2460,2460,0,0.00561906,0.00237342,0,0,0.00412965,0,319,96,0.354232,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,15,qpFreeEnvelope,1,1,0.027433,3817,103,18.0105,934,934,0,0.00641368,0.00249477,0,0,0.0474925,0.946555,372,97,0.276882,0,0,0,0.0449763,0.897685,0.0573382,0,0,0
1,bookshelf_tall,15,qpEnvelope,1,1,0.0229796,3744,38,15.0856,952,952,0,0.00403871,0.00249477,0,0,0.0164219,0.0793269,20,17,1.9,0,0,0,0.919316,0.0734705,0.00721347,3744,979109,3656
1,bookshelf_tall,23,isSafe,1,1,0.0025442,1492,10,10.1824,7,511,0,0.00392397,0.00249477,0,0,0,0,20,6,0.5,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,23,qpFixed,1,1,0.00456888,866,8,8.51396,644,644,0,0.00824879,0.00249477,0,0,0.0125652,0,2,2,4,0,0,0,1,0,0,866,253442,467
1,bookshelf_tall,23,qpPlain,1,1,0.00461155,866,8,8.51396,644,644,0,0.00824879,0.00249477,0,0,0.0125652,0,2,2,4,0,0,0,1,0,0,866,297038,866
1,bookshelf_tall,23,qpAdaptive,1,1,0.00305689,522,8,8.5124,543,543,0,0.00824879,0.00249477,0,0,0.0208428,0.308429,2,2,4,0,0,0,0.691571,0.298851,0.00957854,522,157489,434
1,bookshelf_tall,23,qpFreeGate,1,1,0.0363684,8953,32,17.0105,1705,1705,0,0.00394861,0.00249477,0,0,0.00477141,0,52,23,0.615385,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,23,qpFreeEnvelope,1,1,0.0027386,356,13,12.6568,698,698,0,0.00394641,0.00249477,0,0,0.057001,0.963483,24,9,0.541667,0,0,0,0.0365169,0.893258,0.0702247,0,0,0
1,bookshelf_tall,23,qpEnvelope,1,1,0.0017088,264,8,8.50726,490,490,0,0.00824879,0.00249477,0,0,0.0412205,0.363636,2,2,4,0,0,0,0.636364,0.337121,0.0265152,264,79655,231
1,bookshelf_tall,31,isSafe,1,1,0.00357987,2007,12,11.7851,7,591,0,0.0032764,0.00249477,0,0,0,0,18,8,0.666667,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpFixed,1,1,0.0188365,3322,19,16.5102,1317,1317,0,0.00333106,0.00146623,0,0,0.00932176,0,12,8,1.58333,0,0,0,1,0,0,3322,941614,2591
1,bookshelf_tall,31,qpPlain,1,1,0.0190909,3322,19,16.5102,1317,1317,0,0.00333106,0.00146623,0,0,0.00932176,0,12,8,1.58333,0,0,0,1,0,0,3322,1139446,3322
1,bookshelf_tall,31,qpAdaptive,1,1,0.0147497,2311,19,16.5013,1127,1127,0,0.00333234,0.00142764,0,0,0.0133988,0.211164,12,8,1.58333,0,0,0,0.787538,0.206837,0.00562527,2311,666445,2175
1,bookshelf_tall,31,qpFreeGate,1,1,0.0373113,9193,37,18.4518,1553,1553,0,0.00710142,0.00152873,0,0,0.00563345,0,60,30,0.616667,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,31,qpFreeEnvelope,1,1,0.00455352,537,37,15.1838,794,794,0,0.00710363,0.00249477,0,0,0.107314,0.944134,68,30,0.544118,0,0,0,0.0303605,0.844402,0.125237,0,0,0
1,bookshelf_tall,31,qpEnvelope,1,1,0.0113832,1709,20,18.6405,1206,1206,0,0.00331796,0.00167714,0,0,0.017758,0.118783,12,8,1.66667,0,0,0,0.878877,0.111761,0.0093622,1709,497481,1653
1,bookshelf_tall,38,isSafe,1,1,0.109589,59057,311,19.8698,12,995,0,0.00100988,0.00249477,0,0,0,0,1870,307,0.16631,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpFixed,1,1,0.00600414,1090,11,11.1285,937,937,0,0.00496144,0.00249477,0,0,0.0107185,0,2,2,5.5,0,0,0,1,0,0,1090,317014,848
1,bookshelf_tall,38,qpPlain,1,1,0.00595992,1090,11,11.1285,937,937,0,0.00496144,0.00249477,0,0,0.0107185,0,2,2,5.5,0,0,0,1,0,0,1090,373870,1090
1,bookshelf_tall,38,qpAdaptive,1,1,0.00500058,814,11,11.1339,847,847,0,0.00494865,0.00249477,0,0,0.0143596,0.246929,2,2,5.5,0,0,0,0.749386,0.244472,0.00614251,814,248513,696
1,bookshelf_tall,38,qpFreeGate,1,1,0.238081,60633,141,15.3923,1740,1740,0,0.00377175,0.00249477,0,0,0.00400573,0,466,133,0.302575,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,38,qpFreeEnvelope,1,1,0.0409057,5693,155,16.2886,954,954,0,0.00348573,0.00249477,0,0,0.0478002,0.950817,525,146,0.295238,0,0,0,0.0396895,0.90157,0.0587405,0,0,0
