seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,16,isSafe,1,1,0.026014,3488,19,13.3692,8,670,0,0.0070146,0.000512715,0,0,0,0,70,15,0.271429,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,16,qpFixed,1,1,0.00778925,606,7,7.24966,607,607,0,0.00518685,0.00207224,0,0,0.0119631,0,1,1,7,0,0,0,1,0,0,606,170583,349
1,bookshelf_tall,16,qpPlain,1,1,0.0084207,606,7,7.24966,607,607,0,0.00518685,0.00207224,0,0,0.0119631,0,1,1,7,0,0,0,1,0,0,606,207858,606
1,bookshelf_tall,16,qpAdaptive,1,1,0.00388503,272,7,7.25299,486,486,0,0.00516036,0.00205498,0,0,0.0266654,0.371324,1,1,7,0,0,0,0.628676,0.356618,0.0147059,272,78583,232
1,bookshelf_tall,16,qpFreeGate,1,1,0.105285,9196,26,12.7218,1087,1087,0,0.0070146,0.00200183,0,0,0.00453616,0,70,21,0.371429,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,16,qpFreeEnvelope,1,1,0.0138683,427,23,11.2616,602,602,0,0.0070146,0.00108978,0,0,0.0716291,0.913349,70,18,0.328571,0,0,0,0.0117925,0.882075,0.106132,0,0,0
1,bookshelf_tall,16,qpEnvelope,1,1,0.00261368,175,7,7.26251,441,441,0,0.00498795,0.00197645,0,0,0.0415,0.274286,1,1,7,0,0,0,0.725714,0.245714,0.0285714,175,51217,153
1,bookshelf_tall,42,isSafe,1,1,0.0151719,2029,12,17.5155,10,877,0,0.00768594,0.00249477,0,0,0,0,31,7,0.387097,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,42,qpFixed,1,1,0.0474053,3348,24,17.0584,1684,1684,70,-0.0047737,0.00249477,0,0,0.00888023,0,9,9,2.66667,0,0,0,1,0,0,3348,993147,2928
1,bookshelf_tall,42,qpPlain,1,1,0.0494015,3348,24,17.0584,1684,1684,70,-0.0047737,0.00249477,0,0,0.00888023,0,9,9,2.66667,0,0,0,1,0,0,3348,1148364,3348
1,bookshelf_tall,42,qpAdaptive,1,1,0.0336652,2186,23,17.091,1237,1237,69,-0.00447822,0.00249477,0,0,0.0136337,0.291857,9,9,2.55556,0,0,0,0.707228,0.285453,0.0073193,2186,670344,2148
1,bookshelf_tall,42,qpFreeGate,1,1,0.059005,4998,21,17.748,1338,1338,0,0.00768594,0.00249477,0,0,0.00527603,0,31,10,0.677419,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,42,qpFreeEnvelope,1,1,0.010127,321,16,18.1642,960,960,0,0.00627167,0.00249477,0,0,0.069743,0.971963,31,10,0.516129,0,0,0,0.0280374,0.875389,0.0965732,0,0,0
1,bookshelf_tall,42,qpEnvelope,1,1,0.0223251,1407,23,17.1466,1031,1031,73,-0.00478005,0.00249477,0,0,0.0212125,0.189055,9,9,2.55556,0,0,0,0.810945,0.176262,0.0127932,1407,428848,1387
1,bookshelf_tall,66,isSafe,1,1,0.10189,13099,67,21.0345,12,1053,0,0.00336209,0.00249477,0,0,0,0,294,63,0.227891,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,66,qpFixed,1,1,0.070822,4999,33,25.645,2137,2137,0,0.00308157,0.00249477,0,0,0.00974713,0,13,13,2.53846,0,0,0,1,0,0,4999,1474963,3865
1,bookshelf_tall,66,qpPlain,1,1,0.0703659,4999,33,25.645,2137,2137,0,0.00308157,0.00249477,0,0,0.00974713,0,13,13,2.53846,0,0,0,1,0,0,4999,1714657,4999
1,bookshelf_tall,66,qpAdaptive,1,1,0.0378276,2521,32,25.7564,1773,1773,0,0.00308157,0.00249477,0,0,0.0193495,0.286791,13,13,2.46154,0,0,0,0.711226,0.278064,0.01071,2521,764511,2363
1,bookshelf_tall,66,qpFreeGate,1,1,0.369644,31188,105,14.6113,1147,1147,0,0.00336209,0.00249477,0,0,0.00566802,0,298,101,0.352349,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,66,qpFreeEnvelope,1,1,0.0787606,2649,99,14.7136,768,768,0,0.00336209,0.00249477,0,0,0.0643496,0.939977,298,95,0.332215,0,0,0,0.0352006,0.870553,0.0942468,0,0,0
1,bookshelf_tall,66,qpEnvelope,1,1,0.0275622,1730,30,26.0284,1665,1665,0,0.00308157,0.00249477,0,0,0.0285165,0.184393,13,13,2.30769,0,0,0,0.814451,0.17052,0.0150289,1730,524814,1680
1,bookshelf_tall,91,isSafe,1,1,0.316997,41323,209,22.793,13,1141,0,0.00235394,0.000221142,0,0,0,0,1325,204,0.157736,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,91,qpFixed,1,1,0.00841143,645,7,9.06522,646,646,0,0.00579803,0.00249477,0,0,0.0140546,0,1,1,7,0,0,0,1,0,0,645,182046,312
1,bookshelf_tall,91,qpPlain,1,1,0.00872882,645,7,9.06522,646,646,0,0.00579803,0.00249477,0,0,0.0140546,0,1,1,7,0,0,0,1,0,0,645,221235,645
1,bookshelf_tall,91,qpAdaptive,1,1,0.00486098,328,7,9.0656,568,568,0,0.00578972,0.00249477,0,0,0.027639,0.338415,1,1,7,0,0,0,0.661585,0.329268,0.00914634,328,99764,295
