build,planner,eligible,solved,ms_median,ms_mean,ms_p90,path_median,vertices_median,unsafe,audited
post-PC,rrtconnect,420,420,1.26088,13.351767538095238,28.720150000000036,12.7742,18.0,627,291151
post-PC,cbf-rrtc,420,420,0.9418845,3.6464999476190476,11.305420000000003,10.1791,13.0,1493,301918
post-PC,vamp-rrtc,420,420,0.1085685,3.0780973690476188,2.026662000000001,13.44625,18.0,1184,293082
post-PC,kpiece,420,387,20.9398,267.4476863927649,434.8150000000012,128.466,263.0,1888,2894358
post-PC,cbf-kpiece,420,420,17.342450000000003,67.01463525238096,156.20149999999998,124.215,219.0,4629,3474726
pre-PC,rrtconnect,420,420,1.249835,13.447802771428572,29.701050000000013,12.7742,18.0,627,291151
pre-PC,cbf-rrtc,420,420,0.960457,4.054143676190477,14.809070000000009,10.27395,13.0,1502,310799
pre-PC,vamp-rrtc,420,420,0.109337,3.0836036666666664,2.00735,13.44625,18.0,1184,293082
pre-PC,kpiece,420,387,21.000600000000002,269.9961344005168,439.0296000000011,128.466,263.0,1888,2894358
pre-PC,cbf-kpiece,420,420,17.579400000000003,67.62816267380953,157.5477000000001,124.215,219.0,4629,3474726
