seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction
1,bookshelf_tall,1,isSafe,1,1,0.001137,1272,14,13.0991,8,656,0,0.00385175,0.00249477,0,0,0,0
1,bookshelf_tall,1,bubbleCBF,1,1,0.000393315,151,7,8.19531,463,463,0,0.00159552,0.00249477,0,0,0.0542736,0.317881
1,bookshelf_tall,1,isSafeKPIECE,1,1,0.0143717,16859,183,82.7851,33,4141,1,-0.000695018,0.00249477,0,0,0,0
1,bookshelf_tall,1,bubbleCBFKPIECE,1,1,0.0069152,3126,94,122.084,7034,7034,26,-0.0216627,0.00249477,0,0,0.0584296,0.319578
1,bookshelf_tall,1,VAMP,1,1,5.0383e-05,883,9,11.1873,7,561,1,-0.000124123,0.00249477,0,0,0,0
1,bookshelf_tall,2,isSafe,1,1,0.00437709,5000,56,15.8819,10,796,0,0.00445203,0.00249477,0,0,0,0
1,bookshelf_tall,2,bubbleCBF,1,1,0.001084,393,29,10.7416,732,732,0,0.00155378,0.00249477,0,0,0.0350743,0.104326
1,bookshelf_tall,2,isSafeKPIECE,1,1,0.0307165,35990,395,161.516,69,8077,3,-0.00215973,0.00241248,0,0,0,0
1,bookshelf_tall,2,bubbleCBFKPIECE,1,1,0.0028049,1267,48,88.0812,4909,4909,1,-0.000940221,0.00249477,0,0,0.0833987,0.51618
1,bookshelf_tall,2,VAMP,1,1,0.00066677,19864,81,18.6759,11,935,4,-0.00133198,0.00249477,0,0,0,0
1,bookshelf_tall,8,isSafe,1,1,0.00120233,1355,17,10.3821,7,521,14,-0.00448261,0.00249477,0,0,0,0
1,bookshelf_tall,8,bubbleCBF,1,1,0.00162919,597,17,12.4952,790,790,0,0.000278469,0.00249477,0,0,0.0346155,0.0887772
1,bookshelf_tall,8,isSafeKPIECE,1,1,0.0075069,8796,94,76.7861,33,3841,0,0.000278469,0.000232293,0,0,0,0
1,bookshelf_tall,8,bubbleCBFKPIECE,1,1,0.0276741,11600,320,93.4902,5451,5451,4,-0.00304778,0.00249477,0,0,0.0486091,0.207586
1,bookshelf_tall,8,VAMP,1,1,8.9037e-05,2693,14,11.1283,7,558,4,-0.000513078,0.00249477,0,0,0,0
1,bookshelf_tall,9,isSafe,1,1,0.00348672,4010,47,19.4836,11,976,5,-0.00224995,0.00249477,0,0,0,0
1,bookshelf_tall,9,bubbleCBF,1,1,0.0155324,5440,88,7.80902,507,507,2,-0.00224995,0.00249477,0,0,0.0247508,0.0369485
1,bookshelf_tall,9,isSafeKPIECE,1,1,0.189094,220801,2418,316.968,136,15850,13,-0.00405377,0.000404992,0,0,0,0
1,bookshelf_tall,9,bubbleCBFKPIECE,1,1,0.0380879,15253,417,107.936,6636,6636,7,-0.00224995,0.00249477,0,0,0.0462957,0.191569
1,bookshelf_tall,9,VAMP,1,1,0.000528973,16670,73,12.2457,8,614,25,-0.00241064,0.00249477,0,0,0,0
1,bookshelf_tall,10,isSafe,1,1,0.00137128,1553,19,5.55193,4,279,1,-3.43804e-05,0.00249477,0,0,0,0
1,bookshelf_tall,10,bubbleCBF,1,1,0.00236281,867,25,14.557,953,953,1,-3.43804e-05,0.00249477,0,0,0.0287317,0.0495963
1,bookshelf_tall,10,isSafeKPIECE,1,1,0.0111601,13054,149,95.1661,42,4760,2,-0.00303191,0.00249477,0,0,0,0
1,bookshelf_tall,10,bubbleCBFKPIECE,1,1,0.0481333,19784,537,142.091,8505,8505,10,-0.00093891,0.00103586,0,0,0.0462916,0.193793
1,bookshelf_tall,10,VAMP,1,1,3.786e-05,704,7,9.47429,6,475,1,-3.43804e-05,0.00249477,0,0,0,0
1,bookshelf_tall,11,isSafe,1,1,0.00272298,3114,36,12.7439,8,639,0,0.000799502,0.00249477,0,0,0,0
1,bookshelf_tall,11,bubbleCBF,1,1,0.00622453,2222,39,23.1926,1532,1532,0,0.00164496,0.00249477,0,0,0.0247129,0.0459046
1,bookshelf_tall,11,isSafeKPIECE,1,1,0.0728294,85200,948,224.657,99,11234,6,-0.00221551,6.34822e-06,0,0,0,0
1,bookshelf_tall,11,bubbleCBFKPIECE,1,1,0.0441364,18961,543,216.198,12616,12616,8,-0.00862581,0.00122063,0,0,0.053089,0.253309
1,bookshelf_tall,11,VAMP,1,1,0.000287429,8466,45,8.96433,6,450,0,0.00215429,0.00249477,0,0,0,0
1,bookshelf_tall,15,isSafe,1,1,0.00336114,3841,44,16.8878,10,846,7,-0.00192678,0.00249477,0,0,0,0
1,bookshelf_tall,15,bubbleCBF,1,1,0.00153956,524,15,10.4888,703,703,0,0.001558,0.00249477,0,0,0.0266623,0.0133588
1,bookshelf_tall,15,isSafeKPIECE,1,1,0.050975,59743,679,235.082,100,11756,8,-0.0022944,0.00249477,0,0,0,0
1,bookshelf_tall,15,bubbleCBFKPIECE,1,1,0.0283269,11802,323,130.627,7898,7898,5,-0.00154477,0.00101587,0,0,0.047291,0.185647
1,bookshelf_tall,15,VAMP,1,1,0.000365187,11598,49,14.8108,9,742,0,3.37877e-05,0.000300443,0,0,0,0
1,bookshelf_tall,17,isSafe,1,1,0.00128933,1431,17,11.9384,7,598,6,-0.00195326,0.00249477,0,0,0,0
1,bookshelf_tall,17,bubbleCBF,1,1,0.00547504,1895,43,16.1363,1083,1083,0,0.000258991,0.00249477,0,0,0.0268814,0.0237467
1,bookshelf_tall,17,isSafeKPIECE,1,1,0.0130762,15322,169,112.69,50,5636,1,-0.0013166,0.000457452,0,0,0,0
1,bookshelf_tall,17,bubbleCBFKPIECE,1,1,0.00825136,3655,113,143.766,8226,8226,4,-0.000172116,0.0010264,0,0,0.0622107,0.319289
1,bookshelf_tall,17,VAMP,1,1,0.000116293,2804,19,16.1367,10,808,0,0.000965609,0.00249477,0,0,0,0
1,bookshelf_tall,19,isSafe,1,1,0.00375231,4323,48,16.1574,10,809,4,-0.00160429,0.00249477,0,0,0,0
1,bookshelf_tall,19,bubbleCBF,1,1,0.00076689,285,9,7.28935,465,465,0,0.00104368,0.00249477,0,0,0.0345031,0.0982456
1,bookshelf_tall,19,isSafeKPIECE,1,1,0.00259369,3017,39,40.9412,22,2049,14,-0.00572032,0.00249477,0,0,0,0
1,bookshelf_tall,19,bubbleCBFKPIECE,1,1,0.0094498,4067,117,37.9378,2309,2309,7,-0.000625128,0.00249477,0,0,0.0535608,0.254979
1,bookshelf_tall,19,VAMP,1,1,0.000112737,2749,20,13.0455,8,654,4,-0.000989047,0.00249477,0,0,0,0
1,bookshelf_tall,22,isSafe,1,1,0.0074445,8475,96,12.9755,8,650,4,-0.00135414,0.00249477,0,0,0,0
1,bookshelf_tall,22,bubbleCBF,1,1,0.00239748,840,29,11.9154,778,778,22,-0.00177954,0.00249477,0,0,0.0284982,0.0607143
1,bookshelf_tall,22,isSafeKPIECE,1,1,0.0780108,91305,1012,120.393,56,6021,1,-0.000259307,0.00122615,0,0,0,0
1,bookshelf_tall,22,bubbleCBFKPIECE,1,1,0.0251816,10347,278,88.1835,5292,5292,5,-0.00235431,0.0010324,0,0,0.0461119,0.194742
1,bookshelf_tall,22,VAMP,1,1,0.000706272,22903,92,16.6504,10,834,0,0.00280062,0.00249477,0,0,0,0
1,bookshelf_tall,23,isSafe,1,1,0.00066785,767,11,12.0051,8,602,0,0.00424879,0.00249477,0,0,0,0
1,bookshelf_tall,23,bubbleCBF,1,1,0.00108832,392,10,10.0567,636,636,0,0.000224695,0.00249477,0,0,0.0303558,0.0484694
1,bookshelf_tall,23,isSafeKPIECE,1,1,0.0132108,15452,179,109.426,50,5473,1,-0.000828533,0.00249477,0,0,0,0
1,bookshelf_tall,23,bubbleCBFKPIECE,1,1,0.0268366,10841,291,120.219,7192,7192,0,0.000276855,0.00249477,0,0,0.0445549,0.180426
1,bookshelf_tall,23,VAMP,1,1,7.1085e-05,1743,11,15.4603,9,775,11,-0.00339399,0.00249477,0,0,0,0
1,bookshelf_tall,28,isSafe,1,1,0.00505258,5793,56,20.0603,12,1005,3,-0.000236002,0.00249477,0,0,0,0
1,bookshelf_tall,28,bubbleCBF,1,1,0.000305111,128,8,8.08855,460,460,0,0.000847076,0.00249477,0,0,0.0631918,0.335938
1,bookshelf_tall,28,isSafeKPIECE,1,1,0.107804,126370,1383,199.885,92,9996,23,-0.00549549,0.00120848,0,0,0,0
1,bookshelf_tall,28,bubbleCBFKPIECE,1,1,0.0532819,22324,627,128.179,7737,7737,29,-0.000612322,0.0010118,0,0,0.051008,0.272129
1,bookshelf_tall,28,VAMP,1,1,0.00013402,4130,20,11.5525,8,579,0,0.000903015,0.00249477,0,0,0,0
1,bookshelf_tall,29,isSafe,1,1,0.00064911,728,11,14.6181,9,732,0,0.00136666,0.00249477,0,0,0,0
