seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction
3,bookshelf_tall,1,isSafe,1,1,0.000434314,464,8,8.48642,6,426,0,0.000473481,0.00249477,0,0,0,0
3,bookshelf_tall,1,bubbleCBF,1,1,0.000283611,120,7,7.89673,446,446,0,0.00315627,0.00249477,0,0,0.0658061,0.558333
3,bookshelf_tall,1,isSafeKPIECE,1,1,0.0298654,34871,383,194.871,90,9745,2,-0.000928557,6.28403e-05,0,0,0,0
3,bookshelf_tall,1,bubbleCBFKPIECE,1,1,0.0271699,11910,334,204.787,12288,12288,3,-0.0024025,0.00249477,0,0,0.0528127,0.259446
3,bookshelf_tall,1,VAMP,1,1,6.3637e-05,1762,10,10.0869,7,506,5,-0.0027515,0.00249477,0,0,0,0
3,bookshelf_tall,2,isSafe,1,1,0.0039798,4581,52,16.511,10,827,4,-0.000564297,0.00249477,0,0,0,0
3,bookshelf_tall,2,bubbleCBF,1,1,0.00458285,1625,42,12.3989,751,751,0,0.00210782,0.00249477,0,0,0.0314344,0.0566154
3,bookshelf_tall,2,isSafeKPIECE,1,1,0.159505,186151,2017,373.6,156,18681,5,-0.00334077,0.000341747,0,0,0,0
3,bookshelf_tall,2,bubbleCBFKPIECE,1,1,0.00964953,4077,114,65.3535,3880,3880,2,-0.000525106,0.00249477,0,0,0.0480552,0.187638
3,bookshelf_tall,2,VAMP,1,1,0.000649917,20785,83,20.0475,12,1004,3,-0.00164089,0.00249477,0,0,0,0
3,bookshelf_tall,8,isSafe,1,1,0.0017286,1973,25,10.8001,7,542,0,0.000278469,0.00249477,0,0,0,0
3,bookshelf_tall,8,bubbleCBF,1,1,0.000949397,348,15,9.83398,591,591,0,0.000278469,0.00249477,0,0,0.0369413,0.0603448
3,bookshelf_tall,8,isSafeKPIECE,1,1,0.0573849,66993,742,259.664,115,12985,17,-0.00470105,0.000884912,0,0,0,0
3,bookshelf_tall,8,bubbleCBFKPIECE,1,1,0.0568045,23215,644,286.389,16686,16686,10,-0.00106799,0.0010013,0,0,0.0494551,0.208141
3,bookshelf_tall,8,VAMP,1,1,0.000121748,3275,18,17.6236,10,883,1,-0.00142332,0.00249477,0,0,0,0
3,bookshelf_tall,9,isSafe,1,1,0.0141029,15953,183,17.8726,10,895,2,-0.00224995,0.00249477,0,0,0,0
3,bookshelf_tall,9,bubbleCBF,1,1,0.00326205,1219,24,9.41085,546,546,2,-0.00224995,0.00249477,0,0,0.0287231,0.0508614
3,bookshelf_tall,9,isSafeKPIECE,1,1,0.457467,533035,5911,423.098,188,21156,15,-0.00317647,0.000592275,0,0,0,0
3,bookshelf_tall,9,bubbleCBFKPIECE,1,1,0.0210027,8232,219,74.4684,4669,4669,1,-0.00224995,0.00100291,0,0,0.042574,0.154276
3,bookshelf_tall,9,VAMP,1,1,0.000374283,12966,53,13.3003,8,667,7,-0.00224995,0.00141014,0,0,0,0
3,bookshelf_tall,10,isSafe,1,1,0.000839872,946,13,15.3826,9,771,4,-0.00173946,0.00249477,0,0,0,0
3,bookshelf_tall,10,bubbleCBF,1,1,0.000775211,299,10,10.4144,666,666,1,-3.43804e-05,0.00249477,0,0,0.0356455,0.177258
3,bookshelf_tall,10,isSafeKPIECE,1,1,0.00520266,6058,70,70.2573,31,3514,2,-0.00134198,0.000524437,0,0,0,0
3,bookshelf_tall,10,bubbleCBFKPIECE,1,1,0.0170274,6991,197,173.66,10057,10057,51,-0.00521443,0.00249477,0,0,0.0519347,0.241596
3,bookshelf_tall,10,VAMP,1,1,3.7673e-05,558,7,9.06216,6,455,4,-0.00095124,0.00249477,0,0,0,0
3,bookshelf_tall,11,isSafe,1,1,0.00147214,1683,21,10.735,7,538,0,0.00215429,0.00249477,0,0,0,0
3,bookshelf_tall,11,bubbleCBF,1,1,0.000871102,325,10,9.93531,609,609,0,0.00087133,0.00249477,0,0,0.0349833,0.0769231
3,bookshelf_tall,11,isSafeKPIECE,1,1,0.05214,60878,673,112.676,51,5635,2,-5.8172e-05,0.00141248,0,0,0,0
3,bookshelf_tall,11,bubbleCBFKPIECE,1,1,0.0429386,17960,518,153.835,9136,9136,37,-0.00491162,0.00249477,0,0,0.0524555,0.239421
3,bookshelf_tall,11,VAMP,1,1,0.000431792,13282,63,11.2284,7,563,18,-0.00220336,0.00249477,0,0,0,0
3,bookshelf_tall,15,isSafe,1,1,0.00104414,1189,16,12.2764,8,615,0,0.00377073,0.00249477,0,0,0,0
3,bookshelf_tall,15,bubbleCBF,1,1,0.00184439,658,32,16.2662,993,993,2,-0.000342448,0.00249477,0,0,0.0331264,0.0364742
3,bookshelf_tall,15,isSafeKPIECE,1,1,0.00374773,4293,48,47.3783,22,2370,5,-0.00234965,0.00249477,0,0,0,0
3,bookshelf_tall,15,bubbleCBFKPIECE,1,1,0.0287428,11507,318,114.293,6740,6740,5,-0.0037908,0.00181836,0,0,0.0476348,0.181802
3,bookshelf_tall,15,VAMP,1,1,0.000341662,9935,48,16.4414,10,824,8,-0.00170283,0.00107352,0,0,0,0
3,bookshelf_tall,17,isSafe,1,1,0.000651781,721,10,9.38175,6,471,0,0.000965609,0.00249477,0,0,0,0
3,bookshelf_tall,17,bubbleCBF,1,1,0.000545915,191,12,6.48694,430,430,0,0.000762839,0.00249477,0,0,0.0339631,0.0628272
3,bookshelf_tall,17,isSafeKPIECE,1,1,0.00948677,11084,124,86.5343,39,4328,13,-0.00492092,0.00249477,0,0,0,0
3,bookshelf_tall,17,bubbleCBFKPIECE,1,1,0.0071175,3141,91,64.6006,3753,3753,0,0.000121161,0.00249477,0,0,0.0547848,0.317096
3,bookshelf_tall,17,VAMP,1,1,6.8602e-05,1608,11,13.2059,8,662,0,0.000965609,0.00249477,0,0,0,0
3,bookshelf_tall,19,isSafe,1,1,0.00183195,2110,25,7.13687,5,358,0,0.00229804,0.00249477,0,0,0,0
3,bookshelf_tall,19,bubbleCBF,1,1,0.000899265,341,9,10.2304,630,630,0,0.000183935,0.00249477,0,0,0.0353155,0.184751
3,bookshelf_tall,19,isSafeKPIECE,1,1,0.0855421,99850,1123,214.074,97,10705,6,-0.00451055,0.000147217,0,0,0,0
3,bookshelf_tall,19,bubbleCBFKPIECE,1,1,0.0313691,12648,350,150.108,9089,9089,5,-0.00176873,0.00249477,0,0,0.0460028,0.194181
3,bookshelf_tall,19,VAMP,1,1,7.0295e-05,1935,11,13.7493,8,689,0,0.00338547,0.00249477,0,0,0,0
3,bookshelf_tall,22,isSafe,1,1,0.0043253,4965,57,10.4821,7,526,0,0.00280062,0.00249477,0,0,0,0
3,bookshelf_tall,22,bubbleCBF,1,1,0.00353463,1283,49,11.3416,765,765,0,4.61134e-05,0.00249477,0,0,0.0275706,0.0241621
3,bookshelf_tall,22,isSafeKPIECE,1,1,0.0197693,23092,253,167.764,75,8390,2,-0.00309335,0.00249477,0,0,0,0
3,bookshelf_tall,22,bubbleCBFKPIECE,1,1,0.0352233,13839,378,104.896,6389,6389,15,-0.000654595,0.00100904,0,0,0.0439504,0.164174
3,bookshelf_tall,22,VAMP,1,1,0.000672627,20427,89,16.1945,10,811,3,-0.00334409,0.00249477,0,0,0,0
3,bookshelf_tall,23,isSafe,1,1,0.000682805,782,11,9.83971,6,493,4,-0.00153008,0.00249477,0,0,0,0
3,bookshelf_tall,23,bubbleCBF,1,1,0.00122174,454,11,8.80551,575,575,0,7.43996e-05,0.00249477,0,0,0.0258098,0.0572687
3,bookshelf_tall,23,isSafeKPIECE,1,1,0.0306113,35742,413,175.669,80,8785,1,-0.000620924,0.00249477,0,0,0,0
3,bookshelf_tall,23,bubbleCBFKPIECE,1,1,0.0196518,8076,225,205.622,12047,12047,11,-0.00809355,0.00121457,0,0,0.0498698,0.224988
3,bookshelf_tall,23,VAMP,1,1,0.000142576,3672,19,15.1679,9,760,11,-0.00286711,0.00249477,0,0,0,0
3,bookshelf_tall,28,isSafe,1,1,0.000961235,1072,13,15.9363,9,798,0,0.00137723,0.00249477,0,0,0,0
3,bookshelf_tall,28,bubbleCBF,1,1,0.00163087,627,17,16.5085,1058,1058,0,0.000683464,0.00249477,0,0,0.0349943,0.140351
3,bookshelf_tall,28,isSafeKPIECE,1,1,0.032157,37592,409,176.558,73,8829,3,-0.000471878,0.00033699,0,0,0,0
3,bookshelf_tall,28,bubbleCBFKPIECE,1,1,0.0056039,2359,66,66.8162,3913,3913,0,0.00202226,0.00249477,0,0,0.050781,0.257312
3,bookshelf_tall,28,VAMP,1,1,9.8184e-05,3257,15,8.87543,6,445,0,0.0011463,0.00249477,0,0,0,0
3,bookshelf_tall,29,isSafe,1,1,0.000615545,690,10,11.7207,7,588,0,0.00136666,0.00249477,0,0,0,0
