seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction
1,bookshelf_tall,1,isSafe,1,1,0.00113034,1272,14,13.0991,8,656,0,0.00385175,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,1,bubbleCBF,1,1,0.000517994,228,11,10.465,582,582,0,0.00187836,0.00249477,0,0,0.0565062,0.364035
1,bookshelf_tall,1,VAMP,1,1,6.2074e-05,1430,10,12.0032,8,602,2,-0.00306561,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,2,isSafe,1,1,0.00307149,3527,41,20.1589,12,1009,0,0.00209964,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,2,bubbleCBF,1,1,0.000232732,113,8,8.45401,489,489,0,0.000613186,0.00249477,0,0,0.0748143,0.309735
1,bookshelf_tall,2,VAMP,1,1,0.000348214,10080,50,16.8057,10,842,0,0.00531366,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,8,isSafe,1,1,0.000809113,917,13,11.2076,7,562,0,0.000278469,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,8,bubbleCBF,1,1,0.000268686,126,7,8.39503,484,484,0,0.000278469,0.00249477,0,0,0.0666272,0.380952
1,bookshelf_tall,8,VAMP,1,1,0.000124159,3276,20,15.2744,9,765,0,0.000278469,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,9,isSafe,1,1,0.000937679,1054,15,16.2526,10,814,14,-0.00224995,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,9,bubbleCBF,1,1,0.0017784,647,17,12.1973,751,751,1,-0.00224995,0.00249477,0,0,0.034657,0.0602782
1,bookshelf_tall,9,VAMP,1,1,0.000552439,18245,76,12.3636,8,620,2,-0.00224995,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,10,isSafe,1,1,0.00096544,1109,14,9.9575,6,499,1,-3.43804e-05,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,10,bubbleCBF,1,1,0.0100401,3848,59,13.0764,856,856,1,-3.43804e-05,0.00249477,0,0,0.0253932,0.02079
1,bookshelf_tall,10,VAMP,1,1,4.6616e-05,1342,8,9.49149,6,476,8,-0.000544566,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,11,isSafe,1,1,0.0024622,2811,34,10.7873,7,541,0,0.00215429,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,11,bubbleCBF,1,1,0.00205765,801,20,15.9257,1025,1025,0,0.00215429,0.00249477,0,0,0.0302535,0.0836454
1,bookshelf_tall,11,VAMP,1,1,0.000317896,11109,49,22.6633,13,1135,6,-0.00274983,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,15,isSafe,1,1,0.00483679,5509,64,15.7807,9,791,0,0.0035865,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,15,bubbleCBF,1,1,0.00141029,509,14,11.8934,773,773,0,0.000721481,0.00249477,0,0,0.0300198,0.00982318
1,bookshelf_tall,15,VAMP,1,1,0.000158875,3991,24,18.9712,11,950,0,0.000420488,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,17,isSafe,1,1,0.000765475,860,12,13.426,8,673,0,0.000965609,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,17,bubbleCBF,1,1,0.0013051,496,14,10.3934,637,637,0,0.000532688,0.00249477,0,0,0.0339739,0.0362903
1,bookshelf_tall,17,VAMP,1,1,0.000205628,5851,31,13.9068,8,697,0,0.000965609,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,19,isSafe,1,1,0.00029535,325,6,7.62615,5,383,0,0.00164195,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,19,bubbleCBF,1,1,0.00136683,508,13,9.19543,578,578,0,2.07095e-05,0.00249477,0,0,0.031281,0.015748
1,bookshelf_tall,19,VAMP,1,1,9.1389e-05,3274,13,9.16743,6,460,0,0.000523902,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,22,isSafe,1,1,0.00803537,9164,108,13.516,8,677,0,0.00212594,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,22,bubbleCBF,1,1,0.00150468,573,14,11.7729,767,767,0,5.07348e-05,0.00249477,0,0,0.0287171,0.0680628
1,bookshelf_tall,22,VAMP,1,1,0.000133032,3176,22,17.8436,10,894,6,-0.00177673,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,23,isSafe,1,1,0.000868528,989,13,17.4145,10,872,16,-0.00506748,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,23,bubbleCBF,1,1,0.000723972,277,9,7.44887,497,497,1,-2.3831e-05,0.00249477,0,0,0.0286953,0.0180505
1,bookshelf_tall,23,VAMP,1,1,8.1563e-05,1723,14,9.05138,6,454,0,8.30054e-05,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,28,isSafe,1,1,0.003544,4066,43,12.8633,8,645,1,-8.76162e-05,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,28,bubbleCBF,1,1,0.000334388,154,9,7.27161,433,433,1,-1.99463e-05,0.00249477,0,0,0.0472182,0.272727
1,bookshelf_tall,28,VAMP,1,1,0.000243324,9678,35,14.5729,9,730,29,-0.00260246,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,29,isSafe,1,1,0.00228012,2603,28,18.3427,11,919,0,0.00136666,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,29,bubbleCBF,1,1,0.00273224,1057,31,11.2587,739,739,0,0.000287976,0.00249477,0,0,0.0309859,0.0189215
1,bookshelf_tall,29,VAMP,1,1,5.2347e-05,1184,9,10.3008,7,517,0,0.00136666,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,33,isSafe,1,1,0.0015964,1832,20,14.4456,9,724,3,-0.0006161,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,33,bubbleCBF,1,1,0.000301317,139,7,7.03028,416,416,2,-0.000584279,0.00249477,0,0,0.056705,0.258993
1,bookshelf_tall,33,VAMP,1,1,3.0978e-05,478,7,4.4546,4,224,5,-0.00358375,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,36,isSafe,1,1,0.00496837,5686,66,14.3103,9,717,10,-0.00231148,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,36,bubbleCBF,1,1,0.00182827,678,15,14.011,892,892,16,-0.000561222,0.00249477,0,0,0.0340123,0.10177
1,bookshelf_tall,36,VAMP,1,1,0.00041336,13724,62,15.6624,9,785,6,-0.00174692,0.000494608,0,0,0.0,0.0
1,bookshelf_tall,40,isSafe,1,1,0.050982,53995,674,20.2939,12,1016,0,0.00421794,0.00249477,0,0,0.0,0.0
1,bookshelf_tall,40,bubbleCBF,1,1,0.000805724,324,13,10.4922,667,667,0,0.0004225,0.00249477,0,0,0.0361172,0.0864198
