scene,planner,solved,time_ms_p10,time_ms_p25,time_ms_p50,time_ms_p75,time_ms_p90,vertices_p10,vertices_p25,vertices_p50,vertices_p75,vertices_p90,evaluations_p10,evaluations_p25,evaluations_p50,evaluations_p75,evaluations_p90
all scenes,rrtconnect,140,0.4571754,0.7330194999999999,1.1326450000000001,3.9486624999999997,48.449580000000026,8.0,12.0,17.0,50.0,671.3000000000001,515.3,822.25,1286.0,4538.25,51692.800000000025
all scenes,cbf-rrtc,140,0.16824360000000002,0.24499700000000002,0.745703,2.20901,12.34208000000001,6.0,7.0,11.0,24.0,82.60000000000005,79.7,113.0,310.0,893.5,4595.600000000005
all scenes,vamp-rrtc,140,0.030939400000000002,0.05201525,0.10038050000000001,0.2597625,3.9430490000000074,8.0,10.0,20.0,49.25,469.00000000000057,856.1,1355.5,3547.0,10071.0,143218.10000000033
bookshelf_small,rrtconnect,20,0.49521660000000006,0.8074445,1.028845,2.8982575,7.321894000000038,7.800000000000001,12.75,15.0,36.0,92.20000000000046,548.3000000000001,906.0,1173.0,3328.5,8241.20000000004
bookshelf_small,cbf-rrtc,20,0.18610800000000002,0.2857555,0.692679,1.4506774999999998,2.705640000000002,6.0,6.75,10.0,16.25,28.1,85.60000000000001,113.75,270.5,567.75,1121.000000000001
bookshelf_small,vamp-rrtc,20,0.0251818,0.033542749999999996,0.09659000000000001,0.25084650000000003,1.1268479999999998,7.9,9.0,21.0,53.0,183.3,519.6,995.25,3664.5,10396.75,53530.90000000001
bookshelf_tall,rrtconnect,20,0.7539403,0.92039125,1.692385,3.1896175,5.275070000000005,12.0,13.75,20.5,41.5,70.20000000000006,847.8000000000001,1037.75,1944.0,3661.75,6033.800000000005
bookshelf_tall,cbf-rrtc,20,0.2650906,0.4720925,1.055412,1.7908675,3.4082340000000095,7.0,9.0,13.0,15.5,33.400000000000034,124.7,209.5,410.0,654.75,1310.3000000000036
bookshelf_tall,vamp-rrtc,20,0.04505220000000001,0.07669075,0.131872,0.234831,0.3547286000000001,7.9,12.25,21.0,33.5,51.20000000000002,1113.4,1649.75,3633.5,9045.75,11370.500000000004
bookshelf_thin,rrtconnect,20,0.9129354000000001,1.03937625,2.6019050000000004,5.05867,8.37301400000001,13.4,15.75,29.0,63.75,107.60000000000008,1021.8000000000001,1162.25,2980.0,5795.0,9541.30000000001
bookshelf_thin,cbf-rrtc,20,0.1843556,0.3629485,0.73024,1.625645,2.223168000000001,6.0,7.75,10.5,17.25,23.200000000000003,91.10000000000001,147.5,295.0,620.5,810.2000000000005
bookshelf_thin,vamp-rrtc,20,0.0300196,0.13688625,0.189223,0.44869575,0.819530400000002,6.0,19.5,23.5,56.25,90.10000000000016,401.8,3158.5,4172.5,13522.5,24583.90000000006
box,rrtconnect,20,0.3954333,0.49313474999999996,0.8450515,1.1925975,1.3767110000000002,7.9,9.0,13.0,18.0,20.1,439.6,541.5,950.5,1355.0,1568.2000000000003
box,cbf-rrtc,20,0.18083079999999999,0.21146425,0.29702100000000003,0.603201,1.4059000000000004,5.0,6.0,6.5,10.25,16.0,80.5,87.75,127.5,251.75,551.4000000000001
box,vamp-rrtc,20,0.0292508,0.03680525,0.05834299999999999,0.08499325,0.14493200000000003,7.9,9.0,13.5,19.0,29.300000000000004,633.4000000000001,896.0,2303.5,3274.5,6057.400000000003
cage,rrtconnect,20,27.6077,35.5612,66.4382,92.955625,174.12280000000015,368.90000000000003,479.0,911.5,1297.0,2465.000000000002,30351.300000000003,38619.75,69371.0,93480.0,163940.3000000001
cage,cbf-rrtc,20,6.960119,11.283227499999999,17.5054,22.384375,30.930550000000007,46.4,77.0,104.0,124.5,159.50000000000003,2530.5,4246.5,6478.0,8494.25,11625.500000000002
cage,vamp-rrtc,20,2.0571524000000005,3.6762275,6.988655,21.2123,70.86099000000002,277.3,455.5,764.0,1790.0,4465.900000000001,80744.5,136024.75,246243.5,556279.25,1277391.6
table_pick,rrtconnect,20,0.4116595,0.5798180000000001,0.7579285,1.034235,1.888038000000003,6.9,8.0,12.0,14.5,25.70000000000004,456.0,645.0,853.0,1170.25,2148.1000000000035
table_pick,cbf-rrtc,20,0.1189877,0.14901899999999998,0.188524,0.2351705,0.4250606000000001,5.0,6.0,7.0,7.25,8.0,57.5,75.0,87.5,110.25,169.10000000000005
table_pick,vamp-rrtc,20,0.0403721,0.0437825,0.0589245,0.08640875,0.14599370000000012,8.9,9.0,11.5,15.25,23.200000000000017,898.3,1070.0,1441.0,3159.75,4586.800000000007
table_under_pick,rrtconnect,20,0.4505717,0.5714052500000001,0.792374,1.0188205,1.7333480000000006,8.0,9.75,12.5,15.75,23.300000000000004,500.1,630.5,894.0,1167.75,1985.9000000000005
table_under_pick,cbf-rrtc,20,0.5286565,0.84257725,1.22669,2.442775,3.9691900000000007,8.0,11.75,15.0,25.0,34.0,219.0,344.75,493.0,1006.0,1570.0000000000002
table_under_pick,vamp-rrtc,20,0.0365076,0.05391625,0.06902900000000001,0.101429,0.12798330000000002,7.9,10.75,15.0,19.5,22.400000000000006,934.7,1605.5,3512.0,4591.75,5473.500000000001
