seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
1,bookshelf_tall,1,isSafe,1,1,0.000420865,449,8,10.752,7,539,0,0.00785175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.000485832,335,11,9.647,597,597,0,0.00250983,0.00249477,0,0,0.0370196,0,2,2,5.5,0,0,0
1,bookshelf_tall,1,qpAdaptive,1,1,0.000477601,228,10,10.7608,599,599,0,0.00258112,0.00249477,0,0,0.0573874,0.276316,2,2,5,0,0,0
1,bookshelf_tall,1,l1Old,1,0,1.00001,234931,11639,0,0,0,0,inf,inf,0,0,0.0473416,0.590867,92973,11637,0.125187,0,0,0
1,bookshelf_tall,1,holdNew,1,1,0.00213391,374,27,13.8362,735,735,0,0.00785175,0.00249477,0,1,0.116369,0.687166,110,24,0.245455,0,0,0
1,bookshelf_tall,1,qpFreeGate,1,1,0.00051554,450,12,11.4354,629,629,0,0.00785175,0.00249477,0,0,0.0362551,0,27,7,0.444444,0,0,0
1,bookshelf_tall,1,VAMP,1,1,8.0427e-05,1438,12,11.9051,7,597,0,0.00542864,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,2,isSafe,1,1,0.003629,4037,45,16.7766,10,840,5,-0.00329038,0.00249477,0,0,0,0,293,41,0.153584,0,0,0
1,bookshelf_tall,2,qpFixed,1,1,0.00132739,622,38,10.5505,714,714,0,0.00159725,0.00249477,0,0,0.0300181,0,5,4,7.6,0,0,0
1,bookshelf_tall,2,qpAdaptive,1,1,0.00143769,561,16,11.4293,738,738,0,0.00249413,0.00249477,0,0,0.0350422,0.030303,5,4,3.2,0,0,0
1,bookshelf_tall,2,l1Old,1,1,0.00293335,2558,79,15.0541,876,876,0,0.00931366,0.00249477,0,1,0.0499726,0.77326,550,74,0.143636,0,0,0
1,bookshelf_tall,2,holdNew,1,1,0.00237128,446,23,13.6062,722,722,0,0.00710376,0.00249477,0,1,0.0845118,0.744395,106,17,0.216981,0,0,0
