seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
11,bookshelf_tall,1,isSafe,1,1,0.00202876,2339,8,11.4794,7,575,0,0.00785175,0.00249477,0,0,0,0,6,3,1.33333,0,0,0
11,bookshelf_tall,1,qpFixed,1,0,0.500015,393160,4,0,0,0,0,inf,inf,0,0,0.00702812,0,9827,2,0.000407042,0,0,0
11,bookshelf_tall,1,qpAdaptive,1,1,0.00137913,720,20,14.9719,828,828,0,0.00785175,0.00249477,0,0,0.0332345,0.497222,14,8,1.42857,0,0,0
11,bookshelf_tall,1,l1Old,1,0,0.500007,203894,10002,0,0,0,0,inf,inf,0,0,0.0479542,0.592416,80401,10000,0.124401,0,0,0
11,bookshelf_tall,1,holdNew,1,1,0.00261987,449,35,17.0663,897,897,0,0.0060547,0.00249477,0,1,0.124759,0.605791,164,30,0.213415,0,0,0
11,bookshelf_tall,1,qpFreeGate,1,0,0.500023,484252,5,0,0,0,0,inf,inf,0,0,0.00718241,0,20323,3,0.000246027,0,0,0
11,bookshelf_tall,1,VAMP,1,1,4.5355e-05,703,8,11.4794,7,575,0,0.00785175,0.00249477,0,0,0,0,0,0,0,0,0,0
11,bookshelf_tall,2,isSafe,1,1,0.00657239,7681,22,16.24,10,813,0,0.00051458,0.00249477,0,0,0,0,89,17,0.247191,0,0,0
11,bookshelf_tall,2,qpFixed,1,0,0.500027,362160,3,0,0,0,0,inf,inf,0,0,0.00688396,0,9053,1,0.000331382,0,0,0
11,bookshelf_tall,2,qpAdaptive,1,1,0.0314111,15599,72,20.6035,1254,1254,0,0.00292753,0.00249477,0,0,0.0126807,0.229181,340,64,0.211765,0,0,0
11,bookshelf_tall,2,l1Old,1,0,0.500006,204885,9357,0,0,0,0,inf,inf,0,0,0.0447894,0.603607,78470,9354,0.119243,0,0,0
11,bookshelf_tall,2,holdNew,1,1,0.00272997,493,27,14.7959,786,786,0,0.00718375,0.00249477,0,1,0.0920275,0.703854,138,24,0.195652,0,0,0
11,bookshelf_tall,2,qpFreeGate,1,0,0.500034,497453,2,0,0,0,0,inf,inf,0,0,0.00714057,0,22628,0,8.83861e-05,0,0,0
11,bookshelf_tall,2,VAMP,1,1,0.000177136,4743,28,20.1157,12,1007,0,0.00685407,0.00249477,0,0,0,0,0,0,0,0,0,0
11,bookshelf_thin,2,isSafe,1,1,0.00771127,9023,24,19.6966,11,986,0,0.00729709,0.00249477,0,0,0,0,88,20,0.272727,0,0,0
11,bookshelf_thin,2,qpFixed,1,0,0.500017,350880,2,0,0,0,0,inf,inf,0,0,0.00690396,0,8772,0,0.000227998,0,0,0
11,bookshelf_thin,2,qpAdaptive,1,1,0.0252246,11793,71,14.6528,931,931,0,0.00299532,0.00249477,0,0,0.0151489,0.168575,258,66,0.275194,0,0,0
11,bookshelf_thin,2,l1Old,1,0,0.500005,191456,9853,0,0,0,0,inf,inf,0,0,0.0506893,0.585456,76717,9851,0.128433,0,0,0
11,bookshelf_thin,2,holdNew,1,1,0.00504749,756,74,16.7083,866,866,0,0.00729709,0.00249477,0,0,0.161486,0.595238,283,69,0.261484,0,0,0
11,bookshelf_thin,2,qpFreeGate,1,0,0.500029,493849,3,0,0,0,0,inf,inf,0,0,0.00714513,0,22341,1,0.000134282,0,0,0
11,bookshelf_thin,2,VAMP,1,1,0.000187034,5371,26,13.5877,8,681,0,0.00649401,0.001692,0,0,0,0,0,0,0,0,0,0
11,bookshelf_thin,3,isSafe,1,1,0.00125736,1450,6,7.22378,5,363,0,0.00344501,0.00249477,0,0,0,0,1,1,6,0,0,0
11,bookshelf_thin,3,qpFixed,1,0,0.500014,380360,2,0,0,0,0,inf,inf,0,0,0.00694271,0,9509,0,0.000210327,0,0,0
11,bookshelf_thin,3,qpAdaptive,1,1,0.00687102,3470,27,8.71852,478,478,0,0.00544607,0.00249477,0,0,0.0182501,0.287896,76,23,0.355263,0,0,0
11,bookshelf_thin,3,l1Old,1,0,0.500029,192836,10140,0,0,0,0,inf,inf,0,0,0.0518844,0.585928,77265,10138,0.131237,0,0,0
11,bookshelf_thin,3,holdNew,1,1,0.00174425,283,31,11.2225,579,579,0,0.00544607,0.00249477,0,0,0.196067,0.646643,95,27,0.326316,0,0,0
11,bookshelf_thin,3,qpFreeGate,1,0,0.500026,491537,3,0,0,0,0,inf,inf,0,0,0.00720483,0,21179,1,0.00014165,0,0,0
11,bookshelf_thin,3,VAMP,1,1,3.301e-05,237,6,7.22378,5,363,0,0.00344501,0.00249477,0,0,0,0,0,0,0,0,0,0
11,table_under_pick,2,isSafe,1,1,0.00187085,2161,7,9.54378,6,479,0,0.00201833,0.00249477,0,0,0,0,5,3,1.4,0,0,0
11,table_under_pick,2,qpFixed,1,0,0.500018,344520,3,0,0,0,0,inf,inf,0,0,0.00730901,0,8612,1,0.000348351,0,0,0
11,table_under_pick,2,qpAdaptive,1,1,0.00206206,994,13,14.3916,825,825,0,0.00533383,0.00249477,0,0,0.0212577,0.282696,19,8,0.684211,0,0,0
11,table_under_pick,2,l1Old,1,0,0.500005,197326,9166,0,0,0,0,inf,inf,0,0,0.0458125,0.588919,78430,9164,0.116869,0,0,0
11,table_under_pick,2,holdNew,1,1,0.00839488,1340,98,26.2084,1379,1379,0,0.00816586,0.00249477,0,1,0.121194,0.605224,494,95,0.198381,0,0,0
11,table_under_pick,2,qpFreeGate,1,0,0.50003,389882,3,0,0,0,0,inf,inf,0,0,0.00727636,0,19220,1,0.000156087,0,0,0
11,table_under_pick,2,VAMP,1,1,3.0842e-05,575,7,9.54378,6,479,0,0.00201833,0.00249477,0,0,0,0,0,0,0,0,0,0
11,table_under_pick,3,isSafe,1,1,0.00136041,1579,6,7.86621,5,395,0,0.000448378,0.00249477,0,0,0,0,1,1,6,0,0,0
11,table_under_pick,3,qpFixed,1,0,0.500052,352200,5,0,0,0,0,inf,inf,0,0,0.0072114,0,8802,3,0.000568053,0,0,0
11,table_under_pick,3,qpAdaptive,1,1,0.000397933,208,8,9.37446,515,515,0,0.00815869,0.00249477,0,0,0.0524817,0.514423,3,3,2.66667,0,0,0
11,table_under_pick,3,l1Old,1,1,0.474403,193848,9774,25.4612,1387,1387,0,0.00717816,0.00249477,0,0,0.0497891,0.597948,75303,9768,0.129796,0,0,0
11,table_under_pick,3,holdNew,1,1,0.0884754,13814,1118,23.3469,1226,1226,0,0.00400333,0.00249477,0,0,0.110289,0.465615,6980,1114,0.160172,0,0,0
