seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
22,bookshelf_tall,1,isSafe,1,1,0.00550604,6449,11,10.0045,7,502,0,0.0013765,0.00249477,0,0,0,0,16,6,0.6875,0,0,0
22,bookshelf_tall,1,qpFixed,1,1,0.00276933,2403,6,7.80953,2404,2404,0,0.000388553,0.00249477,0,0,0.00324991,0,1,1,6,0,0,0
22,bookshelf_tall,1,qpAdaptive,1,1,0.000838148,411,6,7.80954,708,708,0,0.000388058,0.00249477,0,0,0.0190013,0.240876,1,1,6,0,0,0
22,bookshelf_tall,1,l1Old,1,0,1.00004,325970,16291,0,0,0,0,inf,inf,0,0,0.0452927,0.579796,132731,16289,0.122737,0,0,0
22,bookshelf_tall,1,holdNew,1,1,0.00585068,911,75,19.6134,1023,1023,0,0.00727074,0.00249477,0,0,0.138743,0.563117,377,70,0.198939,0,0,0
22,bookshelf_tall,1,qpFreeGate,1,1,0.0053418,4889,12,11.1545,3362,3362,0,0.00785175,0.00249477,0,0,0.00340554,0,7,4,1.71429,0,0,0
22,bookshelf_tall,1,VAMP,1,1,4.199e-05,679,8,10.8324,7,543,0,0.00785175,0.00249477,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,2,isSafe,1,1,0.00494043,5803,10,14.2359,9,713,2,-0.00121879,0.00249477,0,0,0,0,54,6,0.185185,0,0,0
22,bookshelf_tall,2,qpFixed,1,1,0.00330291,2951,7,8.8288,2952,2952,0,0.0014662,0.00249477,0,0,0.0029918,0,1,1,7,0,0,0
22,bookshelf_tall,2,qpAdaptive,1,1,0.000810281,402,7,8.82903,761,761,0,0.00147395,0.00249477,0,0,0.0219627,0.293532,1,1,7,0,0,0
22,bookshelf_tall,2,l1Old,1,1,0.161697,87892,3695,20.591,1176,1176,0,0.00826568,0.00249477,0,0,0.0489373,0.639285,30534,3689,0.121013,0,0,0
22,bookshelf_tall,2,holdNew,1,1,0.00164821,293,24,19.4923,1016,1016,0,0.00931366,0.00249477,0,0,0.133214,0.771331,58,17,0.413793,0,0,0
22,bookshelf_tall,2,qpFreeGate,1,1,0.0095651,8880,19,18.8208,5226,5226,0,0.00931366,0.00249477,0,0,0.00364124,0,58,15,0.327586,0,0,0
22,bookshelf_tall,2,VAMP,1,1,0.000125108,3547,18,22.0379,13,1103,0,0.00931366,0.00249477,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,8,isSafe,1,1,0.0294503,34656,45,13.7773,8,690,0,0.00427847,0.00249477,0,0,0,0,268,42,0.16791,0,0,0
22,bookshelf_tall,8,qpFixed,1,1,0.0121308,7929,18,17.7722,5208,5208,0,0.00387339,0.00249477,0,0,0.00317951,0,5,5,3.6,0,0,0
22,bookshelf_tall,8,qpAdaptive,1,1,0.00883902,3634,18,17.7727,2094,2094,0,0.00387283,0.00249477,0,0,0.00693787,0.0954871,5,5,3.6,0,0,0
22,bookshelf_tall,8,l1Old,1,0,1.00001,326296,15375,0,0,0,0,inf,inf,0,0,0.0425775,0.581696,132211,15373,0.116291,0,0,0
22,bookshelf_tall,8,holdNew,1,0,1.00002,129881,9923,0,0,0,0,inf,inf,0,0,0.0740157,0.397202,75395,9921,0.131614,0,0,0
22,bookshelf_tall,8,qpFreeGate,1,1,0.0187455,16851,40,13.2621,3590,3590,0,0.0039703,0.00249477,0,0,0.00350383,0,173,33,0.231214,0,0,0
22,bookshelf_tall,8,VAMP,1,1,0.000470943,15217,62,12.1533,8,609,0,0.00427847,0.00249477,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,9,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,9,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,9,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,9,l1Old,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,9,holdNew,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,9,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,9,VAMP,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,10,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,10,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,10,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,10,l1Old,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,10,holdNew,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,10,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_tall,10,VAMP,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
22,bookshelf_thin,2,isSafe,1,1,0.00451726,5253,9,13.0808,8,656,0,0.00722786,0.00249477,0,0,0,0,6,4,1.5,0,0,0
22,bookshelf_thin,2,qpFixed,1,1,0.0151646,8054,14,11.7977,3666,3666,0,0.00113792,0.00249477,0,0,0.00265362,0,6,6,2.33333,0,0,0
22,bookshelf_thin,2,qpAdaptive,1,1,0.0149602,5899,14,11.798,2125,2125,0,0.00113653,0.00249477,0,0,0.00362365,0.0598407,6,6,2.33333,0,0,0
22,bookshelf_thin,2,l1Old,1,0,1.00002,308651,16496,0,0,0,0,inf,inf,0,0,0.0483238,0.567142,129533,16494,0.12735,0,0,0
22,bookshelf_thin,2,holdNew,1,1,0.00430467,647,64,14.3093,759,759,0,0.0038815,0.00249477,0,0,0.154762,0.57187,251,58,0.25498,0,0,0
22,bookshelf_thin,2,qpFreeGate,1,1,0.0219434,20366,46,15.4125,4401,4401,0,0.0072563,0.00249477,0,0,0.00356528,0,156,38,0.294872,0,0,0
22,bookshelf_thin,2,VAMP,1,1,5.1354e-05,688,9,13.0808,8,656,0,0.00722786,0.00249477,0,0,0,0,0,0,0,0,0,0
22,bookshelf_thin,3,isSafe,1,1,0.00347747,4059,7,7.97895,5,400,0,0.00544607,0.00249477,0,0,0,0,3,2,2.33333,0,0,0
22,bookshelf_thin,3,qpFixed,1,1,0.00251818,2426,6,7.87526,2427,2427,0,0.00544607,0.00249477,0,0,0.00324619,0,1,1,6,0,0,0
22,bookshelf_thin,3,qpAdaptive,1,1,0.000288273,154,6,7.87525,503,503,0,0.00544607,0.00249477,0,0,0.051138,0.564935,1,1,6,0,0,0
22,bookshelf_thin,3,l1Old,1,0,1.00001,308253,16908,0,0,0,0,inf,inf,0,0,0.0493486,0.568111,129081,16906,0.130988,0,0,0
22,bookshelf_thin,3,holdNew,1,1,0.00089811,142,20,14.554,753,753,0,0.00544607,0.00249477,0,0,0.223091,0.690141,39,15,0.512821,0,0,0
22,bookshelf_thin,3,qpFreeGate,1,1,0.00396441,3923,10,10.2891,2583,2583,0,0.00544607,0.00249477,0,0,0.00367809,0,7,4,1.42857,0,0,0
22,bookshelf_thin,3,VAMP,1,1,4.968e-05,455,7,7.97895,5,400,0,0.00544607,0.00249477,0,0,0,0,0,0,0,0,0,0
22,bookshelf_thin,8,isSafe,1,1,0.132986,156046,213,17.0373,10,853,23,-0.00510564,0.00249477,0,0,0,0,1648,210,0.129248,0,0,0
