seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
33,bookshelf_tall,1,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,1,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,1,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,1,l1Old,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,1,holdNew,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,1,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,1,VAMP,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,2,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,2,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,2,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,2,l1Old,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,2,holdNew,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,2,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,2,VAMP,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,8,isSafe,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,8,qpFixed,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,8,qpAdaptive,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,8,l1Old,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,8,holdNew,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,8,qpFreeGate,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
33,bookshelf_tall,8,VAMP,0,0,0,0,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
