seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
1,bookshelf_tall,1,isSafe,1,1,0.000397591,449,8,10.752,7,539,0,0.00785175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.000470168,335,11,9.65031,598,598,21,-0.00240951,0.00249477,0,0,0.0370349,0,2,2,5.5,0,0,0
1,bookshelf_tall,1,qpAdaptive,1,1,0.000452392,226,10,10.7646,601,601,46,-0.00296985,0.00249477,0,0,0.0578104,0.274336,2,2,5,0,0,0
1,bookshelf_tall,1,l1Old,1,1,0.894716,314284,15811,16.0973,870,870,0,0.00785175,0.00249477,0,0,0.0458008,0.580249,127838,15805,0.12368,0,0,0
1,bookshelf_tall,1,holdNew,1,1,0.000652152,111,10,13.4414,702,702,0,0.00785175,0.00249477,0,1,0.136491,0.747748,27,6,0.37037,0,0,0
1,bookshelf_tall,1,qpFreeGate,1,1,0.000356937,312,10,10.0927,625,625,0,0.00785175,0.00249477,0,0,0.0337455,0,7,4,1.42857,0,0,0
1,bookshelf_tall,1,VAMP,1,1,7.0927e-05,1438,12,11.9051,7,597,0,0.00542864,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,2,isSafe,1,1,0.0033998,4037,45,16.7766,10,840,5,-0.00329038,0.00249477,0,0,0,0,293,41,0.153584,0,0,0
1,bookshelf_tall,2,qpFixed,1,1,0.00095622,486,26,12.6605,854,854,434,-0.00409193,0.00249477,0,0,0.0309532,0,3,3,8.66667,0,0,0
1,bookshelf_tall,2,qpAdaptive,1,1,0.00154265,633,18,12.9449,802,802,285,-0.00520718,0.00249477,0,0,0.0344404,0.028436,6,5,3,0,0,0
1,bookshelf_tall,2,l1Old,1,1,0.00884612,7776,268,16.7948,957,957,0,0.00639123,0.00249477,0,0,0.0539935,0.722479,2048,260,0.130859,0,0,0
1,bookshelf_tall,2,holdNew,1,1,0.00503347,874,48,27.5044,1453,1453,10,-0.00213065,0.00249477,0,1,0.0889901,0.617849,313,40,0.153355,0,0,0
1,bookshelf_tall,2,qpFreeGate,1,1,0.00307123,2601,60,15.5675,915,915,0,0.0010669,0.00249477,0,0,0.0318934,0,222,52,0.27027,0,0,0
1,bookshelf_tall,2,VAMP,1,1,0.000114368,2977,17,13.3133,8,667,0,0.00110814,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,isSafe,1,1,0.00193247,2300,28,20.1942,12,1011,8,-0.00336717,0.00249477,0,0,0,0,125,22,0.224,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.000307113,252,9,7.4904,505,505,28,-0.00250303,0.00249477,0,0,0.0297238,0,1,1,9,0,0,0
1,bookshelf_tall,8,qpAdaptive,1,1,0.000153732,87,7,7.58589,421,421,24,-0.00494758,0.00249477,0,0,0.0871942,0.425287,1,1,7,0,0,0
1,bookshelf_tall,8,l1Old,1,1,0.0174598,14529,564,17.735,982,982,0,0.00296042,0.00249477,0,1,0.0572688,0.720215,3849,559,0.146532,0,0,0
1,bookshelf_tall,8,holdNew,1,1,0.00192096,333,19,12.1722,662,662,0,0.00243553,0.00249477,0,0,0.0918658,0.810811,58,15,0.327586,0,0,0
1,bookshelf_tall,8,qpFreeGate,1,1,0.000854138,770,20,13.184,862,862,6,-0.00254406,0.00249477,0,0,0.0351829,0,36,14,0.555556,0,0,0
1,bookshelf_tall,8,VAMP,1,1,0.000305478,10629,45,21.2113,12,1062,0,0.00427847,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,9,isSafe,1,1,0.00761336,8927,100,11.2204,7,563,0,0.00175005,0.00249477,0,0,0,0,718,97,0.139276,0,0,0
1,bookshelf_tall,9,qpFixed,1,1,0.000592057,345,16,7.5033,499,499,86,-0.00404533,0.00249477,0,0,0.0306138,0,2,2,8,0,0,0
1,bookshelf_tall,9,qpAdaptive,1,1,0.000662451,302,15,7.62652,482,482,98,-0.00391768,0.00249477,0,0,0.0354921,0.0596026,2,2,7.5,0,0,0
1,bookshelf_tall,9,l1Old,1,1,0.668393,256010,11727,24.5185,1374,1374,0,0.00175005,0.00249477,0,1,0.0431253,0.589215,101742,11724,0.115262,0,0,0
1,bookshelf_tall,9,holdNew,1,1,0.00303859,406,35,17.8344,949,949,0,0.00164985,0.00249477,0,1,0.13699,0.714286,104,32,0.336538,0,0,0
1,bookshelf_tall,9,qpFreeGate,1,1,0.00181583,1612,43,11.8216,760,760,0,0.00175005,0.00249477,0,0,0.0347023,0,104,37,0.413462,0,0,0
1,bookshelf_tall,9,VAMP,1,1,0.00022365,6204,34,18.8438,11,944,0,0.00175005,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,10,isSafe,1,1,0.000697378,810,12,10.493,7,526,0,0.00369455,0.00249477,0,0,0,0,32,8,0.375,0,0,0
1,bookshelf_tall,10,qpFixed,1,1,0.000616237,350,23,9.08444,608,608,187,-0.00495031,0.00249477,0,0,0.0276958,0,3,3,7.66667,0,0,0
1,bookshelf_tall,10,qpAdaptive,1,1,0.00233617,978,22,12.8514,783,783,265,-0.00661568,0.00249477,0,0,0.0286032,0.0296524,11,9,2,0,0,0
1,bookshelf_tall,10,l1Old,1,1,0.0586974,40680,1612,26.8662,1486,1486,22,-0.00120761,0.00249477,0,0,0.0512697,0.669715,12863,1606,0.125321,0,0,0
1,bookshelf_tall,10,holdNew,1,1,0.00313565,489,32,17.353,927,927,0,0.000604968,0.00249477,0,0,0.104177,0.775051,97,26,0.329897,0,0,0
1,bookshelf_tall,10,qpFreeGate,1,1,0.000801945,724,19,12.2889,721,721,0,0.00369802,0.00249477,0,0,0.0359731,0,33,13,0.575758,0,0,0
1,bookshelf_tall,10,VAMP,1,1,9.835e-05,2282,15,10.493,7,526,0,0.00369455,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,2,isSafe,1,1,0.000797196,925,13,14.2984,9,716,2,-0.0017842,0.00249477,0,0,0,0,50,9,0.26,0,0,0
1,bookshelf_thin,2,qpFixed,1,1,0.00178001,982,33,11.6396,808,808,388,-0.00693119,0.00249477,0,0,0.0262102,0,6,6,5.5,0,0,0
1,bookshelf_thin,2,qpAdaptive,1,1,0.00126941,535,16,10.2553,683,683,457,-0.00679354,0.00249477,0,0,0.030057,0.0373832,3,3,5.33333,0,0,0
1,bookshelf_thin,2,l1Old,1,1,0.00692775,6050,269,16.0978,902,902,0,0.00729709,0.00249477,0,0,0.0699947,0.740826,1475,264,0.182373,0,0,0
1,bookshelf_thin,2,holdNew,1,1,0.00470182,734,37,15.7733,827,827,0,0.00729709,0.00249477,0,0,0.0939021,0.811989,128,33,0.289062,0,0,0
1,bookshelf_thin,2,qpFreeGate,1,1,0.00193276,1794,40,13.7715,887,887,0,0.00729709,0.00249477,0,0,0.0330249,0,128,36,0.3125,0,0,0
1,bookshelf_thin,2,VAMP,1,1,0.000138361,3427,18,15.5034,9,777,0,0.00595611,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,3,isSafe,1,1,0.000243536,266,6,6.50554,5,327,0,0.00544607,0.00249477,0,0,0,0,1,1,6,0,0,0
1,bookshelf_thin,3,qpFixed,1,1,0.00020789,176,7,6.41392,353,353,0,0.00544607,0.00249477,0,0,0.0364428,0,1,1,7,0,0,0
1,bookshelf_thin,3,qpAdaptive,1,1,8.1802e-05,46,6,6.50557,344,344,0,0.00544607,0.00249477,0,0,0.141426,0.565217,1,1,6,0,0,0
1,bookshelf_thin,3,l1Old,1,1,0.67938,245950,13129,20.897,1151,1151,0,0.0046762,0.00249477,0,1,0.0503575,0.578914,100341,13124,0.130844,0,0,0
1,bookshelf_thin,3,holdNew,1,1,0.00232919,410,33,13.2517,696,696,0,0.00544607,0.00249477,0,0,0.129614,0.734146,100,28,0.33,0,0,0
1,bookshelf_thin,3,qpFreeGate,1,1,0.0015552,1387,38,14.224,879,879,0,0.00477421,0.00249477,0,0,0.0327301,0,84,33,0.452381,0,0,0
1,bookshelf_thin,3,VAMP,1,1,3.2789e-05,221,6,6.50554,5,327,0,0.00544607,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,8,isSafe,1,1,0.0309883,35820,337,19.565,12,980,0,0.00409139,0.00249477,0,0,0,0,2557,333,0.131795,0,0,0
1,bookshelf_thin,8,qpFixed,1,1,0.000289129,211,8,7.102,423,423,105,-0.00565503,0.00249477,0,0,0.0336588,0,1,1,8,0,0,0
1,bookshelf_thin,8,qpAdaptive,1,1,0.000166825,78,7,7.78717,425,425,83,-0.00517947,0.00249477,0,0,0.0998356,0.282051,1,1,7,0,0,0
1,bookshelf_thin,8,l1Old,1,0,1.00002,310806,17104,0,0,0,0,inf,inf,0,0,0.049815,0.564481,131359,17102,0.130208,0,0,0
1,bookshelf_thin,8,holdNew,1,1,0.0462346,7572,605,21.366,1122,1122,0,0.00142934,0.00249477,0,0,0.119373,0.513339,3476,601,0.174051,0,0,0
1,bookshelf_thin,8,qpFreeGate,1,1,0.00925311,8029,186,16.3199,971,971,0,0.00182093,0.00249477,0,0,0.0318268,0,864,181,0.215278,0,0,0
1,bookshelf_thin,8,VAMP,1,1,0.00672713,178508,537,18.5907,11,931,0,0.000891962,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,9,isSafe,1,1,0.000856531,966,12,10.7995,7,541,3,-0.0030247,0.00249477,0,0,0,0,28,8,0.428571,0,0,0
1,bookshelf_thin,9,qpFixed,1,1,0.000174091,145,6,5.69839,396,396,6,-0.00317544,0.00249477,0,0,0.0392992,0,1,1,6,0,0,0
1,bookshelf_thin,9,qpAdaptive,1,1,9.2825e-05,51,5,5.86821,323,323,5,-0.00327509,0.00249477,0,0,0.115063,0.607843,1,1,5,0,0,0
1,bookshelf_thin,9,l1Old,1,1,0.162232,82614,4206,20.3522,1137,1137,0,0.00627595,0.00249477,0,0,0.05774,0.615876,30550,4201,0.137676,0,0,0
1,bookshelf_thin,9,holdNew,1,1,0.00283463,464,35,11.3558,596,596,0,0.00387166,0.00249477,0,0,0.123987,0.650862,152,31,0.230263,0,0,0
1,bookshelf_thin,9,qpFreeGate,1,1,0.00160742,1469,38,14.5147,923,923,0,0.00198411,0.00249477,0,0,0.0332689,0,105,31,0.361905,0,0,0
1,bookshelf_thin,9,VAMP,1,1,0.000150108,3395,16,8.71759,6,437,0,0.00015407,0.00249477,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,12,isSafe,1,1,0.00243162,2754,34,16.2596,10,814,0,0.00160589,0.00249477,0,0,0,0,152,30,0.223684,0,0,0
1,bookshelf_thin,12,qpFixed,1,1,0.00117883,616,13,14.1598,894,894,242,-0.00446274,0.00249477,0,0,0.0298224,0,6,6,2.16667,0,0,0
1,bookshelf_thin,12,qpAdaptive,1,1,0.00112055,460,14,9.98593,634,634,308,-0.00321277,0.00249477,0,0,0.0306256,0.0326087,4,4,3.5,0,0,0
1,bookshelf_thin,12,l1Old,1,1,0.0449613,30607,1352,32.2909,1733,1733,0,0.00501537,0.00249477,0,0,0.05984,0.665011,9795,1345,0.13803,0,0,0
1,bookshelf_thin,12,holdNew,1,1,0.00700916,1131,76,17.9439,945,945,0,0.000845181,0.00249477,0,0,0.108633,0.715296,291,71,0.261168,0,0,0
1,bookshelf_thin,12,qpFreeGate,1,1,0.00333159,2937,68,14.1864,871,871,0,0.00501537,0.00249477,0,0,0.0334556,0,255,62,0.266667,0,0,0
1,bookshelf_thin,12,VAMP,1,1,0.000361774,9528,47,16.2596,10,814,0,0.00160589,0.00249477,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,2,isSafe,1,1,0.000587642,633,9,12.8017,8,642,0,0.00816586,0.00249477,0,0,0,0,23,4,0.391304,0,0,0
1,table_under_pick,2,qpFixed,1,1,0.000547719,310,10,8.15892,525,525,125,-0.00683898,0.00249477,0,0,0.0282053,0,3,3,3.33333,0,0,0
1,table_under_pick,2,qpAdaptive,1,1,0.0006459,302,10,8.21292,532,532,133,-0.00660084,0.00249477,0,0,0.0288661,0.0794702,3,3,3.33333,0,0,0
1,table_under_pick,2,l1Old,1,1,0.0017177,1564,36,14.8658,850,850,0,0.00175151,0.00249477,0,0,0.0386098,0.59335,625,32,0.0576,0,0,0
1,table_under_pick,2,holdNew,1,1,0.00445387,636,57,13.4403,724,724,0,0.00447634,0.00249477,0,1,0.135868,0.603774,228,53,0.25,0,0,0
1,table_under_pick,2,qpFreeGate,1,1,0.00130719,1214,34,20.1421,1198,1198,0,0.00324996,0.00249477,0,0,0.0340147,0,70,25,0.485714,0,0,0
1,table_under_pick,2,VAMP,1,1,4.7093e-05,1602,9,12.8017,8,642,0,0.00816586,0.00249477,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,3,isSafe,1,1,0.000801047,911,13,12.7043,8,637,0,0.00703011,0.00249477,0,0,0,0,45,9,0.288889,0,0,0
1,table_under_pick,3,qpFixed,1,1,0.00119368,680,18,12.781,829,829,237,-0.00470246,0.00249477,0,0,0.0300715,0,6,6,3,0,0,0
1,table_under_pick,3,qpAdaptive,1,1,0.0013214,600,17,13.6105,849,849,235,-0.00597386,0.00249477,0,0,0.0348157,0.115,6,6,2.83333,0,0,0
1,table_under_pick,3,l1Old,1,1,0.00341297,3028,88,28.7898,1616,1616,0,0.00815869,0.00249477,0,1,0.0486878,0.680647,933,84,0.0943194,0,0,0
1,table_under_pick,3,holdNew,1,1,0.00222239,333,26,13.6305,715,715,0,0.0071619,0.00249477,0,0,0.101755,0.828829,44,18,0.590909,0,0,0
