seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,35,isSafe,1,1,0.00841527,1742,11,8.36334,6,420,0,0.00474077,0.00136601,0,0,0,0,20,7,0.55,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,35,qpFixed,1,1,0.00510401,652,6,6.74873,653,653,0,0.00831805,0.00249477,0,0,0.0103508,0,1,1,6,0,0,0,1,0,0,652,191266,358
1,bookshelf_tall,35,qpAdaptive,1,1,0.00116511,131,6,6.74288,405,405,0,0.00831503,0.00249477,0,0,0.0514723,0.923664,1,1,6,0,0,0,0.0687023,0.900763,0.0305344,131,40251,98
1,bookshelf_tall,35,qpEnvelope,1,1,0.000393041,25,6,6.72548,347,347,0,0.00831247,0.00249477,0,0,0.269019,1,1,1,6,0,0,0,0,0.84,0.16,25,7541,13
1,bookshelf_tall,35,VAMP,1,1,7.4261e-05,1378,11,8.36334,6,420,0,0.00474077,0.00136601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_small,32,isSafe,1,1,0.00988866,3983,22,10.1711,7,510,0,0.00228057,0.00249477,0,0,0,0,68,18,0.323529,0,0,0,0,0,0,0,0,0
1,bookshelf_small,32,qpFixed,1,1,0.00851106,1422,15,12.0693,991,991,0,0.00291503,0.00195072,0,0,0.0115716,0,4,4,3.75,0,0,0,1,0,0,1422,407336,911
1,bookshelf_small,32,qpAdaptive,1,1,0.00378165,570,14,12.0769,767,767,0,0.00286193,0.00194077,0,0,0.0287823,0.559649,4,4,3.5,0,0,0,0.435088,0.545614,0.0192982,570,166614,443
1,bookshelf_small,32,qpEnvelope,1,1,0.00227913,280,14,12.1691,669,669,0,0.00283752,0.00170577,0,0,0.0583955,0.4,4,4,3.5,0,0,0,0.596429,0.364286,0.0392857,280,82509,249
1,bookshelf_small,32,VAMP,1,1,0.000100173,3653,22,10.1711,7,510,0,0.00228057,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
